Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.000175,14.083003,[ 1 27] ; [12 13],[ 6.86792453 21.13207547] ; [ 6.13207547 18.86792453],1
d4,1,0.000624,11.7036,[12 16] ; [22  3],[17.96226415 10.03773585] ; [16.03773585  8.96226415],1
d3,1,0.001593,9.967538,[ 8 20] ; [18  7],[13.73584906 14.26415094] ; [12.26415094 12.73584906],0
v2,1,0.005041,7.864535,[ 5 22] ; [14 11],[ 9.86538462 17.13461538] ; [ 9.13461538 15.86538462],0
a7,1,0.008251,6.978261,[10 18] ; [18  7],[14.79245283 13.20754717] ; [13.20754717 11.79245283],0
u2,1,0.009768,6.676667,[5 9] ; [11  2],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
a6,1,0.021258,5.305521,[ 7 21] ; [14 11],[11.09433962 16.90566038] ; [ 9.90566038 15.09433962],0
d2,1,0.038493,4.283101,[ 5 23] ; [11 14],[ 8.45283019 19.54716981] ; [ 7.54716981 17.45283019],0
a5,1,0.041967,4.136546,[ 9 19] ; [15 10],[12.67924528 15.32075472] ; [11.32075472 13.67924528],0
v3,1,0.043508,4.07557,[ 2 26] ; [ 7 18],[ 4.75471698 23.24528302] ; [ 4.24528302 20.75471698],0
u3,1,0.050483,3.825353,[ 1 13] ; [5 8],[ 3.11111111 10.88888889] ; [ 2.88888889 10.11111111],0
b4,1,0.075134,3.167134,[16 12] ; [20  5],[19.01886792  8.98113208] ; [16.98113208  8.01886792],0
s6,1,0.081719,3.030374,[ 8 20] ; [13 12],[11.09433962 16.90566038] ; [ 9.90566038 15.09433962],0
b1,1,0.143037,2.144979,[19  9] ; [12 13],[16.37735849 11.62264151] ; [14.62264151 10.37735849],0
b5,1,0.18431,1.762522,[14 14] ; [17  8],[16.37735849 11.62264151] ; [14.62264151 10.37735849],0
n1,1,0.210874,1.565417,[ 5 11] ; [1 9],[ 3.69230769 12.30769231] ; [2.30769231 7.69230769],0
s8,1,0.232243,1.427069,[ 5 23] ; [ 8 17],[ 6.86792453 21.13207547] ; [ 6.13207547 18.86792453],0
a4,1,0.232243,1.427069,[ 5 23] ; [ 8 17],[ 6.86792453 21.13207547] ; [ 6.13207547 18.86792453],0
p4,1,0.239763,1.381985,[ 6 22] ; [ 9 16],[ 7.9245283 20.0754717] ; [ 7.0754717 17.9245283],0
a2,1,0.246207,1.344701,[ 1 27] ; [ 3 22],[ 2.11320755 25.88679245] ; [ 1.88679245 23.11320755],0
n6,1,0.250174,1.322334,[13 14] ; [16  9],[15.05769231 11.94230769] ; [13.94230769 11.05769231],0
p11,1,0.283686,1.149347,[15 13] ; [17  8],[16.90566038 11.09433962] ; [15.09433962  9.90566038],0
n3,1,0.315266,1.008485,[8 8] ; [7 3],[9.23076923 6.76923077] ; [5.76923077 4.23076923],0
n4,1,0.323145,0.976173,[13 15] ; [15 10],[14.79245283 13.20754717] ; [13.20754717 11.79245283],0
p6,1,0.332546,0.938959,[ 2 25] ; [ 4 21],[ 3.11538462 23.88461538] ; [ 2.88461538 22.11538462],0
r3,1,0.334606,0.93099,[16 11] ; [18  7],[17.65384615  9.34615385] ; [16.34615385  8.65384615],0
s1,1,0.355612,0.853331,[ 3 25] ; [ 1 24],[ 2.11320755 25.88679245] ; [ 1.88679245 23.11320755],0
r4,1,0.37844,0.775764,[ 5 23] ; [ 7 18],[ 6.33962264 21.66037736] ; [ 5.66037736 19.33962264],0
n2,1,0.420113,0.65,[9 7] ; [4 6],[8. 8.] ; [5. 5.],0
p2,1,0.441795,0.591615,[15 13] ; [16  9],[16.37735849 11.62264151] ; [14.62264151 10.37735849],0
s4,1,0.470928,0.519797,[ 4 24] ; [ 2 23],[ 3.16981132 24.83018868] ; [ 2.83018868 22.16981132],0
p12,1,0.486132,0.485076,[ 1 27] ; [ 2 23],[ 1.58490566 26.41509434] ; [ 1.41509434 23.58490566],0
n5,1,0.538127,0.379022,[18 10] ; [14 11],[16.90566038 11.09433962] ; [15.09433962  9.90566038],0
r1,1,0.551552,0.354544,[ 9 19] ; [10 15],[10.03773585 17.96226415] ; [ 8.96226415 16.03773585],0
v1,1,0.572251,0.31893,[ 7 21] ; [ 8 17],[ 7.9245283 20.0754717] ; [ 7.0754717 17.9245283],0
p5,1,0.598524,0.277229,[ 2 25] ; [ 1 24],[ 1.55769231 25.44230769] ; [ 1.44230769 23.55769231],0
s7,1,0.654317,0.200501,[ 5 22] ; [ 5 16],[ 5.625 21.375] ; [ 4.375 16.625],0
v4,1,0.662252,0.1908,[14 14] ; [14 11],[14.79245283 13.20754717] ; [13.20754717 11.79245283],0
s2,1,0.664032,0.188662,[ 6 22] ; [ 4 20],[ 5.38461538 22.61538462] ; [ 4.61538462 19.38461538],0
p10,1,0.691555,0.157407,[15 12] ; [12 12],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
p9,1,0.70436,0.143976,[15 12] ; [14  9],[15.66 11.34] ; [13.34  9.66],0
a1,1,0.735762,0.113887,[ 3 25] ; [ 2 23],[ 2.64150943 25.35849057] ; [ 2.35849057 22.64150943],0
a3,1,0.781354,0.077037,[14 13] ; [12 13],[13.5 13.5] ; [12.5 12.5],0
p8,1,0.866214,0.028382,[ 7 20] ; [ 7 18],[ 7.26923077 19.73076923] ; [ 6.73076923 18.26923077],0
s5,1,0.88276,0.021748,[ 3 25] ; [ 3 22],[ 3.16981132 24.83018868] ; [ 2.83018868 22.16981132],0
a8,1,0.913041,0.011925,[ 3 22] ; [ 3 20],[ 3.125 21.875] ; [ 2.875 20.125],0
b2,1,0.915598,0.011232,[ 4 11] ; [ 4 12],[ 3.87096774 11.12903226] ; [ 4.12903226 11.87096774],0
b3,1,0.915598,0.011232,[ 4 11] ; [ 4 12],[ 3.87096774 11.12903226] ; [ 4.12903226 11.87096774],0
s3,1,0.978594,0.00072,[ 6 22] ; [ 5 18],[ 6.03921569 21.96078431] ; [ 4.96078431 18.03921569],0
p7,1,0.982725,0.000469,[10 18] ; [ 9 16],[10.03773585 17.96226415] ; [ 8.96226415 16.03773585],0
