Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,36.03116,[ 2 10] ; [68  7],[9.65517241 2.34482759] ; [60.34482759 14.65517241],1
v4,1,5e-06,20.965854,[7 5] ; [72  2],[11.02325581  0.97674419] ; [67.97674419  6.02325581],1
p9,1,0.000437,12.365581,[4 8] ; [60 14],[8.93023256 3.06976744] ; [55.06976744 18.93023256],1
p10,1,0.000665,11.584239,[4 8] ; [60 15],[8.82758621 3.17241379] ; [55.17241379 19.82758621],1
s6,1,0.000765,11.324916,[5 7] ; [61 11],[9.42857143 2.57142857] ; [56.57142857 15.42857143],1
s1,1,0.007687,7.105,[3 9] ; [ 3 72],[ 0.82758621 11.17241379] ; [ 5.17241379 69.82758621],0
r2,1,0.007691,7.10409,[7 3] ; [71  4],[9.17647059 0.82352941] ; [68.82352941  6.17647059],0
a6,1,0.010869,6.486618,[3 9] ; [48 27],[7.03448276 4.96551724] ; [43.96551724 31.03448276],0
p3,1,0.011395,6.402685,[ 2 10] ; [42 33],[6.06896552 5.93103448] ; [37.93103448 37.06896552],0
r1,1,0.011528,6.382035,[4 8] ; [53 22],[7.86206897 4.13793103] ; [49.13793103 25.86206897],0
p11,1,0.020412,5.376337,[5 7] ; [56 19],[8.4137931 3.5862069] ; [52.5862069 22.4137931],0
p7,1,0.028883,4.774552,[3 8] ; [46 28],[6.34117647 4.65882353] ; [42.65882353 31.34117647],0
p4,1,0.044277,4.045978,[4 8] ; [48 27],[7.17241379 4.82758621] ; [44.82758621 30.17241379],0
p8,1,0.046008,3.981286,[3 9] ; [42 33],[6.20689655 5.79310345] ; [38.79310345 36.20689655],0
d5,1,0.049752,3.849813,[6 6] ; [57 17],[8.79069767 3.20930233] ; [54.20930233 19.79069767],0
n2,1,0.069436,3.296314,[4 4] ; [19  4],[5.93548387 2.06451613] ; [17.06451613  5.93548387],0
n6,1,0.073371,3.205937,[7 5] ; [61 14],[9.37931034 2.62068966] ; [58.62068966 16.37931034],0
v1,1,0.086553,2.937336,[ 2 10] ; [32 43],[4.68965517 7.31034483] ; [29.31034483 45.68965517],0
p2,1,0.111968,2.526222,[8 4] ; [64 11],[9.93103448 2.06896552] ; [62.06896552 12.93103448],0
s8,1,0.136884,2.212644,[3 9] ; [36 39],[5.37931034 6.62068966] ; [33.62068966 41.37931034],0
s3,1,0.154792,2.024383,[6 6] ; [53 22],[8.13793103 3.86206897] ; [50.86206897 24.13793103],0
b4,1,0.169715,1.88546,[4 8] ; [41 34],[6.20689655 5.79310345] ; [38.79310345 36.20689655],0
a7,1,0.180055,1.797174,[5 7] ; [46 28],[7.11627907 4.88372093] ; [43.88372093 30.11627907],0
s5,1,0.187404,1.737911,[3 8] ; [34 36],[5.02469136 5.97530864] ; [31.97530864 38.02469136],0
s2,1,0.198469,1.653603,[6 6] ; [51 23],[7.95348837 4.04651163] ; [49.04651163 24.95348837],0
d4,1,0.336921,0.922112,[7 5] ; [54 21],[8.4137931 3.5862069] ; [52.5862069 22.4137931],0
v3,1,0.430833,0.620577,[ 1 11] ; [13 62],[ 1.93103448 10.06896552] ; [12.06896552 62.93103448],0
d2,1,0.45726,0.552593,[6 6] ; [29 46],[4.82758621 7.17241379] ; [30.17241379 44.82758621],0
b1,1,0.45726,0.552593,[6 6] ; [29 46],[4.82758621 7.17241379] ; [30.17241379 44.82758621],0
a2,1,0.489144,0.47841,[ 1 11] ; [12 63],[ 1.79310345 10.20689655] ; [11.20689655 63.79310345],0
a5,1,0.509546,0.435,[7 5] ; [51 24],[8. 4.] ; [50. 25.],0
b5,1,0.599772,0.275341,[8 4] ; [44 31],[7.17241379 4.82758621] ; [44.82758621 30.17241379],0
d1,1,0.621684,0.243508,[5 7] ; [37 38],[5.79310345 6.20689655] ; [36.20689655 38.79310345],0
u1,1,0.628463,0.234151,[ 1 11] ; [10 65],[ 1.51724138 10.48275862] ; [ 9.48275862 65.51724138],0
p6,1,0.660333,0.193119,[4 8] ; [30 45],[4.68965517 7.31034483] ; [29.31034483 45.68965517],0
u2,1,0.680243,0.169853,[3 2] ; [14 14],[2.57575758 2.42424242] ; [14.42424242 13.57575758],0
p1,1,0.71157,0.136714,[ 1 11] ; [ 9 66],[ 1.37931034 10.62068966] ; [ 8.62068966 66.37931034],0
n3,1,0.71271,0.135585,[5 3] ; [16  7],[5.41935484 2.58064516] ; [15.58064516  7.41935484],0
u3,1,0.73137,0.117857,[3 2] ; [19  9],[3.33333333 1.66666667] ; [18.66666667  9.33333333],0
a3,1,0.773926,0.082508,[7 5] ; [47 28],[7.44827586 4.55172414] ; [46.55172414 28.44827586],0
n4,1,0.773926,0.082508,[7 5] ; [47 28],[7.44827586 4.55172414] ; [46.55172414 28.44827586],0
s7,1,0.831433,0.045311,[7 4] ; [44 29],[6.67857143 4.32142857] ; [44.32142857 28.67857143],0
n5,1,0.852921,0.03437,[8 4] ; [52 23],[8.27586207 3.72413793] ; [51.72413793 23.27586207],0
a4,1,0.857866,0.032074,[4 8] ; [27 48],[4.27586207 7.72413793] ; [26.72413793 48.27586207],0
n1,1,0.935004,0.00665,[3 5] ; [ 9 14],[3.09677419 4.90322581] ; [ 8.90322581 14.09677419],0
b2,1,0.946642,0.004479,[2 7] ; [10 33],[2.07692308 6.92307692] ; [ 9.92307692 33.07692308],0
b3,1,0.946642,0.004479,[2 7] ; [10 33],[2.07692308 6.92307692] ; [ 9.92307692 33.07692308],0
d3,1,0.950739,0.003817,[8 4] ; [50 24],[8.09302326 3.90697674] ; [49.90697674 24.09302326],0
