Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,84.480641,[290  86] ; [ 62 108],[242.4029304 133.5970696] ; [109.5970696  60.4029304],1
d3,1,0.0,51.101844,[274 101] ; [ 70 100],[236.69724771 138.30275229] ; [107.30275229  62.69724771],1
r4,1,0.0,29.344288,[328  48] ; [115  55],[305.06959707  70.93040293] ; [137.93040293  32.06959707],1
d5,1,0.0,28.319159,[311  65] ; [105  65],[286.47619048  89.52380952] ; [129.52380952  40.47619048],1
r1,1,2e-06,22.724617,[294  78] ; [101  69],[271.10701107 100.89298893] ; [123.89298893  46.10701107],1
r3,1,1.7e-05,18.518927,[350  22] ; [140  30],[336.3099631  35.6900369] ; [153.6900369  16.3099631],1
u1,1,1.7e-05,18.501815,[ 70 306] ; [  8 162],[ 53.71428571 322.28571429] ; [ 24.28571429 145.71428571],1
a2,1,2.6e-05,17.697192,[ 91 285] ; [ 15 155],[ 72.996337 303.003663] ; [ 33.003663 136.996337],1
d4,1,4.2e-05,16.789376,[309  67] ; [112  57],[290.45137615  85.54862385] ; [130.54862385  38.45137615],1
p2,1,0.000241,13.484043,[309  67] ; [115  54],[292.52110092  83.47889908] ; [131.47889908  37.52110092],1
v4,1,0.000268,13.279474,[349  25] ; [139  28],[337.36044362  36.63955638] ; [150.63955638  16.36044362],1
a5,1,0.000322,12.93527,[271 105] ; [96 74],[252.73260073 123.26739927] ; [114.26739927  55.73260073],1
r2,1,0.000613,11.736934,[342  26] ; [140  28],[330.92537313  37.07462687] ; [151.07462687  16.92537313],1
p10,1,0.000974,10.876409,[285  87] ; [105  62],[269.16512059 102.83487941] ; [120.83487941  46.16512059],1
b5,1,0.001271,10.384421,[247 129] ; [87 83],[230.00732601 145.99267399] ; [103.99267399  66.00732601],0
d1,1,0.002121,9.441541,[206 170] ; [ 69 101],[189.37728938 186.62271062] ; [85.62271062 84.37728938],0
b1,1,0.002753,8.964079,[139 237] ; [86 84],[154.94505495 221.05494505] ; [70.05494505 99.94505495],0
p9,1,0.004032,8.269288,[297  74] ; [114  52],[283.94972067  87.05027933] ; [127.05027933  38.94972067],0
p4,1,0.004077,8.249057,[203 172] ; [ 69 100],[187.5 187.5] ; [84.5 84.5],0
s6,1,0.017719,5.623719,[235 140] ; [86 80],[222.50462107 152.49537893] ; [98.49537893 67.50462107],0
n3,1,0.017882,5.607643,[70 22] ; [36 26],[63.32467532 28.67532468] ; [42.67532468 19.32467532],0
v2,1,0.023966,5.097105,[155 208] ; [ 53 111],[143.27134725 219.72865275] ; [64.72865275 99.27134725],0
