Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.6e-05,18.661925,[84 19] ; [3 9],[77.92173913 25.07826087] ; [9.07826087 2.92173913],1
r1,1,0.000436,12.37011,[76 26] ; [3 9],[70.68421053 31.31578947] ; [8.31578947 3.68421053],1
r3,1,0.000962,10.899806,[94  9] ; [7 5],[90.46086957 12.53913043] ; [10.53913043  1.46086957],1
p10,1,0.001273,10.381309,[84 18] ; [5 7],[79.63157895 22.36842105] ; [9.36842105 2.63157895],0
p2,1,0.002406,9.210693,[80 22] ; [4 7],[75.82300885 26.17699115] ; [8.17699115 2.82300885],0
r2,1,0.011515,6.384123,[93  9] ; [8 4],[90.36842105 11.63157895] ; [10.63157895  1.36842105],0
d3,1,0.013207,6.141189,[70 31] ; [4 8],[66.14159292 34.85840708] ; [7.85840708 4.14159292],0
u2,1,0.019407,5.464496,[27  7] ; [1 3],[25.05263158  8.94736842] ; [2.94736842 1.05263158],0
s6,1,0.019939,5.417196,[62 41] ; [3 9],[58.2173913 44.7826087] ; [6.7826087 5.2173913],0
p1,1,0.034174,4.485957,[ 7 96] ; [3 9],[ 8.95652174 94.04347826] ; [ 1.04347826 10.95652174],0
s8,1,0.036823,4.358595,[40 63] ; [ 1 11],[36.72173913 66.27826087] ; [4.27826087 7.72173913],0
s2,1,0.059174,3.560383,[46 56] ; [ 2 10],[42.94736842 59.05263158] ; [5.05263158 6.94736842],0
b1,1,0.062594,3.467295,[48 55] ; [9 3],[51.05217391 51.94782609] ; [5.94782609 6.05217391],0
v1,1,0.094822,2.790538,[50 49] ; [3 9],[47.27027027 51.72972973] ; [5.72972973 6.27027027],0
a7,1,0.101191,2.686666,[75 28] ; [6 6],[72.54782609 30.45217391] ; [8.45217391 3.54782609],0
a1,1,0.105299,2.623393,[ 5 98] ; [ 2 10],[ 6.26956522 96.73043478] ; [ 0.73043478 11.26956522],0
b4,1,0.13705,2.210772,[54 49] ; [9 3],[56.42608696 46.57391304] ; [6.57391304 5.42608696],0
p11,1,0.140028,2.177656,[73 30] ; [6 6],[70.75652174 32.24347826] ; [8.24347826 3.75652174],0
s7,1,0.16749,1.905267,[39 60] ; [2 9],[36.9 62.1] ; [4.1 6.9],0
a6,1,0.195394,1.676471,[70 32] ; [6 6],[68. 34.] ; [8. 4.],0
d5,1,0.201717,1.629902,[77 25] ; [7 5],[75.15789474 26.84210526] ; [8.84210526 3.15789474],0
d1,1,0.260586,1.265643,[52 51] ; [4 8],[50.15652174 52.84347826] ; [5.84347826 6.15652174],0
d4,1,0.269951,1.216993,[82 20] ; [8 4],[80.52631579 21.47368421] ; [9.47368421 2.52631579],0
p3,1,0.306393,1.046161,[41 61] ; [3 9],[39.36842105 62.63157895] ; [4.63157895 7.36842105],0
v2,1,0.307916,1.039595,[46 48] ; [4 8],[44.33962264 49.66037736] ; [5.66037736 6.33962264],0
p4,1,0.319102,0.992623,[49 52] ; [4 8],[47.37168142 53.62831858] ; [5.62831858 6.37168142],0
p7,1,0.323326,0.975444,[55 42] ; [5 7],[53.39449541 43.60550459] ; [6.60550459 5.39449541],0
p8,1,0.339756,0.911351,[43 59] ; [3 8],[41.52212389 60.47787611] ; [4.47787611 6.52212389],0
b5,1,0.413403,0.668993,[72 31] ; [7 5],[70.75652174 32.24347826] ; [8.24347826 3.75652174],0
s3,1,0.439184,0.598415,[54 47] ; [5 7],[52.73451327 48.26548673] ; [6.26548673 5.73451327],0
a8,1,0.448074,0.57552,[10 85] ; [2 9],[10.75471698 84.24528302] ; [1.24528302 9.75471698],0
s1,1,0.48617,0.484991,[ 4 97] ; [ 1 11],[ 4.46902655 96.53097345] ; [ 0.53097345 11.46902655],0
n4,1,0.520932,0.412047,[53 50] ; [5 7],[51.94782609 51.05217391] ; [6.05217391 5.94782609],0
p6,1,0.570925,0.321138,[26 74] ; [2 9],[25.22522523 74.77477477] ; [2.77477477 8.22522523],0
s5,1,0.583986,0.299835,[23 74] ; [ 2 10],[22.24770642 74.75229358] ; [2.75229358 9.24770642],0
d2,1,0.613667,0.254869,[35 67] ; [5 7],[35.78947368 66.21052632] ; [4.21052632 7.78947368],0
a4,1,0.645781,0.211261,[36 67] ; [5 7],[36.72173913 66.27826087] ; [4.27826087 7.72173913],0
n5,1,0.653434,0.201598,[49 52] ; [5 7],[48.26548673 52.73451327] ; [5.73451327 6.26548673],0
a5,1,0.746363,0.104612,[65 38] ; [7 5],[64.48695652 38.51304348] ; [7.51304348 4.48695652],0
b3,1,0.796222,0.066688,[16 39] ; [3 6],[16.328125 38.671875] ; [2.671875 6.328125],0
b2,1,0.796222,0.066688,[16 39] ; [3 6],[16.328125 38.671875] ; [2.671875 6.328125],0
p5,1,0.850374,0.035585,[ 7 95] ; [ 1 11],[ 7.15789474 94.84210526] ; [ 0.84210526 11.15789474],0
s4,1,0.918599,0.010445,[16 87] ; [ 2 10],[16.12173913 86.87826087] ; [ 1.87826087 10.12173913],0
v3,1,0.936205,0.006406,[27 68] ; [3 8],[26.88679245 68.11320755] ; [3.11320755 7.88679245],0
a3,1,0.964249,0.002009,[68 35] ; [8 4],[68.06956522 34.93043478] ; [7.93043478 4.06956522],0
a2,1,0.988603,0.000204,[17 86] ; [ 2 10],[17.0173913 85.9826087] ; [ 1.9826087 10.0173913],0
