Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.022121,5.236218,[1 3] ; [11  2],[2.82352941 1.17647059] ; [9.17647059 3.82352941],0
p4,1,0.115993,2.470604,[3 1] ; [4 9],[1.64705882 2.35294118] ; [5.35294118 7.64705882],0
s7,1,0.145729,2.116402,[3 1] ; [4 8],[1.75 2.25] ; [5.25 6.75],0
a2,1,0.153514,2.036982,[2 2] ; [ 2 11],[0.94117647 3.05882353] ; [3.05882353 9.94117647],0
b4,1,0.200441,1.639156,[1 3] ; [8 5],[2.11764706 1.88235294] ; [6.88235294 6.11764706],0
s6,1,0.200441,1.639156,[3 1] ; [5 8],[1.88235294 2.11764706] ; [6.11764706 6.88235294],0
r1,1,0.200441,1.639156,[1 3] ; [8 5],[2.11764706 1.88235294] ; [6.88235294 6.11764706],0
p11,1,0.301409,1.067949,[2 2] ; [ 3 10],[1.17647059 2.82352941] ; [3.82352941 9.17647059],0
a7,1,0.312132,1.021635,[3 1] ; [6 7],[2.11764706 1.88235294] ; [6.88235294 6.11764706],0
u1,1,0.347465,0.882692,[1 3] ; [ 1 12],[0.47058824 3.52941176] ; [ 1.52941176 11.47058824],0
p12,1,0.347465,0.882692,[1 3] ; [ 1 12],[0.47058824 3.52941176] ; [ 1.52941176 11.47058824],0
a3,1,0.347465,0.882692,[3 1] ; [12  1],[3.52941176 0.47058824] ; [11.47058824  1.52941176],0
p7,1,0.350201,0.872727,[2 2] ; [3 9],[1.25 2.75] ; [3.75 8.25],0
d1,1,0.481556,0.495338,[2 2] ; [4 9],[1.41176471 2.58823529] ; [4.58823529 8.41176471],0
v2,1,0.481556,0.495338,[2 2] ; [4 9],[1.41176471 2.58823529] ; [4.58823529 8.41176471],0
v4,1,0.481556,0.495338,[2 2] ; [9 4],[2.58823529 1.41176471] ; [8.41176471 4.58823529],0
p3,1,0.550985,0.355556,[2 2] ; [4 8],[1.5 2.5] ; [4.5 7.5],0
p2,1,0.550985,0.355556,[2 2] ; [4 8],[1.5 2.5] ; [4.5 7.5],0
n2,1,0.57075,0.321429,[1 1] ; [5 2],[1.33333333 0.66666667] ; [4.66666667 2.33333333],0
s2,1,0.622252,0.242716,[1 3] ; [5 8],[1.41176471 2.58823529] ; [4.58823529 8.41176471],0
d5,1,0.622252,0.242716,[3 1] ; [8 5],[2.58823529 1.41176471] ; [8.41176471 4.58823529],0
p9,1,0.681777,0.168132,[2 2] ; [8 5],[2.35294118 1.64705882] ; [7.64705882 5.35294118],0
p8,1,0.681777,0.168132,[2 2] ; [5 8],[1.64705882 2.35294118] ; [5.35294118 7.64705882],0
n6,1,0.681777,0.168132,[2 2] ; [8 5],[2.35294118 1.64705882] ; [7.64705882 5.35294118],0
p5,1,0.711531,0.136752,[1 3] ; [ 2 10],[0.75 3.25] ; [2.25 9.75],0
p6,1,0.824745,0.049038,[1 3] ; [4 9],[1.17647059 2.82352941] ; [3.82352941 9.17647059],0
b1,1,0.824745,0.049038,[3 1] ; [9 4],[2.82352941 1.17647059] ; [9.17647059 3.82352941],0
s8,1,0.824745,0.049038,[1 3] ; [4 9],[1.17647059 2.82352941] ; [3.82352941 9.17647059],0
b5,1,0.892795,0.018162,[2 2] ; [6 7],[1.88235294 2.11764706] ; [6.11764706 6.88235294],0
a4,1,0.892795,0.018162,[2 2] ; [6 7],[1.88235294 2.11764706] ; [6.11764706 6.88235294],0
p10,1,0.892795,0.018162,[2 2] ; [6 7],[1.88235294 2.11764706] ; [6.11764706 6.88235294],0
d2,1,0.892795,0.018162,[2 2] ; [7 6],[2.11764706 1.88235294] ; [6.88235294 6.11764706],0
s5,1,0.936802,0.006287,[1 3] ; [ 3 10],[0.94117647 3.05882353] ; [3.05882353 9.94117647],0
a5,1,0.936802,0.006287,[3 1] ; [10  3],[3.05882353 0.94117647] ; [9.94117647 3.05882353],0
b2,1,1.0,0.0,[1 1] ; [4 4],[1. 1.] ; [4. 4.],0
b3,1,1.0,0.0,[1 1] ; [4 4],[1. 1.] ; [4. 4.],0
