Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.1e-05,16.392916,[ 13 125] ; [18 36],[ 22.28125 115.71875] ; [ 8.71875 45.28125],1
v2,1,6.8e-05,15.856661,[46 89] ; [35 18],[58.16489362 76.83510638] ; [22.83510638 30.16489362],1
s2,1,0.000335,12.8625,[  8 127] ; [13 41],[ 15. 120.] ; [ 6. 48.],1
r2,1,0.007834,7.071086,[107  29] ; [52  3],[113.21465969  22.78534031] ; [45.78534031  9.21465969],0
s7,1,0.013568,6.093483,[ 22 110] ; [17 34],[ 28.13114754 103.86885246] ; [10.86885246 40.13114754],0
s6,1,0.032171,4.589373,[41 96] ; [25 29],[47.34031414 89.65968586] ; [18.65968586 35.34031414],0
a7,1,0.041051,4.173913,[86 52] ; [42 12],[92. 46.] ; [36. 18.],0
a1,1,0.064208,3.425206,[  7 131] ; [ 7 48],[ 10.01036269 127.98963731] ; [ 3.98963731 51.01036269],0
d3,1,0.0648,3.410055,[78 60] ; [39 16],[83.65803109 54.34196891] ; [33.34196891 21.65803109],0
v1,1,0.066391,3.370062,[46 90] ; [26 28],[51.53684211 84.46315789] ; [20.46315789 33.53684211],0
n4,1,0.088001,2.910564,[85 53] ; [41 14],[90.09326425 47.90673575] ; [35.90673575 19.09326425],0
a3,1,0.099527,2.713113,[77 60] ; [38 17],[82.05729167 54.94270833] ; [32.94270833 22.05729167],0
p2,1,0.112103,2.524323,[85 53] ; [27 28],[80.08290155 57.91709845] ; [31.91709845 23.08290155],0
p12,1,0.116104,2.469104,[  2 135] ; [ 3 52],[  3.56770833 133.43229167] ; [ 1.43229167 53.56770833],0
d5,1,0.119004,2.430378,[95 43] ; [44 11],[99.38860104 38.61139896] ; [39.61139896 15.38860104],0
d2,1,0.148561,2.086964,[50 86] ; [26 28],[54.4 81.6] ; [21.6 32.4],0
r4,1,0.186852,1.742266,[92 46] ; [42 13],[95.8134715 42.1865285] ; [38.1865285 16.8134715],0
u2,1,0.190921,1.710499,[25 36] ; [10  7],[27.37179487 33.62820513] ; [7.62820513 9.37179487],0
