Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,100.403814,[257   7] ; [20 21],[239.76393443  24.23606557] ; [37.23606557  3.76393443],1
a5,1,8.3e-05,15.495752,[210  54] ; [21 20],[199.94754098  64.05245902] ; [31.05245902  9.94754098],1
s5,1,0.000107,15.012458,[127 126] ; [ 6 31],[116.03103448 136.96896552] ; [16.96896552 20.03103448],1
p11,1,0.00045,12.312939,[222  42] ; [25 16],[213.79672131  50.20327869] ; [33.20327869  7.79672131],1
n6,1,0.000546,11.950845,[242  19] ; [31 10],[235.93708609  25.06291391] ; [37.06291391  3.93708609],1
p2,1,0.000605,11.760317,[241  23] ; [30 11],[234.5704918  29.4295082] ; [36.4295082  4.5704918],1
v1,1,0.000799,11.243854,[173  88] ; [16 25],[163.3410596  97.6589404] ; [25.6589404 15.3410596],1
s6,1,0.002025,9.526502,[204  52] ; [23 17],[196.32432432  59.67567568] ; [30.67567568  9.32432432],0
p4,1,0.00279,8.940241,[219  44] ; [26 15],[211.95723684  51.04276316] ; [33.04276316  7.95723684],0
a3,1,0.003451,8.552248,[203  59] ; [23 18],[195.41914191  66.58085809] ; [30.58085809 10.41914191],0
n5,1,0.003566,8.492421,[218  45] ; [26 15],[211.09210526  51.90789474] ; [32.90789474  8.09210526],0
p3,1,0.004771,7.964085,[181  82] ; [19 22],[173.02631579  89.97368421] ; [26.97368421 14.02631579],0
s2,1,0.007257,7.208216,[167  96] ; [17 24],[159.18421053 103.81578947] ; [24.81578947 16.18421053],0
p7,1,0.007408,7.171217,[226  34] ; [29 12],[220.26578073  39.73421927] ; [34.73421927  6.26578073],0
d5,1,0.008211,6.986893,[222  39] ; [28 13],[216.05960265  44.94039735] ; [33.94039735  7.05960265],0
v3,1,0.008716,6.880012,[117 141] ; [ 9 30],[109.45454545 148.54545455] ; [16.54545455 22.45454545],0
d4,1,0.012639,6.21892,[230  32] ; [30 11],[224.81848185  37.18151815] ; [35.18151815  5.81848185],0
d1,1,0.014992,5.917406,[180  84] ; [20 21],[173.1147541  90.8852459] ; [26.8852459 14.1147541],0
s8,1,0.019037,5.498154,[157 106] ; [16 24],[150.16171617 112.83828383] ; [22.83828383 17.16171617],0
n4,1,0.023873,5.103852,[229  35] ; [30 11],[224.18360656  39.81639344] ; [34.81639344  6.18360656],0
n2,1,0.040362,4.202612,[29 16] ; [13  1],[32.03389831 12.96610169] ; [9.96610169 4.03389831],0
a2,1,0.057203,3.616687,[ 76 188] ; [ 6 35],[ 70.97704918 193.02295082] ; [11.02295082 29.97704918],0
s7,1,0.069672,3.290722,[161  92] ; [20 21],[155.7585034  97.2414966] ; [25.2414966 15.7585034],0
p8,1,0.073746,3.197618,[190  73] ; [24 17],[185.13815789  77.86184211] ; [28.86184211 12.13815789],0
v2,1,0.076121,3.145839,[158 101] ; [19 22],[152.81 106.19] ; [24.19 16.81],0
p5,1,0.094794,2.791022,[ 55 209] ; [ 4 37],[ 51.06885246 212.93114754] ; [ 7.93114754 33.06885246],0
b5,1,0.110585,2.545844,[152 112] ; [29 12],[156.66885246 107.33114754] ; [24.33114754 16.66885246],0
u4,1,0.11858,2.435975,[  7 257] ; [ 3 38],[  8.6557377 255.3442623] ; [ 1.3442623 39.6557377],0
b1,1,0.138831,2.190874,[103 161] ; [21 20],[107.33114754 156.66885246] ; [16.66885246 24.33114754],0
n1,1,0.168992,1.891864,[18 27] ; [8 5],[20.17241379 24.82758621] ; [5.82758621 7.17241379],0
d3,1,0.185652,1.751787,[198  64] ; [27 14],[194.55445545  67.44554455] ; [30.44554455 10.55445545],0
