Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-05,19.444555,[ 3 37] ; [29 29],[13.06122449 26.93877551] ; [18.93877551 39.06122449],1
p8,1,7e-05,15.808218,[ 7 32] ; [34 24],[16.48453608 22.51546392] ; [24.51546392 33.48453608],1
p4,1,0.002928,8.852041,[14 26] ; [38 20],[21.2244898 18.7755102] ; [30.7755102 27.2244898],0
d5,1,0.027899,4.834328,[34  6] ; [37 20],[29.27835052 10.72164948] ; [41.72164948 15.27835052],0
b3,1,0.05778,3.6,[9 9] ; [ 7 23],[ 6. 12.] ; [10. 20.],0
b2,1,0.05778,3.6,[9 9] ; [ 7 23],[ 6. 12.] ; [10. 20.],0
p11,1,0.05824,3.586812,[20 20] ; [40 18],[24.48979592 15.51020408] ; [35.51020408 22.48979592],0
d1,1,0.059041,3.564116,[25 15] ; [25 33],[20.40816327 19.59183673] ; [29.59183673 28.40816327],0
p3,1,0.09991,2.706973,[12 28] ; [27 31],[15.91836735 24.08163265] ; [23.08163265 34.91836735],0
p2,1,0.104198,2.640086,[25 15] ; [45 13],[28.57142857 11.42857143] ; [41.42857143 16.57142857],0
n5,1,0.116213,2.467624,[10 30] ; [23 34],[13.60824742 26.39175258] ; [19.39175258 37.60824742],0
n1,1,0.13821,2.197779,[ 8 12] ; [ 3 14],[ 5.94594595 14.05405405] ; [ 5.05405405 11.94594595],0
r2,1,0.13832,2.196552,[39  1] ; [52  6],[37.14285714  2.85714286] ; [53.85714286  4.14285714],0
v2,1,0.155935,2.013212,[15 20] ; [32 23],[18.27777778 16.72222222] ; [28.72222222 26.27777778],0
r1,1,0.167486,1.905298,[23 16] ; [42 16],[26.13402062 12.86597938] ; [38.86597938 19.13402062],0
n2,1,0.184414,1.761686,[17  3] ; [12  6],[15.26315789  4.73684211] ; [13.73684211  4.26315789],0
v1,1,0.219309,1.508886,[21 18] ; [23 33],[18.06315789 20.93684211] ; [25.93684211 30.06315789],0
a8,1,0.243563,1.35985,[ 1 35] ; [ 5 51],[ 2.34782609 33.65217391] ; [ 3.65217391 52.34782609],0
b5,1,0.244323,1.355479,[23 17] ; [40 18],[25.71428571 14.28571429] ; [37.28571429 20.71428571],0
b1,1,0.250768,1.319021,[12 28] ; [24 34],[14.69387755 25.30612245] ; [21.30612245 36.69387755],0
a3,1,0.263584,1.249835,[21 19] ; [37 21],[23.67346939 16.32653061] ; [34.32653061 23.67346939],0
u3,1,0.283232,1.151515,[15  4] ; [12  7],[13.5  5.5] ; [13.5  5.5],0
b4,1,0.289666,1.121175,[27 13] ; [33 25],[24.48979592 15.51020408] ; [35.51020408 22.48979592],0
n6,1,0.298599,1.080442,[23 17] ; [38 18],[25.41666667 14.58333333] ; [35.58333333 20.41666667],0
v3,1,0.323798,0.973545,[ 7 29] ; [16 40],[ 9. 27.] ; [14. 42.],0
p10,1,0.353931,0.859314,[27 11] ; [46 12],[28.89583333  9.10416667] ; [44.10416667 13.89583333],0
a5,1,0.382086,0.76398,[22 18] ; [37 21],[24.08163265 15.91836735] ; [34.91836735 23.08163265],0
a2,1,0.3947,0.724414,[ 5 35] ; [11 47],[ 6.53061224 33.46938776] ; [ 9.46938776 48.53061224],0
a6,1,0.395481,0.722024,[25 15] ; [41 17],[26.93877551 13.06122449] ; [39.06122449 18.93877551],0
s7,1,0.419476,0.651782,[15 22] ; [27 28],[16.89130435 20.10869565] ; [25.10869565 29.89130435],0
d3,1,0.42868,0.626397,[25 15] ; [40 17],[26.80412371 13.19587629] ; [38.19587629 18.80412371],0
d2,1,0.529725,0.39492,[17 23] ; [21 37],[15.51020408 24.48979592] ; [22.48979592 35.51020408],0
u2,1,0.535899,0.383193,[9 9] ; [12  8],[9.94736842 8.05263158] ; [11.05263158  8.94736842],0
d4,1,0.553038,0.351903,[33  7] ; [45 13],[31.83673469  8.16326531] ; [46.16326531 11.83673469],0
s8,1,0.562622,0.335185,[19 21] ; [31 27],[20.40816327 19.59183673] ; [29.59183673 28.40816327],0
u1,1,0.573432,0.316974,[ 4 36] ; [ 8 50],[ 4.89795918 35.10204082] ; [ 7.10204082 50.89795918],0
p1,1,0.613057,0.255747,[ 3 37] ; [ 6 51],[ 3.71134021 36.28865979] ; [ 5.28865979 51.71134021],0
n3,1,0.632487,0.228704,[13  7] ; [13  5],[13.68421053  6.31578947] ; [12.31578947  5.68421053],0
v4,1,0.636654,0.223145,[37  3] ; [55  3],[37.55102041  2.44897959] ; [54.44897959  3.55102041],0
a4,1,0.641853,0.216327,[12 28] ; [20 38],[13.06122449 26.93877551] ; [18.93877551 39.06122449],0
p5,1,0.68328,0.166458,[ 2 37] ; [ 2 56],[ 1.60824742 37.39175258] ; [ 2.39175258 55.60824742],0
a1,1,0.700309,0.148151,[ 2 38] ; [ 4 54],[ 2.44897959 37.55102041] ; [ 3.55102041 54.44897959],0
s5,1,0.722207,0.126388,[18 20] ; [24 31],[17.16129032 20.83870968] ; [24.83870968 30.16129032],0
p12,1,0.722972,0.125663,[ 2 37] ; [ 4 54],[ 2.41237113 36.58762887] ; [ 3.58762887 54.41237113],0
s4,1,0.759314,0.09387,[15 25] ; [20 38],[14.28571429 25.71428571] ; [20.71428571 37.28571429],0
r4,1,0.767951,0.087058,[34  6] ; [48 10],[33.46938776  6.53061224] ; [48.53061224  9.46938776],0
s1,1,0.788825,0.071736,[ 1 39] ; [ 2 56],[ 1.2244898 38.7755102] ; [ 1.7755102 56.2244898],0
r3,1,0.789479,0.071282,[39  1] ; [57  1],[39.18367347  0.81632653] ; [56.81632653  1.18367347],0
p9,1,0.833355,0.044268,[30  7] ; [46 12],[29.6  7.4] ; [46.4 11.6],0
a7,1,0.83642,0.042632,[28 12] ; [41 16],[28.45360825 11.54639175] ; [40.54639175 16.45360825],0
s3,1,0.853897,0.03391,[33  7] ; [47 11],[32.65306122  7.34693878] ; [47.34693878 10.65306122],0
s6,1,0.985867,0.000314,[33  6] ; [49  9],[32.96907216  6.03092784] ; [49.03092784  8.96907216],0
