Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,6e-06,20.448802,[16 35] ; [23  4],[25.5 25.5] ; [13.5 13.5],1
p8,1,0.00021,13.73642,[15 35] ; [20  7],[22.72727273 27.27272727] ; [12.27272727 14.72727273],1
p6,1,0.000558,11.911981,[ 8 42] ; [14 12],[14.47368421 35.52631579] ; [ 7.52631579 18.47368421],1
p7,1,0.005924,7.573273,[19 29] ; [19  7],[24.64864865 23.35135135] ; [13.35135135 12.64864865],0
a6,1,0.009122,6.798734,[22 29] ; [20  7],[27.46153846 23.53846154] ; [14.53846154 12.46153846],0
p5,1,0.012526,6.234879,[ 4 46] ; [ 8 19],[ 7.79220779 42.20779221] ; [ 4.20779221 22.79220779],0
b4,1,0.01455,5.970195,[37 14] ; [12 15],[32.03846154 18.96153846] ; [16.96153846 10.03846154],0
b1,1,0.027462,4.861504,[17 34] ; [16 11],[21.57692308 29.42307692] ; [11.42307692 15.57692308],0
n6,1,0.03092,4.657396,[32 17] ; [23  3],[35.93333333 13.06666667] ; [19.06666667  6.93333333],0
s2,1,0.0455,4.0,[16 34] ; [14 11],[20. 30.] ; [10. 15.],0
n3,1,0.048991,3.875671,[16  4] ; [5 6],[13.5483871  6.4516129] ; [7.4516129 3.5483871],0
p9,1,0.080431,3.056165,[35 14] ; [24  3],[38.03947368 10.96052632] ; [20.96052632  6.03947368],0
n5,1,0.084195,2.98201,[30 19] ; [21  5],[33.32 15.68] ; [17.68  8.32],0
p1,1,0.085816,2.95115,[ 3 47] ; [ 5 22],[ 5.19480519 44.80519481] ; [ 2.80519481 24.19480519],0
d5,1,0.088068,2.909344,[32 19] ; [22  5],[35.30769231 15.69230769] ; [18.69230769  8.30769231],0
a5,1,0.099142,2.719298,[26 25] ; [19  8],[29.42307692 21.57692308] ; [15.57692308 11.42307692],0
d4,1,0.109754,2.557757,[32 18] ; [22  5],[35.06493506 14.93506494] ; [18.93506494  8.06493506],0
s4,1,0.122906,2.379893,[ 8 43] ; [ 8 18],[10.5974026 40.4025974] ; [ 5.4025974 20.5974026],0
p10,1,0.127087,2.327728,[33 16] ; [21  4],[35.75675676 13.24324324] ; [18.24324324  6.75675676],0
s8,1,0.13188,2.27023,[13 38] ; [11 15],[15.8961039 35.1038961] ; [ 8.1038961 17.8961039],0
s7,1,0.238651,1.388543,[19 29] ; [14 12],[21.40540541 26.59459459] ; [11.59459459 14.40540541],0
p12,1,0.241959,1.369146,[ 1 49] ; [ 2 25],[ 1.94805195 48.05194805] ; [ 1.05194805 25.94805195],0
a2,1,0.273414,1.199539,[ 5 46] ; [ 5 22],[ 6.53846154 44.46153846] ; [ 3.46153846 23.53846154],0
d3,1,0.305092,1.051806,[24 27] ; [16 11],[26.15384615 24.84615385] ; [13.84615385 13.15384615],0
s3,1,0.315624,1.006993,[20 28] ; [13 11],[22. 26.] ; [11. 13.],0
p2,1,0.322101,0.980398,[37 12] ; [23  4],[38.68421053 10.31578947] ; [21.31578947  5.68421053],0
u1,1,0.334289,0.932213,[ 4 47] ; [ 4 23],[ 5.23076923 45.76923077] ; [ 2.76923077 24.23076923],0
