Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.196706,1.666667,[4 1] ; [2 3],[3. 2.] ; [3. 2.],0
d2,1,0.196706,1.666667,[2 3] ; [4 1],[3. 2.] ; [3. 2.],0
p12,1,0.490153,0.47619,[1 4] ; [2 3],[1.5 3.5] ; [1.5 3.5],0
p7,1,0.490153,0.47619,[3 2] ; [4 1],[3.5 1.5] ; [3.5 1.5],0
p6,1,0.490153,0.47619,[1 4] ; [2 3],[1.5 3.5] ; [1.5 3.5],0
p3,1,0.490153,0.47619,[3 2] ; [4 1],[3.5 1.5] ; [3.5 1.5],0
a3,1,0.490153,0.47619,[3 2] ; [4 1],[3.5 1.5] ; [3.5 1.5],0
a4,1,0.490153,0.47619,[1 4] ; [2 3],[1.5 3.5] ; [1.5 3.5],0
a5,1,0.490153,0.47619,[3 2] ; [4 1],[3.5 1.5] ; [3.5 1.5],0
s2,1,0.490153,0.47619,[2 3] ; [1 4],[1.5 3.5] ; [1.5 3.5],0
n4,1,0.490153,0.47619,[3 2] ; [4 1],[3.5 1.5] ; [3.5 1.5],0
v1,1,0.527089,0.4,[3 2] ; [2 3],[2.5 2.5] ; [2.5 2.5],0
v3,1,0.527089,0.4,[2 3] ; [3 2],[2.5 2.5] ; [2.5 2.5],0
b1,1,0.527089,0.4,[2 3] ; [3 2],[2.5 2.5] ; [2.5 2.5],0
d3,1,0.527089,0.4,[3 2] ; [2 3],[2.5 2.5] ; [2.5 2.5],0
d1,1,0.527089,0.4,[3 2] ; [2 3],[2.5 2.5] ; [2.5 2.5],0
b5,1,0.527089,0.4,[3 2] ; [2 3],[2.5 2.5] ; [2.5 2.5],0
v2,1,0.527089,0.4,[3 2] ; [2 3],[2.5 2.5] ; [2.5 2.5],0
b2,1,0.80915,0.058333,[1 1] ; [3 2],[1.14285714 0.85714286] ; [2.85714286 2.14285714],0
b3,1,0.80915,0.058333,[1 1] ; [3 2],[1.14285714 0.85714286] ; [2.85714286 2.14285714],0
d4,1,1.0,0.0,[4 1] ; [4 1],[4. 1.] ; [4. 1.],0
n5,1,1.0,0.0,[4 1] ; [4 1],[4. 1.] ; [4. 1.],0
a7,1,1.0,0.0,[2 3] ; [2 3],[2. 3.] ; [2. 3.],0
s5,1,1.0,0.0,[3 2] ; [3 2],[3. 2.] ; [3. 2.],0
s6,1,1.0,0.0,[4 1] ; [4 1],[4. 1.] ; [4. 1.],0
p1,1,1.0,0.0,[1 4] ; [1 4],[1. 4.] ; [1. 4.],0
p2,1,1.0,0.0,[4 1] ; [4 1],[4. 1.] ; [4. 1.],0
p4,1,1.0,0.0,[4 1] ; [4 1],[4. 1.] ; [4. 1.],0
b4,1,1.0,0.0,[3 2] ; [3 2],[3. 2.] ; [3. 2.],0
p8,1,1.0,0.0,[3 2] ; [3 2],[3. 2.] ; [3. 2.],0
