Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.003193,8.693895,[15 21] ; [196  98],[23.01818182 12.98181818] ; [187.98181818 106.01818182],0
s6,1,0.03506,4.442238,[20 15] ; [112 178],[14.21538462 20.78461538] ; [117.78461538 172.21538462],0
n5,1,0.047203,3.938135,[29  7] ; [186 105],[23.66972477 12.33027523] ; [191.33027523  99.66972477],0
a2,1,0.068952,3.307788,[ 2 34] ; [ 51 243],[ 5.78181818 30.21818182] ; [ 47.21818182 246.78181818],0
a4,1,0.070943,3.261074,[ 9 27] ; [118 173],[13.98165138 22.01834862] ; [113.01834862 177.98165138],0
r2,1,0.120143,2.415458,[27  8] ; [251  38],[30.0308642  4.9691358] ; [247.9691358  41.0308642],0
a8,1,0.140604,2.171334,[ 1 34] ; [ 29 241],[ 3.44262295 31.55737705] ; [ 26.55737705 243.44262295],0
d1,1,0.16265,1.949411,[12 24] ; [134 160],[15.92727273 20.07272727] ; [130.07272727 163.92727273],0
d3,1,0.163906,1.937811,[25 11] ; [168 125],[21.11854103 14.88145897] ; [171.88145897 121.11854103],0
a3,1,0.169753,1.885127,[18 18] ; [180 111],[21.79816514 14.20183486] ; [176.20183486 114.79816514],0
a7,1,0.185734,1.751137,[20 16] ; [196  98],[23.56363636 12.43636364] ; [192.43636364 101.56363636],0
u2,1,0.200396,1.639485,[ 6 12] ; [56 57],[8.51908397 9.48091603] ; [53.48091603 59.51908397],0
d2,1,0.208995,1.578376,[11 25] ; [121 171],[14.48780488 21.51219512] ; [117.51219512 174.48780488],0
n1,1,0.255999,1.290267,[5 4] ; [36 63],[3.41666667 5.58333333] ; [37.58333333 61.41666667],0
b2,1,0.283028,1.152492,[ 5 15] ; [ 61 103],[ 7.17391304 12.82608696] ; [ 58.82608696 105.17391304],0
b3,1,0.283028,1.152492,[ 5 15] ; [ 61 103],[ 7.17391304 12.82608696] ; [ 58.82608696 105.17391304],0
p5,1,0.293496,1.103513,[ 1 35] ; [ 22 271],[ 2.51671733 33.48328267] ; [ 20.48328267 272.51671733],0
u1,1,0.297111,1.087118,[ 2 34] ; [ 33 261],[ 3.81818182 32.18181818] ; [ 31.18181818 262.81818182],0
b5,1,0.31042,1.028887,[18 18] ; [173 121],[20.83636364 15.16363636] ; [170.16363636 123.83636364],0
p6,1,0.315698,1.006687,[11 25] ; [ 66 221],[ 8.58204334 27.41795666] ; [ 68.41795666 218.58204334],0
r3,1,0.316592,1.002975,[29  7] ; [254  39],[30.96656535  5.03343465] ; [252.03343465  40.96656535],0
p4,1,0.319267,0.991948,[19 17] ; [129 164],[16.19452888 19.80547112] ; [131.80547112 161.19452888],0
r4,1,0.349049,0.876913,[25 11] ; [225  69],[27.27272727  8.72727273] ; [222.72727273  71.27272727],0
d4,1,0.393902,0.726862,[24 12] ; [215  78],[26.15197568  9.84802432] ; [212.84802432  80.15197568],0
s5,1,0.401089,0.705059,[ 8 26] ; [ 51 238],[ 6.21052632 27.78947368] ; [ 52.78947368 236.21052632],0
p10,1,0.437538,0.60273,[26 10] ; [190  99],[23.92615385 12.07384615] ; [192.07384615  96.92615385],0
v2,1,0.450585,0.569179,[11 25] ; [105 179],[13.05 22.95] ; [102.95 181.05],0
n3,1,0.459597,0.546875,[7 2] ; [63 33],[6. 3.] ; [64. 32.],0
r1,1,0.490981,0.474377,[23 13] ; [203  89],[24.80487805 11.19512195] ; [201.19512195  90.80487805],0
p9,1,0.493943,0.467925,[24 12] ; [207  80],[25.74613003 10.25386997] ; [205.25386997  81.74613003],0
s7,1,0.52603,0.402055,[ 9 27] ; [ 57 222],[ 7.54285714 28.45714286] ; [ 58.45714286 220.54285714],0
p3,1,0.546204,0.364163,[15 21] ; [107 186],[13.34954407 22.65045593] ; [108.65045593 184.34954407],0
s3,1,0.565778,0.329798,[10 26] ; [ 68 222],[ 8.61349693 27.38650307] ; [ 69.38650307 220.61349693],0
s8,1,0.589754,0.290728,[ 8 28] ; [ 54 238],[ 6.80487805 29.19512195] ; [ 55.19512195 236.80487805],0
n6,1,0.599673,0.275489,[28  8] ; [216  77],[26.69908815  9.30091185] ; [217.30091185  75.69908815],0
d5,1,0.607521,0.263801,[25 11] ; [216  78],[26.29090909  9.70909091] ; [214.70909091  79.29090909],0
v4,1,0.621103,0.24432,[29  6] ; [251  41],[29.96941896  5.03058104] ; [250.03058104  41.96941896],0
v1,1,0.627188,0.235894,[15 21] ; [108 180],[13.66666667 22.33333333] ; [109.33333333 178.66666667],0
a5,1,0.64813,0.208266,[22 14] ; [191 103],[23.23636364 12.76363636] ; [189.76363636 104.23636364],0
p1,1,0.675179,0.175604,[ 3 33] ; [ 19 274],[ 2.40729483 33.59270517] ; [ 19.59270517 273.40729483],0
p2,1,0.691289,0.157694,[28  8] ; [219  74],[27.02735562  8.97264438] ; [219.97264438  73.02735562],0
p8,1,0.695965,0.152704,[17 19] ; [127 163],[15.90184049 20.09815951] ; [128.09815951 161.90184049],0
p7,1,0.707911,0.140373,[20 16] ; [151 138],[18.94153846 17.05846154] ; [152.05846154 136.94153846],0
p11,1,0.804,0.06159,[25 11] ; [210  84],[25.63636364 10.36363636] ; [209.36363636  84.63636364],0
u3,1,0.806887,0.059753,[9 9] ; [53 60],[8.51908397 9.48091603] ; [53.48091603 59.51908397],0
n4,1,0.831217,0.045429,[25 11] ; [199  95],[24.43636364 11.56363636] ; [199.56363636  94.43636364],0
a1,1,0.844034,0.038705,[ 1 35] ; [ 10 284],[ 1.2 34.8] ; [  9.8 284.2],0
n2,1,0.886414,0.020404,[6 3] ; [63 35],[5.80373832 3.19626168] ; [63.19626168 34.80373832],0
b4,1,0.886659,0.020316,[20 16] ; [167 127],[20.4 15.6] ; [166.6 127.4],0
s1,1,0.920156,0.010048,[ 1 35] ; [  9 283],[ 1.09756098 34.90243902] ; [  8.90243902 283.09756098],0
b1,1,0.984405,0.000382,[15 21] ; [122 172],[14.94545455 21.05454545] ; [122.05454545 171.94545455],0
