Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001053,10.732323,[34 76] ; [34 26],[44. 66.] ; [24. 36.],0
v2,1,0.001212,10.471835,[54 60] ; [47 18],[64.32402235 49.67597765] ; [36.67597765 28.32402235],0
u2,1,0.047018,3.944758,[23 21] ; [15  4],[26.53968254 17.46031746] ; [11.46031746  7.53968254],0
a1,1,0.053361,3.732586,[  5 109] ; [ 8 58],[  8.23333333 105.76666667] ; [ 4.76666667 61.23333333],0
s8,1,0.06859,3.316455,[37 77] ; [30 35],[42.67039106 71.32960894] ; [24.32960894 40.67039106],0
d4,1,0.077559,3.11533,[88 26] ; [58  8],[92.46666667 21.53333333] ; [53.53333333 12.46666667],0
n4,1,0.084388,2.978306,[80 34] ; [54 12],[84.86666667 29.13333333] ; [49.13333333 16.86666667],0
p5,1,0.090198,2.870838,[ 11 103] ; [12 53],[14.64804469 99.35195531] ; [ 8.35195531 56.64804469],0
p11,1,0.093247,2.817402,[89 25] ; [44 22],[84.23333333 29.76666667] ; [48.76666667 17.23333333],0
v1,1,0.099156,2.719064,[61 53] ; [43 22],[66.23463687 47.76536313] ; [37.76536313 27.23463687],0
n6,1,0.156692,2.005865,[95 19] ; [60  6],[98.16666667 15.83333333] ; [56.83333333  9.16666667],0
d2,1,0.169635,1.886163,[45 69] ; [33 33],[49.4 64.6] ; [28.6 37.4],0
p2,1,0.171305,1.871484,[94 20] ; [48 17],[90.43575419 23.56424581] ; [51.56424581 13.43575419],0
p12,1,0.172234,1.86339,[  6 108] ; [ 7 58],[  8.27932961 105.72067039] ; [ 4.72067039 60.27932961],0
p10,1,0.186556,1.744604,[90 23] ; [56  8],[93.20903955 19.79096045] ; [52.79096045 11.20903955],0
b4,1,0.225945,1.466207,[62 52] ; [42 24],[65.86666667 48.13333333] ; [38.13333333 27.86666667],0
a3,1,0.262648,1.254743,[70 44] ; [46 20],[73.46666667 40.53333333] ; [42.53333333 23.46666667],0
p3,1,0.26397,1.247814,[55 59] ; [37 28],[58.59217877 55.40782123] ; [33.40782123 31.59217877],0
s5,1,0.27417,1.195765,[44 69] ; [20 45],[40.62921348 72.37078652] ; [23.37078652 41.62921348],0
