Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.004427,8.1,[1 8] ; [7 2],[4. 5.] ; [4. 5.],0
s7,1,0.008777,6.867655,[ 1 17] ; [7 9],[ 4.23529412 13.76470588] ; [ 3.76470588 12.23529412],0
s8,1,0.008984,6.82601,[ 2 19] ; [8 9],[ 5.52631579 15.47368421] ; [ 4.47368421 12.52631579],0
d3,1,0.027311,4.871015,[10 11] ; [14  3],[13.26315789  7.73684211] ; [10.73684211  6.26315789],0
v2,1,0.034766,4.456644,[ 6 14] ; [11  6],[ 9.18918919 10.81081081] ; [7.81081081 9.18918919],0
p11,1,0.035609,4.415754,[12  9] ; [15  2],[14.92105263  6.07894737] ; [12.07894737  4.92105263],0
s2,1,0.044683,4.030566,[ 1 19] ; [ 5 12],[ 3.24324324 16.75675676] ; [ 2.75675676 14.24324324],0
u2,1,0.0455,4.0,[4 5] ; [8 1],[6. 3.] ; [6. 3.],0
a4,1,0.052816,3.749726,[10 11] ; [ 3 14],[ 7.18421053 13.81578947] ; [ 5.81578947 11.18421053],0
r4,1,0.064739,3.411621,[ 4 17] ; [8 9],[ 6.63157895 14.36842105] ; [ 5.36842105 11.63157895],0
p10,1,0.098019,2.737486,[10 10] ; [13  4],[12.43243243  7.56756757] ; [10.56756757  6.43243243],0
n4,1,0.102832,2.661064,[ 8 13] ; [11  6],[10.5 10.5] ; [8.5 8.5],0
p2,1,0.125847,2.343004,[11 10] ; [13  4],[13.26315789  7.73684211] ; [10.73684211  6.26315789],0
v4,1,0.125847,2.343004,[11 10] ; [13  4],[13.26315789  7.73684211] ; [10.73684211  6.26315789],0
v1,1,0.133076,2.256255,[ 5 16] ; [8 9],[ 7.18421053 13.81578947] ; [ 5.81578947 11.18421053],0
s3,1,0.151609,2.055987,[ 3 17] ; [ 6 11],[ 4.86486486 15.13513514] ; [ 4.13513514 12.86486486],0
p9,1,0.172773,1.85872,[11  9] ; [13  4],[12.97297297  7.02702703] ; [11.02702703  5.97297297],0
a1,1,0.198128,1.656121,[ 1 20] ; [ 3 14],[ 2.21052632 18.78947368] ; [ 1.78947368 15.21052632],0
p12,1,0.198128,1.656121,[ 1 20] ; [ 3 14],[ 2.21052632 18.78947368] ; [ 1.78947368 15.21052632],0
p4,1,0.203216,1.61911,[ 8 13] ; [10  7],[ 9.94736842 11.05263158] ; [8.05263158 8.94736842],0
p5,1,0.216962,1.524354,[ 1 19] ; [ 3 14],[ 2.16216216 17.83783784] ; [ 1.83783784 15.16216216],0
a2,1,0.232576,1.42504,[ 4 17] ; [ 1 16],[ 2.76315789 18.23684211] ; [ 2.23684211 14.76315789],0
b5,1,0.253568,1.303536,[11 10] ; [12  5],[12.71052632  8.28947368] ; [10.28947368  6.71052632],0
v3,1,0.255445,1.293277,[ 3 18] ; [ 5 12],[ 4.42105263 16.57894737] ; [ 3.57894737 13.42105263],0
d4,1,0.274895,1.192157,[14  7] ; [14  3],[15.47368421  5.52631579] ; [12.52631579  4.47368421],0
p7,1,0.360105,0.837527,[ 8 13] ; [9 8],[ 9.39473684 11.60526316] ; [7.60526316 9.39473684],0
r3,1,0.382777,0.761765,[14  6] ; [14  3],[15.13513514  4.86486486] ; [12.86486486  4.13513514],0
p3,1,0.382777,0.761765,[ 6 14] ; [ 3 14],[ 4.86486486 15.13513514] ; [ 4.13513514 12.86486486],0
a5,1,0.389412,0.740779,[14  7] ; [9 8],[12.71052632  8.28947368] ; [10.28947368  6.71052632],0
a3,1,0.431176,0.619654,[12  8] ; [8 9],[10.81081081  9.18918919] ; [9.18918919 7.81081081],0
n6,1,0.44419,0.585434,[11 10] ; [11  6],[12.15789474  8.84210526] ; [9.84210526 7.15789474],0
b4,1,0.44419,0.585434,[11 10] ; [11  6],[12.15789474  8.84210526] ; [9.84210526 7.15789474],0
s4,1,0.461384,0.542535,[ 2 19] ; [ 3 14],[ 2.76315789 18.23684211] ; [ 2.23684211 14.76315789],0
n1,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
p6,1,0.506061,0.442204,[ 4 16] ; [ 5 12],[ 4.86486486 15.13513514] ; [ 4.13513514 12.86486486],0
d2,1,0.507591,0.439031,[ 7 14] ; [ 4 13],[ 6.07894737 14.92105263] ; [ 4.92105263 12.07894737],0
