Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.008927,6.837299,[33 12] ; [91 10],[38.21917808  6.78082192] ; [85.78082192 15.21917808],0
d1,1,0.01345,6.10898,[12 33] ; [49 52],[18.80136986 26.19863014] ; [42.19863014 58.80136986],0
a7,1,0.036901,4.354967,[26 19] ; [75 25],[31.34482759 13.65517241] ; [69.65517241 30.34482759],0
s5,1,0.039612,4.234429,[ 6 37] ; [30 69],[10.90140845 32.09859155] ; [25.09859155 73.90140845],0
d4,1,0.090172,2.871295,[27 17] ; [76 25],[31.25517241 12.74482759] ; [71.74482759 29.25517241],0
b1,1,0.103503,2.650713,[22 23] ; [35 66],[17.56849315 27.43150685] ; [39.43150685 61.56849315],0
s7,1,0.116875,2.45871,[14 28] ; [20 76],[10.34782609 31.65217391] ; [23.65217391 72.34782609],0
u3,1,0.120408,2.412009,[ 9 14] ; [26 18],[12.01492537 10.98507463] ; [22.98507463 21.01492537],0
r3,1,0.122978,2.378978,[37  8] ; [92  9],[39.76027397  5.23972603] ; [89.23972603 11.76027397],0
d3,1,0.153435,2.037763,[24 20] ; [67 33],[27.80555556 16.19444444] ; [63.19444444 36.80555556],0
p11,1,0.155625,2.016235,[31 14] ; [57 44],[27.12328767 17.87671233] ; [60.87671233 40.12328767],0
s8,1,0.227196,1.458329,[14 31] ; [22 79],[11.09589041 33.90410959] ; [24.90410959 76.09589041],0
d2,1,0.238928,1.386908,[12 33] ; [37 64],[15.10273973 29.89726027] ; [33.89726027 67.10273973],0
a5,1,0.240839,1.375675,[18 27] ; [51 50],[21.26712329 23.73287671] ; [47.73287671 53.26712329],0
v2,1,0.260084,1.268308,[12 30] ; [37 59],[14.91304348 27.08695652] ; [34.08695652 61.91304348],0
r4,1,0.350076,0.873182,[31 14] ; [77 24],[33.28767123 11.71232877] ; [74.71232877 26.28767123],0
d5,1,0.354587,0.856974,[28 17] ; [70 30],[30.4137931 14.5862069] ; [67.5862069 32.4137931],0
r1,1,0.395842,0.720921,[25 20] ; [63 37],[27.31034483 17.68965517] ; [60.68965517 39.31034483],0
u2,1,0.441915,0.591304,[13 10] ; [21 24],[11.5 11.5] ; [22.5 22.5],0
u1,1,0.442555,0.58965,[ 2 43] ; [ 8 93],[ 3.08219178 41.91780822] ; [ 6.91780822 94.08219178],0
p5,1,0.450589,0.56917,[ 1 43] ; [ 5 95],[ 1.83333333 42.16666667] ; [ 4.16666667 95.83333333],0
v3,1,0.456101,0.555447,[ 6 38] ; [18 78],[ 7.54285714 36.45714286] ; [16.45714286 79.54285714],0
p8,1,0.468145,0.526351,[20 24] ; [39 61],[18.02777778 25.97222222] ; [40.97222222 59.02777778],0
b4,1,0.478379,0.502556,[23 22] ; [58 43],[24.96575342 20.03424658] ; [56.03424658 44.96575342],0
b3,1,0.524805,0.40444,[ 6 15] ; [11 40],[ 4.95833333 16.04166667] ; [12.04166667 38.95833333],0
b2,1,0.524805,0.40444,[ 6 15] ; [11 40],[ 4.95833333 16.04166667] ; [12.04166667 38.95833333],0
a3,1,0.533876,0.387008,[22 23] ; [55 46],[23.73287671 21.26712329] ; [53.26712329 47.73287671],0
a6,1,0.586491,0.295857,[28 17] ; [58 43],[26.50684932 18.49315068] ; [59.49315068 41.50684932],0
p3,1,0.593353,0.285139,[11 34] ; [29 72],[12.32876712 32.67123288] ; [27.67123288 73.32876712],0
a1,1,0.593851,0.28437,[ 1 44] ; [ 4 97],[ 1.54109589 43.45890411] ; [ 3.45890411 97.54109589],0
n3,1,0.612668,0.256307,[13  8] ; [26 12],[13.88135593  7.11864407] ; [25.11864407 12.88135593],0
p6,1,0.622299,0.24265,[11 34] ; [21 80],[ 9.8630137 35.1369863] ; [22.1369863 78.8630137],0
a2,1,0.648464,0.207842,[ 3 42] ; [ 9 92],[ 3.69863014 41.30136986] ; [ 8.30136986 92.69863014],0
s3,1,0.7468,0.10424,[20 25] ; [42 59],[19.10958904 25.89041096] ; [42.89041096 58.10958904],0
n2,1,0.764012,0.09013,[13  8] ; [22 16],[12.45762712  8.54237288] ; [22.54237288 15.45762712],0
p2,1,0.780015,0.078008,[30 15] ; [69 31],[30.72413793 14.27586207] ; [68.27586207 31.72413793],0
v4,1,0.784465,0.074805,[38  6] ; [88 12],[38.5  5.5] ; [87.5 12.5],0
p9,1,0.793424,0.068574,[29 15] ; [63 36],[28.30769231 15.69230769] ; [63.69230769 35.30769231],0
n6,1,0.811085,0.057134,[29 16] ; [63 38],[28.35616438 16.64383562] ; [63.64383562 37.35616438],0
a4,1,0.825297,0.048725,[11 34] ; [23 78],[10.47945205 34.52054795] ; [23.52054795 77.47945205],0
b5,1,0.853515,0.03409,[26 19] ; [60 41],[26.50684932 18.49315068] ; [59.49315068 41.50684932],0
s2,1,0.885263,0.020823,[16 28] ; [38 63],[16.3862069 27.6137931] ; [37.6137931 63.3862069],0
n1,1,0.885423,0.020764,[ 6 14] ; [11 28],[ 5.76271186 14.23728814] ; [11.23728814 27.76271186],0
s1,1,0.891783,0.018509,[ 2 43] ; [ 4 97],[ 1.84931507 43.15068493] ; [ 4.15068493 96.84931507],0
