Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000649,11.62908,[88 35] ; [ 8 15],[80.87671233 42.12328767] ; [15.12328767  7.87671233],1
p10,1,0.017305,5.665151,[101  21] ; [14  9],[96.75862069 25.24137931] ; [18.24137931  4.75862069],0
p2,1,0.071361,3.251425,[112  11] ; [18  5],[109.52054795  13.47945205] ; [20.47945205  2.52054795],0
r1,1,0.108969,2.569115,[98 24] ; [15  8],[95.07586207 26.92413793] ; [17.92413793  5.07586207],0
s1,1,0.135511,2.228213,[  3 118] ; [ 2 21],[  4.20138889 116.79861111] ; [ 0.79861111 22.20138889],0
u4,1,0.183275,1.770862,[  1 121] ; [ 1 22],[  1.68275862 120.31724138] ; [ 0.31724138 22.68275862],0
p4,1,0.185824,1.750419,[96 27] ; [15  8],[93.51369863 29.48630137] ; [17.48630137  5.51369863],0
a7,1,0.199138,1.648684,[91 31] ; [20  3],[93.39310345 28.60689655] ; [17.60689655  5.39310345],0
n1,1,0.217657,1.51975,[10 21] ; [4 3],[11.42105263 19.57894737] ; [2.57894737 4.42105263],0
d3,1,0.225049,1.471881,[85 36] ; [19  4],[87.38888889 33.61111111] ; [16.61111111  6.38888889],0
d2,1,0.244136,1.35655,[59 64] ; [ 8 15],[56.44520548 66.55479452] ; [10.55479452 12.44520548],0
s5,1,0.270526,1.214079,[41 77] ; [ 5 17],[38.77142857 79.22857143] ; [ 7.22857143 14.77142857],0
a2,1,0.271015,1.211603,[35 88] ; [ 4 19],[32.85616438 90.14383562] ; [ 6.14383562 16.85616438],0
a6,1,0.271926,1.207007,[82 41] ; [18  5],[84.24657534 38.75342466] ; [15.75342466  7.24657534],0
p11,1,0.282053,1.15717,[98 25] ; [16  7],[96.04109589 26.95890411] ; [17.95890411  5.04109589],0
p3,1,0.308874,1.035485,[78 45] ; [12 11],[75.82191781 47.17808219] ; [14.17808219  8.82191781],0
v4,1,0.345426,0.89019,[117   5] ; [21  2],[116.11034483   5.88965517] ; [21.88965517  1.11034483],0
v2,1,0.35188,0.866667,[68 53] ; [10 12],[66. 55.] ; [12. 10.],0
b2,1,0.353954,0.859231,[30 46] ; [5 4],[31.29411765 44.70588235] ; [3.70588235 5.29411765],0
b3,1,0.353954,0.859231,[30 46] ; [5 4],[31.29411765 44.70588235] ; [3.70588235 5.29411765],0
a3,1,0.360218,0.837135,[86 36] ; [14  9],[84.13793103 37.86206897] ; [15.86206897  7.13793103],0
p5,1,0.397055,0.717228,[ 19 104] ; [ 2 21],[ 17.69178082 105.30821918] ; [ 3.30821918 19.69178082],0
p12,1,0.403212,0.698727,[ 12 111] ; [ 1 22],[ 10.95205479 112.04794521] ; [ 2.04794521 20.95205479],0
u2,1,0.415107,0.664126,[22 15] ; [4 5],[20.91304348 16.08695652] ; [5.08695652 3.91304348],0
s4,1,0.415955,0.661715,[24 94] ; [ 3 20],[22.59574468 95.40425532] ; [ 4.40425532 18.59574468],0
b5,1,0.416697,0.659612,[69 54] ; [15  8],[70.76712329 52.23287671] ; [13.23287671  9.76712329],0
d5,1,0.44168,0.591913,[94 28] ; [16  7],[92.55172414 29.44827586] ; [17.44827586  5.55172414],0
a4,1,0.472733,0.51558,[59 63] ; [13 10],[60.57931034 61.42068966] ; [11.42068966 11.57931034],0
p1,1,0.496614,0.462165,[ 15 108] ; [ 4 19],[ 16.00684932 106.99315068] ; [ 2.99315068 20.00684932],0
b4,1,0.502566,0.449513,[71 52] ; [15  8],[72.45205479 50.54794521] ; [13.54794521  9.45205479],0
n4,1,0.567518,0.326853,[95 28] ; [19  4],[96.04109589 26.95890411] ; [17.95890411  5.04109589],0
u1,1,0.571481,0.320211,[ 22 101] ; [ 3 20],[ 21.06164384 101.93835616] ; [ 3.93835616 19.06164384],0
u3,1,0.604741,0.267904,[20 17] ; [4 5],[19.30434783 17.69565217] ; [4.69565217 4.30434783],0
b1,1,0.620266,0.245494,[55 68] ; [ 9 14],[53.91780822 69.08219178] ; [10.08219178 12.91780822],0
r2,1,0.68706,0.162286,[114   8] ; [22  1],[114.42758621   7.57241379] ; [21.57241379  1.42758621],0
s7,1,0.688379,0.160846,[44 72] ; [ 7 14],[43.18248175 72.81751825] ; [ 7.81751825 13.18248175],0
r4,1,0.72733,0.121577,[110  13] ; [20  3],[109.52054795  13.47945205] ; [20.47945205  2.52054795],0
n2,1,0.736319,0.113389,[24  7] ; [5 2],[23.65789474  7.34210526] ; [5.34210526 1.65789474],0
s6,1,0.744342,0.106347,[71 47] ; [13 10],[70.29787234 47.70212766] ; [13.70212766  9.29787234],0
n6,1,0.756358,0.096265,[103  19] ; [20  3],[103.48965517  18.51034483] ; [19.51034483  3.48965517],0
v1,1,0.764053,0.090098,[62 59] ; [11 12],[61.34027778 59.65972222] ; [11.65972222 11.34027778],0
r3,1,0.782665,0.076092,[114   7] ; [22  1],[114.27777778   6.72222222] ; [21.72222222  1.27777778],0
