Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.476755,[167  19] ; [3 6],[162.15384615  23.84615385] ; [7.84615385 1.15384615],1
r1,1,0.000997,10.833883,[148  37] ; [3 6],[143.99484536  41.00515464] ; [7.00515464 1.99484536],1
r2,1,0.016168,5.784476,[176   9] ; [6 2],[174.45595855  10.54404145] ; [7.54404145 0.45595855],0
v4,1,0.027898,4.834365,[176   9] ; [7 2],[174.51030928  10.48969072] ; [8.48969072 0.51030928],0
s1,1,0.039988,4.218374,[ 10 176] ; [2 7],[ 11.44615385 174.55384615] ; [0.55384615 8.44615385],0
d4,1,0.048536,3.891345,[151  33] ; [5 4],[148.7253886  35.2746114] ; [7.2746114 1.7253886],0
p10,1,0.055779,3.658631,[150  34] ; [5 4],[147.77202073  36.22797927] ; [7.22797927 1.77202073],0
b5,1,0.057875,3.59726,[106  80] ; [8 1],[108.73846154  77.26153846] ; [5.26153846 3.73846154],0
s4,1,0.076522,3.137262,[ 51 131] ; [5 4],[ 53.36125654 128.63874346] ; [2.63874346 6.36125654],0
p7,1,0.094508,2.795866,[120  61] ; [3 5],[117.79365079  63.20634921] ; [5.20634921 2.79365079],0
p1,1,0.098953,2.722336,[ 13 170] ; [2 7],[ 14.296875 168.703125] ; [0.703125 8.296875],0
d5,1,0.101724,2.678297,[145  39] ; [5 4],[143.00518135  40.99481865] ; [6.99481865 2.00518135],0
s7,1,0.124208,2.363438,[113  64] ; [8 1],[115.14516129  61.85483871] ; [5.85483871 3.14516129],0
a6,1,0.143865,2.136124,[125  59] ; [4 5],[122.98445596  61.01554404] ; [6.01554404 2.98445596],0
s6,1,0.148399,2.088636,[156  28] ; [6 3],[154.44559585  29.55440415] ; [7.55440415 1.44559585],0
a7,1,0.164133,1.935734,[140  44] ; [5 4],[138.23834197  45.76165803] ; [6.76165803 2.23834197],0
v2,1,0.174591,1.843074,[81 98] ; [2 7],[79.02659574 99.97340426] ; [3.97340426 5.02659574],0
p9,1,0.212066,1.557268,[151  31] ; [6 3],[149.60209424  32.39790576] ; [7.39790576 1.60209424],0
v3,1,0.226725,1.461288,[ 54 127] ; [1 8],[ 52.39473684 128.60526316] ; [2.60526316 6.39473684],0
p11,1,0.233236,1.42102,[137  49] ; [5 4],[135.44615385  50.55384615] ; [6.55384615 2.44615385],0
b1,1,0.240296,1.378857,[ 78 108] ; [2 7],[ 76.30769231 109.69230769] ; [3.69230769 5.30769231],0
p6,1,0.240898,1.37533,[ 67 118] ; [5 4],[ 68.65979381 116.34020619] ; [3.34020619 5.65979381],0
n4,1,0.255029,1.295544,[133  53] ; [8 1],[134.49230769  51.50769231] ; [6.50769231 2.49230769],0
s8,1,0.313374,1.016404,[92 94] ; [6 3],[93.47692308 92.52307692] ; [4.52307692 4.47692308],0
d2,1,0.320994,0.984892,[92 93] ; [6 3],[93.45360825 91.54639175] ; [4.54639175 4.45360825],0
p8,1,0.336811,0.922532,[91 92] ; [3 6],[89.59375 93.40625] ; [4.40625 4.59375],0
d3,1,0.340724,0.907706,[129  54] ; [5 4],[127.71875  55.28125] ; [6.28125 2.71875],0
a2,1,0.350806,0.870541,[ 46 140] ; [1 8],[ 44.83076923 141.16923077] ; [2.16923077 6.83076923],0
a5,1,0.410758,0.676604,[127  58] ; [5 4],[125.87628866  59.12371134] ; [6.12371134 2.87628866],0
d1,1,0.41961,0.651407,[108  78] ; [4 5],[106.83076923  79.16923077] ; [5.16923077 3.83076923],0
p3,1,0.430841,0.620554,[86 98] ; [3 6],[84.84974093 99.15025907] ; [4.15025907 4.84974093],0
n3,1,0.471581,0.518269,[33 11] ; [3 2],[32.32653061 11.67346939] ; [3.67346939 1.32653061],0
u1,1,0.474485,0.511511,[ 39 147] ; [1 8],[ 38.15384615 147.84615385] ; [1.84615385 7.15384615],0
b2,1,0.546205,0.36416,[31 66] ; [2 7],[30.19811321 66.80188679] ; [2.80188679 6.19811321],0
b3,1,0.546205,0.36416,[31 66] ; [2 7],[30.19811321 66.80188679] ; [2.80188679 6.19811321],0
n5,1,0.569466,0.323576,[128  58] ; [7 2],[128.76923077  57.23076923] ; [6.23076923 2.76923077],0
a4,1,0.599944,0.27508,[ 78 107] ; [3 6],[ 77.24226804 107.75773196] ; [3.75773196 5.24226804],0
n6,1,0.633982,0.226699,[154  32] ; [8 1],[154.52307692  31.47692308] ; [7.47692308 1.52307692],0
p2,1,0.651385,0.204159,[153  31] ; [8 1],[153.49222798  30.50777202] ; [7.50777202 1.49222798],0
u2,1,0.695916,0.152756,[32 26] ; [2 1],[32.32786885 25.67213115] ; [1.67213115 1.32786885],0
n2,1,0.727054,0.121834,[32 12] ; [4 1],[32.32653061 11.67346939] ; [3.67346939 1.32653061],0
n1,1,0.738298,0.111628,[14 29] ; [2 3],[14.33333333 28.66666667] ; [1.66666667 3.33333333],0
u3,1,0.808915,0.05848,[34 23] ; [2 1],[34.2 22.8] ; [1.8 1.2],0
p4,1,0.866826,0.02812,[108  77] ; [5 4],[107.75773196  77.24226804] ; [5.24226804 3.75773196],0
b4,1,0.88162,0.022176,[108  78] ; [5 4],[107.78461538  78.21538462] ; [5.21538462 3.78461538],0
a3,1,0.900476,0.01564,[127  58] ; [6 3],[126.82989691  58.17010309] ; [6.17010309 2.82989691],0
s5,1,0.980745,0.000582,[ 66 112] ; [3 5],[ 66.03225806 111.96774194] ; [2.96774194 5.03225806],0
