Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.9e-05,17.48433,[ 7 68] ; [6 4],[11.47058824 63.52941176] ; [1.52941176 8.47058824],1
a3,1,0.00198,9.567796,[33 47] ; [10  1],[37.8021978 42.1978022] ; [5.1978022 5.8021978],0
s5,1,0.002972,8.824681,[ 3 78] ; [3 8],[ 5.2826087 75.7173913] ; [ 0.7173913 10.2826087],0
v2,1,0.003386,8.586662,[21 54] ; [8 3],[25.29069767 49.70930233] ; [3.70930233 7.29069767],0
p4,1,0.014964,5.92076,[28 53] ; [8 3],[31.69565217 49.30434783] ; [4.30434783 6.69565217],0
p3,1,0.021012,5.325794,[23 57] ; [7 4],[26.37362637 53.62637363] ; [3.62637363 7.37362637],0
s2,1,0.024066,5.089847,[ 9 72] ; [4 7],[11.44565217 69.55434783] ; [1.55434783 9.44565217],0
p7,1,0.032656,4.563735,[37 41] ; [9 2],[40.31460674 37.68539326] ; [5.68539326 5.31460674],0
a5,1,0.054693,3.691407,[34 47] ; [8 3],[36.97826087 44.02173913] ; [5.02173913 5.97826087],0
n6,1,0.062311,3.474768,[50 30] ; [10  1],[52.74725275 27.25274725] ; [7.25274725 3.74725275],0
v3,1,0.08858,2.899995,[17 61] ; [5 6],[19.28089888 58.71910112] ; [2.71910112 8.28089888],0
u1,1,0.09363,2.810824,[ 1 80] ; [ 1 10],[ 1.76086957 79.23913043] ; [ 0.23913043 10.76086957],0
a4,1,0.118992,2.430536,[19 62] ; [5 6],[21.13043478 59.86956522] ; [2.86956522 8.13043478],0
r4,1,0.148167,2.091026,[48 33] ; [9 2],[50.18478261 30.81521739] ; [6.81521739 4.18478261],0
s3,1,0.154162,2.030579,[20 60] ; [5 6],[21.97802198 58.02197802] ; [3.02197802 7.97802198],0
a2,1,0.158673,1.98683,[ 5 76] ; [2 9],[ 6.16304348 74.83695652] ; [ 0.83695652 10.16304348],0
d5,1,0.183382,1.770003,[31 49] ; [2 9],[29.01098901 50.98901099] ; [3.98901099 7.01098901],0
r1,1,0.186489,1.745142,[34 46] ; [7 4],[36.04395604 43.95604396] ; [4.95604396 6.04395604],0
p5,1,0.256189,1.289235,[ 2 77] ; [ 1 10],[ 2.63333333 76.36666667] ; [ 0.36666667 10.63333333],0
p8,1,0.269662,1.218466,[29 49] ; [6 5],[30.6741573 47.3258427] ; [4.3258427 6.6741573],0
a6,1,0.335047,0.929293,[39 42] ; [7 4],[40.5 40.5] ; [5.5 5.5],0
d2,1,0.353611,0.860456,[19 62] ; [4 7],[20.25 60.75] ; [2.75 8.25],0
v4,1,0.366968,0.813905,[62 16] ; [10  1],[63.1011236 14.8988764] ; [8.8988764 2.1011236],0
b2,1,0.385755,0.75228,[16 31] ; [4 4],[17.09090909 29.90909091] ; [2.90909091 5.09090909],0
b3,1,0.385755,0.75228,[16 31] ; [4 4],[17.09090909 29.90909091] ; [2.90909091 5.09090909],0
p11,1,0.390452,0.737534,[48 33] ; [8 3],[49.30434783 31.69565217] ; [6.69565217 4.30434783],0
d1,1,0.41102,0.675849,[ 3 78] ; [ 1 10],[ 3.52173913 77.47826087] ; [ 0.47826087 10.52173913],0
p12,1,0.41102,0.675849,[ 3 78] ; [ 1 10],[ 3.52173913 77.47826087] ; [ 0.47826087 10.52173913],0
p6,1,0.437598,0.602573,[20 59] ; [4 7],[21.06666667 57.93333333] ; [2.93333333 8.06666667],0
p10,1,0.442253,0.590428,[40 38] ; [7 4],[41.19101124 36.80898876] ; [5.80898876 5.19101124],0
b5,1,0.477865,0.503731,[46 35] ; [5 6],[44.90217391 36.09782609] ; [6.09782609 4.90217391],0
b4,1,0.477865,0.503731,[35 46] ; [6 5],[36.09782609 44.90217391] ; [4.90217391 6.09782609],0
r3,1,0.496996,0.461345,[57 22] ; [9 2],[57.93333333 21.06666667] ; [8.06666667 2.93333333],0
b1,1,0.527985,0.398268,[36 45] ; [6 5],[36.97826087 44.02173913] ; [5.02173913 5.97826087],0
s1,1,0.584813,0.298518,[ 4 75] ; [ 1 10],[ 4.38888889 74.61111111] ; [ 0.61111111 10.38888889],0
p1,1,0.599495,0.275758,[12 68] ; [ 1 10],[11.42857143 68.57142857] ; [1.57142857 9.42857143],0
d3,1,0.605948,0.266118,[20 59] ; [2 9],[19.31111111 59.68888889] ; [2.68888889 8.31111111],0
p2,1,0.668303,0.183594,[53 27] ; [8 3],[53.62637363 26.37362637] ; [7.37362637 3.62637363],0
n5,1,0.7272,0.121698,[54 26] ; [8 3],[54.50549451 25.49450549] ; [7.49450549 3.50549451],0
p9,1,0.843411,0.039019,[45 33] ; [6 5],[44.69662921 33.30337079] ; [6.30337079 4.69662921],0
r2,1,0.887128,0.020147,[64 16] ; [9 2],[64.17582418 15.82417582] ; [8.82417582 2.17582418],0
a7,1,0.931459,0.007398,[42 37] ; [6 5],[42.13333333 36.86666667] ; [5.86666667 5.13333333],0
n4,1,0.941769,0.005336,[50 30] ; [7 4],[50.10989011 29.89010989] ; [6.89010989 4.10989011],0
s4,1,0.960455,0.002458,[ 7 74] ; [ 1 10],[ 7.04347826 73.95652174] ; [ 0.95652174 10.04347826],0
v1,1,0.96537,0.001885,[30 51] ; [4 7],[29.93478261 51.06521739] ; [4.06521739 6.93478261],0
