Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000293,13.116373,[ 7 47] ; [9 7],[12.34285714 41.65714286] ; [ 3.65714286 12.34285714],1
v2,1,0.000468,12.238262,[ 8 44] ; [9 6],[13.19402985 38.80597015] ; [ 3.80597015 11.19402985],1
s5,1,0.003316,8.624738,[ 3 50] ; [ 5 10],[ 6.23529412 46.76470588] ; [ 1.76470588 13.23529412],0
p7,1,0.008664,6.890883,[10 42] ; [8 7],[13.97014925 38.02985075] ; [ 4.02985075 10.97014925],0
d3,1,0.011457,6.392949,[24 29] ; [13  3],[28.42028986 24.57971014] ; [8.57971014 7.42028986],0
u3,1,0.012933,6.178253,[ 3 21] ; [4 3],[ 5.41935484 18.58064516] ; [1.58064516 5.41935484],0
r3,1,0.019412,5.464024,[16 37] ; [10  6],[19.97101449 33.02898551] ; [6.02898551 9.97101449],0
p3,1,0.035197,4.43558,[ 8 45] ; [6 9],[10.91176471 42.08823529] ; [ 3.08823529 11.91176471],0
p2,1,0.04376,4.065802,[17 37] ; [9 6],[20.34782609 33.65217391] ; [5.65217391 9.34782609],0
v1,1,0.052299,3.766173,[13 40] ; [8 8],[16.13043478 36.86956522] ; [ 4.86956522 11.13043478],0
a4,1,0.057648,3.603796,[20 33] ; [ 2 14],[16.89855072 36.10144928] ; [ 5.10144928 10.89855072],0
v3,1,0.081168,3.041352,[ 9 44] ; [ 6 10],[11.52173913 41.47826087] ; [ 3.47826087 12.52173913],0
p4,1,0.081168,3.041352,[ 9 44] ; [ 6 10],[11.52173913 41.47826087] ; [ 3.47826087 12.52173913],0
v4,1,0.088899,2.894194,[27 26] ; [12  4],[29.95652174 23.04347826] ; [9.04347826 6.95652174],0
s8,1,0.097744,2.74197,[ 3 51] ; [ 3 13],[ 4.62857143 49.37142857] ; [ 1.37142857 14.62857143],0
d4,1,0.106878,2.599794,[32 22] ; [13  3],[34.71428571 19.28571429] ; [10.28571429  5.71428571],0
n1,1,0.12378,2.368831,[10 18] ; [1 9],[ 8.10526316 19.89473684] ; [2.89473684 7.10526316],0
r2,1,0.137005,2.211282,[27 23] ; [12  4],[29.54545455 20.45454545] ; [9.45454545 6.54545455],0
b5,1,0.147071,2.102368,[26 28] ; [11  5],[28.54285714 25.45714286] ; [8.45714286 7.54285714],0
s4,1,0.163187,1.944444,[ 6 48] ; [ 4 12],[ 7.71428571 46.28571429] ; [ 2.28571429 13.71428571],0
p9,1,0.175162,1.838197,[16 35] ; [8 8],[18.26865672 32.73134328] ; [ 5.73134328 10.26865672],0
n6,1,0.208347,1.582874,[20 32] ; [9 7],[22.17647059 29.82352941] ; [6.82352941 9.17647059],0
b2,1,0.208967,1.578571,[17 17] ; [1 4],[15.69230769 18.30769231] ; [2.30769231 2.69230769],0
b3,1,0.208967,1.578571,[17 17] ; [1 4],[15.69230769 18.30769231] ; [2.30769231 2.69230769],0
a7,1,0.227326,1.457511,[24 29] ; [10  6],[26.11594203 26.88405797] ; [7.88405797 8.11594203],0
u2,1,0.231998,1.428571,[ 6 18] ; [3 3],[ 7.2 16.8] ; [1.8 4.2],0
n5,1,0.239654,1.382629,[32 21] ; [7 9],[29.95652174 23.04347826] ; [9.04347826 6.95652174],0
d5,1,0.285439,1.141011,[29 25] ; [11  5],[30.85714286 23.14285714] ; [9.14285714 6.85714286],0
b4,1,0.31305,1.017762,[28 26] ; [ 6 10],[26.22857143 27.77142857] ; [7.77142857 8.22857143],0
p10,1,0.313208,1.017099,[16 37] ; [7 9],[17.66666667 35.33333333] ; [ 5.33333333 10.66666667],0
s7,1,0.369305,0.806,[ 8 41] ; [ 4 11],[ 9.1875 39.8125] ; [ 2.8125 12.1875],0
n3,1,0.427576,0.6294,[10 18] ; [5 5],[11.05263158 16.94736842] ; [3.94736842 6.05263158],0
s1,1,0.44615,0.580413,[ 7 46] ; [ 1 15],[ 6.14492754 46.85507246] ; [ 1.85507246 14.14492754],0
s3,1,0.483431,0.491114,[15 38] ; [ 6 10],[16.13043478 36.86956522] ; [ 4.86956522 11.13043478],0
d1,1,0.533452,0.387812,[19 35] ; [7 9],[20.05714286 33.94285714] ; [ 5.94285714 10.05714286],0
n4,1,0.548216,0.360522,[31 22] ; [8 8],[29.95652174 23.04347826] ; [9.04347826 6.95652174],0
