Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.001095,10.659948,[23 54] ; [27 18],[31.55737705 45.44262295] ; [18.44262295 26.55737705],0
v2,1,0.003171,8.706642,[18 56] ; [22 21],[25.2991453 48.7008547] ; [14.7008547 28.2991453],0
a4,1,0.005959,7.562545,[ 9 69] ; [14 30],[14.70491803 63.29508197] ; [ 8.29508197 35.70491803],0
u3,1,0.018383,5.559315,[15 39] ; [11  8],[19.23287671 34.76712329] ; [ 6.76712329 12.23287671],0
a2,1,0.042637,4.109751,[ 1 77] ; [ 4 42],[ 3.14516129 74.85483871] ; [ 1.85483871 44.14516129],0
d1,1,0.042637,4.109751,[ 1 77] ; [ 4 42],[ 3.14516129 74.85483871] ; [ 1.85483871 44.14516129],0
r1,1,0.056916,3.625044,[40 38] ; [31 14],[45.02439024 32.97560976] ; [25.97560976 19.02439024],0
a5,1,0.057516,3.607611,[24 54] ; [22 24],[28.93548387 49.06451613] ; [17.06451613 28.93548387],0
b3,1,0.102714,2.662893,[11 31] ; [13 16],[14.1971831 27.8028169] ; [ 9.8028169 19.1971831],0
b2,1,0.102714,2.662893,[11 31] ; [13 16],[14.1971831 27.8028169] ; [ 9.8028169 19.1971831],0
v3,1,0.134748,2.236936,[16 60] ; [15 30],[19.47107438 56.52892562] ; [11.52892562 33.47107438],0
n2,1,0.137916,2.201064,[19 10] ; [9 1],[20.82051282  8.17948718] ; [7.17948718 2.82051282],0
p9,1,0.146761,2.1056,[44 31] ; [33 13],[47.72727273 27.27272727] ; [29.27272727 16.72727273],0
n6,1,0.188584,1.728647,[50 28] ; [34 11],[53.26829268 24.73170732] ; [30.73170732 14.26829268],0
r2,1,0.193046,1.694219,[58 20] ; [38  7],[60.87804878 17.12195122] ; [35.12195122  9.87804878],0
a7,1,0.214261,1.542399,[36 42] ; [26 19],[39.31707317 38.68292683] ; [22.68292683 22.31707317],0
n5,1,0.216817,1.525316,[42 34] ; [30 15],[45.2231405 30.7768595] ; [26.7768595 18.2231405],0
a6,1,0.228194,1.452086,[46 32] ; [22 24],[42.77419355 35.22580645] ; [25.22580645 20.77419355],0
p10,1,0.233262,1.420858,[40 35] ; [29 16],[43.125 31.875] ; [25.875 19.125],0
p7,1,0.23538,1.408054,[30 45] ; [23 22],[33.125 41.875] ; [19.875 25.125],0
v4,1,0.246339,1.34395,[61 17] ; [39  6],[63.41463415 14.58536585] ; [36.58536585  8.41463415],0
s4,1,0.277584,1.178879,[14 63] ; [ 5 41],[11.89430894 65.10569106] ; [ 7.10569106 38.89430894],0
u1,1,0.283133,1.151988,[ 1 77] ; [ 2 44],[ 1.88709677 76.11290323] ; [ 1.11290323 44.88709677],0
r4,1,0.323144,0.976177,[51 27] ; [34 12],[53.46774194 24.53225806] ; [31.53225806 14.46774194],0
d4,1,0.331197,0.944211,[32 46] ; [23 23],[34.59677419 43.40322581] ; [20.40322581 25.59677419],0
n4,1,0.334546,0.93122,[41 36] ; [28 17],[43.54918033 33.45081967] ; [25.45081967 19.54918033],0
d2,1,0.371526,0.798553,[15 63] ; [12 34],[16.98387097 61.01612903] ; [10.01612903 35.98387097],0
b4,1,0.40571,0.691338,[45 33] ; [23 23],[42.77419355 35.22580645] ; [25.22580645 20.77419355],0
s5,1,0.423072,0.641767,[13 63] ; [ 5 38],[11.49579832 64.50420168] ; [ 6.50420168 36.49579832],0
p4,1,0.423828,0.639676,[24 51] ; [18 28],[26.03305785 48.96694215] ; [15.96694215 30.03305785],0
r3,1,0.432274,0.616706,[61 17] ; [37  7],[62.6557377 15.3442623] ; [35.3442623  8.6557377],0
a8,1,0.45216,0.565231,[ 9 66] ; [ 3 37],[ 7.82608696 67.17391304] ; [ 4.17391304 35.82608696],0
p12,1,0.453532,0.561809,[ 6 71] ; [ 2 44],[ 5.00813008 71.99186992] ; [ 2.99186992 43.00813008],0
b1,1,0.460646,0.544324,[32 46] ; [22 24],[33.96774194 44.03225806] ; [20.03225806 25.96774194],0
p2,1,0.532439,0.389735,[43 35] ; [28 18],[44.66129032 33.33870968] ; [26.33870968 19.66129032],0
p1,1,0.547767,0.361333,[ 6 72] ; [ 5 41],[ 6.91935484 71.08064516] ; [ 4.08064516 41.91935484],0
p3,1,0.604665,0.268017,[22 56] ; [15 31],[23.27419355 54.72580645] ; [13.72580645 32.27419355],0
p5,1,0.619183,0.247017,[ 5 72] ; [ 2 44],[ 4.38211382 72.61788618] ; [ 2.61788618 43.38211382],0
p11,1,0.632637,0.228502,[51 27] ; [32 14],[52.20967742 25.79032258] ; [30.79032258 15.20967742],0
s3,1,0.661257,0.192,[27 48] ; [18 27],[28.125 46.875] ; [16.875 28.125],0
d3,1,0.718839,0.129608,[28 50] ; [18 28],[28.93548387 49.06451613] ; [17.06451613 28.93548387],0
s1,1,0.726154,0.122672,[ 4 72] ; [ 3 41],[ 4.43333333 71.56666667] ; [ 2.56666667 41.43333333],0
n1,1,0.7437,0.106901,[10 18] ; [3 7],[ 9.57894737 18.42105263] ; [3.42105263 6.57894737],0
n3,1,0.7437,0.106901,[18 10] ; [7 3],[18.42105263  9.57894737] ; [6.57894737 3.42105263],0
s2,1,0.752877,0.09913,[19 58] ; [12 32],[19.72727273 57.27272727] ; [11.27272727 32.72727273],0
b5,1,0.772424,0.08364,[42 36] ; [26 20],[42.77419355 35.22580645] ; [25.22580645 20.77419355],0
s6,1,0.774681,0.081943,[29 47] ; [16 29],[28.26446281 47.73553719] ; [16.73553719 28.26446281],0
s8,1,0.776433,0.080639,[ 8 70] ; [ 4 42],[ 7.5483871 70.4516129] ; [ 4.4516129 41.5483871],0
p8,1,0.815993,0.05415,[29 48] ; [16 29],[28.40163934 48.59836066] ; [16.59836066 28.40163934],0
a1,1,0.842878,0.039289,[ 6 72] ; [ 4 42],[ 6.29032258 71.70967742] ; [ 3.70967742 42.29032258],0
u2,1,0.889663,0.019246,[22 32] ; [ 7 11],[21.75 32.25] ; [ 7.25 10.75],0
p6,1,0.944477,0.00485,[15 62] ; [ 9 36],[15.14754098 61.85245902] ; [ 8.85245902 36.14754098],0
