Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.010527,6.54344,[87 21] ; [7 7],[83.21311475 24.78688525] ; [10.78688525  3.21311475],0
v2,1,0.010897,6.481998,[61 45] ; [ 3 11],[56.53333333 49.46666667] ; [7.46666667 6.53333333],0
s5,1,0.011273,6.421779,[21 86] ; [7 7],[24.76033058 82.23966942] ; [ 3.23966942 10.76033058],0
a6,1,0.020349,5.381686,[79 29] ; [6 8],[75.24590164 32.75409836] ; [9.75409836 4.24590164],0
a7,1,0.025594,4.983232,[78 30] ; [6 8],[74.36065574 33.63934426] ; [9.63934426 4.36065574],0
a4,1,0.038967,4.262323,[46 61] ; [ 2 12],[42.44628099 64.55371901] ; [5.55371901 8.44628099],0
p1,1,0.05508,3.679653,[  7 101] ; [ 3 11],[ 8.85245902 99.14754098] ; [ 1.14754098 12.85245902],0
n5,1,0.060965,3.510941,[80 28] ; [7 7],[77.01639344 30.98360656] ; [9.98360656 4.01639344],0
v4,1,0.063355,3.447293,[100   8] ; [10  3],[98.18181818  9.81818182] ; [11.81818182  1.18181818],0
d4,1,0.086453,2.939206,[90 18] ; [9 5],[87.63934426 20.36065574] ; [11.36065574  2.63934426],0
b1,1,0.094986,2.78777,[37 71] ; [8 6],[39.83606557 68.16393443] ; [5.16393443 8.83606557],0
p7,1,0.095149,2.785026,[67 39] ; [12  2],[69.78333333 36.21666667] ; [9.21666667 4.78333333],0
a2,1,0.120329,2.413036,[28 80] ; [ 1 13],[25.67213115 82.32786885] ; [ 3.32786885 10.67213115],0
b4,1,0.142342,2.152461,[61 47] ; [5 9],[58.42622951 49.57377049] ; [7.57377049 6.42622951],0
d1,1,0.182395,1.778002,[59 49] ; [5 9],[56.6557377 51.3442623] ; [7.3442623 6.6557377],0
u1,1,0.21005,1.57108,[23 85] ; [ 1 13],[21.24590164 86.75409836] ; [ 2.75409836 11.24590164],0
p3,1,0.232832,1.423477,[59 49] ; [10  4],[61.08196721 46.91803279] ; [7.91803279 6.08196721],0
v3,1,0.289908,1.120049,[49 57] ; [4 9],[47.21008403 58.78991597] ; [5.78991597 7.21008403],0
r3,1,0.293233,1.104717,[101   7] ; [12  2],[100.03278689   7.96721311] ; [12.96721311  1.03278689],0
d2,1,0.314233,1.012798,[54 54] ; [5 9],[52.2295082 55.7704918] ; [6.7704918 7.2295082],0
b3,1,0.362452,0.829381,[37 45] ; [3 7],[35.65217391 46.34782609] ; [4.34782609 5.65217391],0
b2,1,0.362452,0.829381,[37 45] ; [3 7],[35.65217391 46.34782609] ; [4.34782609 5.65217391],0
s8,1,0.386068,0.75129,[59 48] ; [6 8],[57.47933884 49.52066116] ; [7.52066116 6.47933884],0
p11,1,0.426017,0.633657,[87 21] ; [10  4],[85.86885246 22.13114754] ; [11.13114754  2.86885246],0
s6,1,0.453586,0.561676,[66 42] ; [10  4],[67.27868852 40.72131148] ; [8.72131148 5.27868852],0
r2,1,0.488057,0.480808,[96  9] ; [12  2],[95.29411765  9.70588235] ; [12.70588235  1.29411765],0
r4,1,0.520803,0.412304,[92 16] ; [11  3],[91.18032787 16.81967213] ; [11.81967213  2.18032787],0
n6,1,0.520803,0.412304,[92 16] ; [11  3],[91.18032787 16.81967213] ; [11.81967213  2.18032787],0
r1,1,0.537265,0.380633,[85 23] ; [10  4],[84.09836066 23.90163934] ; [10.90163934  3.09836066],0
s3,1,0.603819,0.269274,[31 76] ; [5 9],[31.83471074 75.16528926] ; [4.16528926 9.83471074],0
p10,1,0.677084,0.173427,[86 20] ; [12  2],[86.56666667 19.43333333] ; [11.43333333  2.56666667],0
p6,1,0.731076,0.118126,[40 65] ; [6 8],[40.58823529 64.41176471] ; [5.41176471 8.58823529],0
p9,1,0.750137,0.101416,[87 19] ; [11  3],[86.56666667 19.43333333] ; [11.43333333  2.56666667],0
p8,1,0.76113,0.092414,[56 50] ; [8 6],[56.53333333 49.46666667] ; [7.46666667 6.53333333],0
a5,1,0.770307,0.085248,[81 27] ; [11  3],[81.44262295 26.55737705] ; [10.55737705  3.44262295],0
p2,1,0.860519,0.030875,[87 21] ; [11  3],[86.75409836 21.24590164] ; [11.24590164  2.75409836],0
n1,1,0.86322,0.029679,[15 18] ; [2 2],[15.16216216 17.83783784] ; [1.83783784 2.16216216],0
p4,1,0.870249,0.026681,[67 41] ; [9 5],[67.27868852 40.72131148] ; [8.72131148 5.27868852],0
b5,1,0.896205,0.017019,[56 52] ; [7 7],[55.7704918 52.2295082] ; [7.2295082 6.7704918],0
v1,1,0.919986,0.01009,[54 51] ; [7 7],[53.82352941 51.17647059] ; [7.17647059 6.82352941],0
u3,1,0.927426,0.008296,[16  9] ; [2 1],[16.07142857  8.92857143] ; [1.92857143 1.07142857],0
a3,1,0.932562,0.007161,[83 24] ; [11  3],[83.12396694 23.87603306] ; [10.87603306  3.12396694],0
d3,1,0.9349,0.006672,[76 32] ; [10  4],[76.13114754 31.86885246] ; [9.86885246 4.13114754],0
p12,1,0.95695,0.002914,[ 8 98] ; [ 1 13],[ 7.95 98.05] ; [ 1.05 12.95],0
d5,1,0.990927,0.000129,[85 23] ; [11  3],[84.98360656 23.01639344] ; [11.01639344  2.98360656],0
