Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.774645,[14 81] ; [14  9],[22.54237288 72.45762712] ; [ 5.45762712 17.54237288],1
p3,1,9.4e-05,15.261631,[17 79] ; [14 11],[24.59504132 71.40495868] ; [ 6.40495868 18.59504132],1
p4,1,0.000187,13.95301,[14 81] ; [12 12],[20.75630252 74.24369748] ; [ 5.24369748 18.75630252],1
p10,1,0.00188,9.662809,[35 59] ; [18  7],[41.86554622 52.13445378] ; [11.13445378 13.86554622],0
p6,1,0.004248,8.174777,[ 7 88] ; [ 7 18],[11.08333333 83.91666667] ; [ 2.91666667 22.08333333],0
p5,1,0.006772,7.332441,[ 4 93] ; [ 5 20],[ 7.1557377 89.8442623] ; [ 1.8442623 23.1557377],0
p9,1,0.013476,6.105559,[37 55] ; [17  8],[42.46153846 49.53846154] ; [11.53846154 13.46153846],0
v4,1,0.044372,4.04235,[65 31] ; [22  3],[69.02479339 26.97520661] ; [17.97520661  7.02479339],0
v2,1,0.082643,3.012143,[32 60] ; [13 11],[35.68965517 56.31034483] ; [ 9.31034483 14.68965517],0
v1,1,0.092386,2.832298,[19 76] ; [ 9 16],[22.16666667 72.83333333] ; [ 5.83333333 19.16666667],0
r4,1,0.094212,2.800892,[56 41] ; [19  6],[59.63114754 37.36885246] ; [15.36885246  9.63114754],0
b3,1,0.094429,2.797195,[29 34] ; [ 4 13],[25.9875 37.0125] ; [7.0125 9.9875],0
b2,1,0.094429,2.797195,[29 34] ; [ 4 13],[25.9875 37.0125] ; [7.0125 9.9875],0
p11,1,0.135595,2.227255,[42 55] ; [15 10],[45.31967213 51.68032787] ; [11.68032787 13.31967213],0
s8,1,0.153021,2.041875,[15 81] ; [ 7 18],[17.45454545 78.54545455] ; [ 4.54545455 20.45454545],0
s1,1,0.223498,1.48177,[ 5 91] ; [ 3 22],[ 6.34710744 89.65289256] ; [ 1.65289256 23.34710744],0
b1,1,0.262081,1.257732,[51 46] ; [10 15],[48.5 48.5] ; [12.5 12.5],0
d2,1,0.267418,1.229945,[46 49] ; [ 9 16],[43.54166667 51.45833333] ; [11.45833333 13.54166667],0
n1,1,0.273845,1.197385,[17 24] ; [5 3],[18.40816327 22.59183673] ; [3.59183673 4.40816327],0
r1,1,0.287905,1.12939,[54 42] ; [17  8],[56.33057851 39.66942149] ; [14.66942149 10.33057851],0
u2,1,0.320645,0.986312,[17 23] ; [6 4],[18.4 21.6] ; [4.6 5.4],0
p1,1,0.326048,0.964529,[10 87] ; [ 1 24],[ 8.74590164 88.25409836] ; [ 2.25409836 22.74590164],0
n2,1,0.408501,0.68316,[25 17] ; [6 2],[26.04 15.96] ; [4.96 3.04],0
s3,1,0.408961,0.681818,[19 77] ; [ 3 21],[17.6 78.4] ; [ 4.4 19.6],0
