Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5e-06,20.945934,[88 12] ; [16 16],[78.78787879 21.21212121] ; [25.21212121  6.78787879],1
s8,1,6.8e-05,15.867899,[75 24] ; [12 20],[65.7480916 33.2519084] ; [21.2519084 10.7480916],1
s3,1,0.003992,8.287535,[76 23] ; [16 16],[69.52671756 29.47328244] ; [22.47328244  9.52671756],0
u2,1,0.005368,7.751196,[15  4] ; [3 8],[11.4  7.6] ; [6.6 4.4],0
a3,1,0.055104,3.67894,[81 18] ; [21 11],[77.08396947 21.91603053] ; [24.91603053  7.08396947],0
v3,1,0.07036,3.27461,[47 52] ; [ 9 22],[42.64615385 56.35384615] ; [13.35384615 17.64615385],0
u3,1,0.076626,3.135059,[16  3] ; [6 5],[13.93333333  5.06666667] ; [8.06666667 2.93333333],0
v2,1,0.129658,2.29659,[60 39] ; [14 17],[56.35384615 42.64615385] ; [17.64615385 13.35384615],0
p8,1,0.132087,2.267809,[71 29] ; [27  5],[74.24242424 25.75757576] ; [23.75757576  8.24242424],0
u1,1,0.15939,1.98,[28 72] ; [ 5 27],[25. 75.] ; [ 8. 24.],0
p11,1,0.167846,1.902074,[80 20] ; [29  3],[82.57575758 17.42424242] ; [26.42424242  5.57575758],0
a2,1,0.179313,1.803312,[31 69] ; [ 6 26],[28.03030303 71.96969697] ; [ 8.96969697 23.03030303],0
n2,1,0.201994,1.627897,[22  4] ; [3 2],[20.96774194  5.03225806] ; [4.03225806 0.96774194],0
d2,1,0.206431,1.596285,[56 43] ; [14 18],[52.90076336 46.09923664] ; [17.09923664 14.90076336],0
p5,1,0.213597,1.546875,[30 70] ; [ 6 26],[27.27272727 72.72727273] ; [ 8.72727273 23.27272727],0
b4,1,0.226201,1.464593,[60 40] ; [23  9],[62.87878788 37.12121212] ; [20.12121212 11.87878788],0
d4,1,0.229613,1.443257,[84 14] ; [30  2],[85.93846154 12.06153846] ; [28.06153846  3.93846154],0
s6,1,0.234802,1.411535,[91  9] ; [25  5],[89.23076923 10.76923077] ; [26.76923077  3.23076923],0
n4,1,0.289105,1.123784,[86 14] ; [25  7],[84.09090909 15.90909091] ; [26.90909091  5.09090909],0
n6,1,0.344446,0.893812,[91  7] ; [28  4],[89.70769231  8.29230769] ; [29.29230769  2.70769231],0
r1,1,0.363722,0.825,[85 15] ; [25  7],[83.33333333 16.66666667] ; [26.66666667  5.33333333],0
b3,1,0.371084,0.80003,[33 34] ; [ 8 13],[31.21590909 35.78409091] ; [ 9.78409091 11.21590909],0
b2,1,0.371084,0.80003,[33 34] ; [ 8 13],[31.21590909 35.78409091] ; [ 9.78409091 11.21590909],0
n1,1,0.371408,0.798948,[16 10] ; [2 3],[15.09677419 10.90322581] ; [2.90322581 2.09677419],0
b1,1,0.372708,0.794617,[38 62] ; [15 17],[40.15151515 59.84848485] ; [12.84848485 19.15151515],0
d5,1,0.398986,0.711382,[83 15] ; [29  3],[84.43076923 13.56923077] ; [27.56923077  4.43076923],0
r3,1,0.401907,0.702614,[97  3] ; [30  2],[96.21212121  3.78787879] ; [30.78787879  1.21212121],0
v1,1,0.42788,0.628571,[70 30] ; [20 12],[68.18181818 31.81818182] ; [21.81818182 10.18181818],0
a8,1,0.477519,0.504524,[13 78] ; [ 3 29],[11.83739837 79.16260163] ; [ 4.16260163 27.83739837],0
b5,1,0.482463,0.493292,[54 46] ; [15 17],[52.27272727 47.72727273] ; [16.72727273 15.27272727],0
a7,1,0.494681,0.466329,[69 31] ; [20 12],[67.42424242 32.57575758] ; [21.57575758 10.42424242],0
p3,1,0.512339,0.429288,[71 28] ; [21 11],[69.52671756 29.47328244] ; [22.47328244  9.52671756],0
a1,1,0.520703,0.4125,[10 90] ; [ 2 30],[ 9.09090909 90.90909091] ; [ 2.90909091 29.09090909],0
p10,1,0.527597,0.399017,[94  6] ; [31  1],[94.6969697  5.3030303] ; [30.3030303  1.6969697],0
a6,1,0.546485,0.363652,[61 37] ; [18 14],[59.55384615 38.44615385] ; [19.44615385 12.55384615],0
a4,1,0.552983,0.352,[56 44] ; [16 16],[54.54545455 45.45454545] ; [17.45454545 14.54545455],0
p12,1,0.586998,0.295056,[17 83] ; [ 4 27],[16.03053435 83.96946565] ; [ 4.96946565 26.03053435],0
d1,1,0.641568,0.216698,[70 30] ; [21 11],[68.93939394 31.06060606] ; [22.06060606  9.93939394],0
s1,1,0.657619,0.196429,[ 5 95] ; [ 1 31],[ 4.54545455 95.45454545] ; [ 1.45454545 30.54545455],0
n3,1,0.661003,0.192308,[16 10] ; [2 2],[15.6 10.4] ; [2.4 1.6],0
p7,1,0.782284,0.076366,[88 11] ; [29  3],[88.41984733 10.58015267] ; [28.58015267  3.41984733],0
p9,1,0.783591,0.075429,[95  5] ; [30  2],[94.6969697  5.3030303] ; [30.3030303  1.6969697],0
s4,1,0.784979,0.07444,[31 67] ; [ 9 22],[30.3875969 67.6124031] ; [ 9.6124031 21.3875969],0
a5,1,0.820303,0.0516,[83 17] ; [26  6],[82.57575758 17.42424242] ; [26.42424242  5.57575758],0
r2,1,0.821454,0.050929,[96  4] ; [31  1],[96.21212121  3.78787879] ; [30.78787879  1.21212121],0
p2,1,0.829603,0.046316,[86 14] ; [28  4],[86.36363636 13.63636364] ; [27.63636364  4.36363636],0
p4,1,0.838763,0.041403,[82 17] ; [27  5],[82.3740458 16.6259542] ; [26.6259542  5.3740458],0
p1,1,0.857916,0.032051,[20 79] ; [ 6 26],[19.64885496 79.35114504] ; [ 6.35114504 25.64885496],0
d3,1,0.873786,0.025234,[76 23] ; [25  7],[76.32824427 22.67175573] ; [24.67175573  7.32824427],0
n5,1,0.923725,0.009167,[82 18] ; [26  6],[81.81818182 18.18181818] ; [26.18181818  5.81818182],0
v4,1,0.971359,0.001289,[97  3] ; [31  1],[96.96969697  3.03030303] ; [31.03030303  0.96969697],0
