Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.013128,6.151779,[8 6] ; [ 2 13],[4.82758621 9.17241379] ; [5.17241379 9.82758621],0
s6,1,0.015534,5.854832,[9 5] ; [ 3 12],[5.79310345 8.20689655] ; [6.20689655 8.79310345],0
r4,1,0.022855,5.179468,[6 8] ; [ 1 14],[ 3.37931034 10.62068966] ; [ 3.62068966 11.37931034],0
p2,1,0.027058,4.887118,[12  2] ; [7 8],[9.17241379 4.82758621] ; [9.82758621 5.17241379],0
a5,1,0.041794,4.143521,[9 5] ; [ 4 11],[6.27586207 7.72413793] ; [6.72413793 8.27586207],0
u2,1,0.09073,2.861376,[6 1] ; [4 5],[4.375 2.625] ; [5.625 3.375],0
p7,1,0.095547,2.778345,[9 5] ; [ 5 10],[6.75862069 7.24137931] ; [7.24137931 7.75862069],0
p9,1,0.095882,2.772736,[8 6] ; [ 4 11],[5.79310345 8.20689655] ; [6.20689655 8.79310345],0
s5,1,0.118648,2.435079,[ 4 10] ; [ 1 14],[ 2.4137931 11.5862069] ; [ 2.5862069 12.4137931],0
r3,1,0.121573,2.396939,[12  2] ; [9 6],[10.13793103  3.86206897] ; [10.86206897  4.13793103],0
s8,1,0.1593,1.98086,[5 9] ; [ 2 13],[ 3.37931034 10.62068966] ; [ 3.62068966 11.37931034],0
n3,1,0.164264,1.934524,[6 1] ; [3 3],[4.84615385 2.15384615] ; [4.15384615 1.84615385],0
n2,1,0.169583,1.886621,[5 2] ; [2 4],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
a7,1,0.176076,1.830439,[10  4] ; [7 8],[8.20689655 5.79310345] ; [8.79310345 6.20689655],0
p3,1,0.19043,1.714286,[ 2 12] ; [5 9],[ 3.5 10.5] ; [ 3.5 10.5],0
p6,1,0.280087,1.166667,[ 3 11] ; [ 1 13],[ 2. 12.] ; [ 2. 12.],0
d4,1,0.311405,1.024707,[10  4] ; [13  2],[11.10344828  2.89655172] ; [11.89655172  3.10344828],0
v4,1,0.315594,1.007119,[10  4] ; [8 7],[8.68965517 5.31034483] ; [9.31034483 5.68965517],0
s7,1,0.35188,0.866667,[4 9] ; [ 2 11],[ 3. 10.] ; [ 3. 10.],0
