Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.6e-05,18.602198,[ 4 32] ; [9 3],[ 9.75 26.25] ; [3.25 8.75],1
r4,1,0.00023,13.571871,[ 5 33] ; [8 4],[ 9.88 28.12] ; [3.12 8.88],1
s3,1,0.000263,13.318238,[ 8 26] ; [10  2],[13.30434783 20.69565217] ; [4.69565217 7.30434783],1
s2,1,0.003147,8.72033,[ 8 30] ; [8 4],[12.16 25.84] ; [3.84 8.16],0
p2,1,0.005561,7.68736,[11 26] ; [9 3],[15.10204082 21.89795918] ; [4.89795918 7.10204082],0
p9,1,0.007661,7.111111,[14 22] ; [10  2],[18. 18.] ; [6. 6.],0
r1,1,0.007889,7.058595,[12 26] ; [9 3],[15.96 22.04] ; [5.04 6.96],0
n6,1,0.012749,6.203608,[19 18] ; [11  1],[22.65306122 14.34693878] ; [7.34693878 4.65306122],0
n2,1,0.013711,6.075,[ 7 11] ; [8 1],[10.  8.] ; [5. 4.],0
p10,1,0.015839,5.820673,[13 24] ; [9 3],[16.6122449 20.3877551] ; [5.3877551 6.6122449],0
p4,1,0.029031,4.76577,[ 9 28] ; [7 5],[12.08163265 24.91836735] ; [3.91836735 8.08163265],0
s6,1,0.030545,4.678363,[12 26] ; [8 4],[15.2 22.8] ; [4.8 7.2],0
p6,1,0.035489,4.421489,[ 5 32] ; [5 7],[ 7.55102041 29.44897959] ; [2.44897959 9.55102041],0
p11,1,0.041236,4.166276,[10 28] ; [7 5],[12.92 25.08] ; [4.08 7.92],0
a7,1,0.069605,3.292322,[14 24] ; [8 4],[16.72 21.28] ; [5.28 6.72],0
u1,1,0.074305,3.185268,[ 1 37] ; [ 2 10],[ 2.28 35.72] ; [ 0.72 11.28],0
p12,1,0.074305,3.185268,[ 1 37] ; [ 2 10],[ 2.28 35.72] ; [ 0.72 11.28],0
p8,1,0.082879,3.007519,[ 9 29] ; [6 6],[11.4 26.6] ; [3.6 8.4],0
n1,1,0.100348,2.7,[ 8 10] ; [7 2],[10.  8.] ; [5. 4.],0
a5,1,0.109493,2.561525,[22 16] ; [10  2],[24.32 13.68] ; [7.68 4.32],0
d2,1,0.110763,2.543305,[18 19] ; [9 3],[20.3877551 16.6122449] ; [6.6122449 5.3877551],0
a2,1,0.111919,2.526914,[ 3 35] ; [3 9],[ 4.56 33.44] ; [ 1.44 10.56],0
p5,1,0.120862,2.406113,[ 3 34] ; [3 9],[ 4.53061224 32.46938776] ; [ 1.46938776 10.53061224],0
a6,1,0.128271,2.313312,[19 19] ; [9 3],[21.28 16.72] ; [6.72 5.28],0
p3,1,0.140306,2.174601,[10 27] ; [6 6],[12.08163265 24.91836735] ; [3.91836735 8.08163265],0
u3,1,0.143963,2.135076,[ 1 16] ; [1 2],[ 1.7 15.3] ; [0.3 2.7],0
b5,1,0.185326,1.754386,[17 21] ; [8 4],[19. 19.] ; [6. 6.],0
u2,1,0.212296,1.555699,[ 5 12] ; [2 1],[ 5.95 11.05] ; [1.05 1.95],0
d5,1,0.223733,1.480263,[21 17] ; [9 3],[22.8 15.2] ; [7.2 4.8],0
v2,1,0.226814,1.460727,[ 7 30] ; [4 7],[ 8.47916667 28.52083333] ; [2.52083333 8.47916667],0
d4,1,0.243403,1.360774,[18 20] ; [8 4],[19.76 18.24] ; [6.24 5.76],0
b1,1,0.251221,1.316501,[23 15] ; [5 7],[21.28 16.72] ; [6.72 5.28],0
d1,1,0.251221,1.316501,[15 23] ; [7 5],[16.72 21.28] ; [5.28 6.72],0
v3,1,0.298379,1.081426,[ 8 30] ; [4 7],[ 9.30612245 28.69387755] ; [2.69387755 8.30612245],0
a3,1,0.3017,1.066667,[21 15] ; [9 3],[22.5 13.5] ; [7.5 4.5],0
d3,1,0.325457,0.96689,[16 22] ; [7 5],[17.48 20.52] ; [5.52 6.48],0
b4,1,0.362498,0.829221,[23 15] ; [9 3],[24.32 13.68] ; [7.68 4.32],0
s5,1,0.401577,0.7036,[ 9 29] ; [4 7],[10.08163265 27.91836735] ; [2.91836735 8.08163265],0
s4,1,0.740544,0.109649,[ 8 30] ; [ 2 10],[ 7.6 30.4] ; [2.4 9.6],0
b2,1,0.772484,0.083595,[12 17] ; [4 7],[11.6 17.4] ; [4.4 6.6],0
b3,1,0.772484,0.083595,[12 17] ; [4 7],[11.6 17.4] ; [4.4 6.6],0
v1,1,0.772553,0.083542,[11 27] ; [4 8],[11.4 26.6] ; [3.6 8.4],0
n3,1,0.793117,0.068783,[ 8 10] ; [4 4],[8.30769231 9.69230769] ; [3.69230769 4.30769231],0
s1,1,0.825283,0.048733,[ 4 34] ; [ 1 11],[ 3.8 34.2] ; [ 1.2 10.8],0
p1,1,0.890316,0.019018,[ 7 31] ; [ 2 10],[ 6.84 31.16] ; [2.16 9.84],0
p7,1,0.973855,0.001074,[10 26] ; [3 8],[ 9.95744681 26.04255319] ; [3.04255319 7.95744681],0
a4,1,1.0,0.0,[15 21] ; [5 7],[15. 21.] ; [5. 7.],0
