Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.2e-05,19.191907,[13 23] ; [49 12],[23.01030928 12.98969072] ; [38.98969072 22.01030928],1
b5,1,0.009081,6.80687,[24 13] ; [23 38],[17.74489796 19.25510204] ; [29.25510204 31.74489796],0
n6,1,0.014454,5.981853,[14 23] ; [38 22],[19.83505155 17.16494845] ; [32.16494845 27.83505155],0
u3,1,0.021722,5.267956,[9 5] ; [ 6 17],[5.67567568 8.32432432] ; [ 9.32432432 13.67567568],0
s1,1,0.02644,4.927039,[ 7 30] ; [ 3 58],[ 3.7755102 33.2244898] ; [ 6.2244898 54.7755102],0
p3,1,0.036591,4.369364,[ 4 32] ; [18 43],[ 8.16494845 27.83505155] ; [13.83505155 47.16494845],0
u2,1,0.055982,3.652597,[9 5] ; [ 7 15],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],0
a6,1,0.056197,3.646223,[17 20] ; [40 21],[21.52040816 15.47959184] ; [35.47959184 25.52040816],0
n2,1,0.068928,3.308363,[7 9] ; [22  9],[9.87234043 6.12765957] ; [19.12765957 11.87234043],0
v4,1,0.069727,3.28943,[29  8] ; [37 24],[24.91836735 12.08163265] ; [41.08163265 19.91836735],0
n1,1,0.072141,3.233614,[ 4 11] ; [17 14],[6.84782609 8.15217391] ; [14.15217391 16.84782609],0
p11,1,0.130201,2.290101,[13 24] ; [31 30],[16.6122449 20.3877551] ; [27.3877551 33.6122449],0
b2,1,0.140266,2.17504,[ 6 16] ; [19 22],[ 8.73015873 13.26984127] ; [16.26984127 24.73015873],0
b3,1,0.140266,2.17504,[ 6 16] ; [19 22],[ 8.73015873 13.26984127] ; [16.26984127 24.73015873],0
a4,1,0.166561,1.91363,[12 25] ; [28 32],[15.25773196 21.74226804] ; [24.74226804 35.25773196],0
r3,1,0.170897,1.875057,[28  9] ; [38 23],[24.91836735 12.08163265] ; [41.08163265 19.91836735],0
u1,1,0.183769,1.766879,[ 1 36] ; [ 6 55],[ 2.64285714 34.35714286] ; [ 4.35714286 56.64285714],0
r2,1,0.185019,1.756844,[27 10] ; [48  9],[29.5212766  7.4787234] ; [45.4787234 11.5212766],0
a5,1,0.185714,1.751292,[18 19] ; [38 23],[21.14285714 15.85714286] ; [34.85714286 26.14285714],0
d1,1,0.211236,1.562937,[14 23] ; [31 30],[16.98979592 20.01020408] ; [28.01020408 32.98979592],0
a1,1,0.221618,1.493862,[ 2 35] ; [ 8 53],[ 3.7755102 33.2244898] ; [ 6.2244898 54.7755102],0
s8,1,0.221618,1.493862,[ 2 35] ; [ 8 53],[ 3.7755102 33.2244898] ; [ 6.2244898 54.7755102],0
d3,1,0.252253,1.310784,[15 22] ; [32 29],[17.74489796 19.25510204] ; [29.25510204 31.74489796],0
a2,1,0.335743,0.926617,[ 4 33] ; [11 50],[ 5.66326531 31.33673469] ; [ 9.33673469 51.66326531],0
r4,1,0.466739,0.529686,[21 16] ; [30 31],[19.25510204 17.74489796] ; [31.74489796 29.25510204],0
p4,1,0.499574,0.45584,[ 8 28] ; [10 50],[ 6.75 29.25] ; [11.25 48.75],0
s7,1,0.536351,0.382345,[ 4 29] ; [10 49],[ 5.02173913 27.97826087] ; [ 8.97826087 50.02173913],0
p1,1,0.593445,0.284996,[ 3 34] ; [ 7 54],[ 3.7755102 33.2244898] ; [ 6.2244898 54.7755102],0
p6,1,0.597843,0.278261,[ 2 34] ; [ 2 58],[ 1.5 34.5] ; [ 2.5 57.5],0
s4,1,0.602968,0.270543,[ 2 35] ; [ 5 56],[ 2.64285714 34.35714286] ; [ 4.35714286 56.64285714],0
p8,1,0.615481,0.252271,[ 8 28] ; [11 50],[ 7.05154639 28.94845361] ; [11.94845361 49.05154639],0
a7,1,0.747937,0.103273,[20 17] ; [35 26],[20.76530612 16.23469388] ; [34.23469388 26.76530612],0
s5,1,0.795985,0.066847,[ 2 34] ; [ 4 54],[ 2.29787234 33.70212766] ; [ 3.70212766 54.29787234],0
n3,1,0.810529,0.057477,[8 7] ; [16 12],[8.37209302 6.62790698] ; [15.62790698 12.37209302],0
s3,1,0.82454,0.049155,[10 27] ; [15 45],[ 9.53608247 27.46391753] ; [15.46391753 44.53608247],0
v3,1,0.831135,0.045474,[ 8 28] ; [14 44],[ 8.42553191 27.57446809] ; [13.57446809 44.42553191],0
p7,1,0.857042,0.032451,[ 9 27] ; [16 44],[ 9.375 26.625] ; [15.625 44.375],0
b1,1,0.878098,0.023525,[17 20] ; [29 32],[17.36734694 19.63265306] ; [28.63265306 32.36734694],0
d5,1,0.882047,0.022015,[23 14] ; [37 24],[22.65306122 14.34693878] ; [37.34693878 23.65306122],0
d2,1,0.885142,0.020867,[17 20] ; [28 31],[17.34375 19.65625] ; [27.65625 31.34375],0
v2,1,0.894248,0.017671,[11 24] ; [19 39],[11.29032258 23.70967742] ; [18.70967742 39.29032258],0
a3,1,0.907672,0.01345,[23 14] ; [38 22],[23.26804124 13.73195876] ; [37.73195876 22.26804124],0
b4,1,0.915263,0.011322,[19 18] ; [32 29],[19.25510204 17.74489796] ; [31.74489796 29.25510204],0
r1,1,0.915263,0.011322,[19 18] ; [32 29],[19.25510204 17.74489796] ; [31.74489796 29.25510204],0
p9,1,0.937451,0.006158,[16 19] ; [27 31],[16.1827957 18.8172043] ; [26.8172043 31.1827957],0
s2,1,0.95501,0.003183,[ 5 32] ; [ 8 53],[ 4.90816327 32.09183673] ; [ 8.09183673 52.90816327],0
p10,1,0.957885,0.002789,[17 19] ; [28 32],[16.875 19.125] ; [28.125 31.875],0
