Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000219,13.663968,[ 6 33] ; [10  5],[11.55555556 27.44444444] ; [ 4.44444444 10.55555556],1
r4,1,0.000244,13.456441,[ 1 38] ; [6 9],[ 5.05555556 33.94444444] ; [ 1.94444444 13.05555556],1
s5,1,0.000299,13.077654,[ 2 36] ; [7 8],[ 6.45283019 31.54716981] ; [ 2.54716981 12.45283019],1
s2,1,0.000959,10.905734,[ 3 36] ; [7 8],[ 7.22222222 31.77777778] ; [ 2.77777778 12.22222222],1
v1,1,0.004369,8.123736,[ 6 33] ; [8 7],[10.11111111 28.88888889] ; [ 3.88888889 11.11111111],0
s7,1,0.007505,7.147876,[ 6 30] ; [8 7],[ 9.88235294 26.11764706] ; [ 4.11764706 10.88235294],0
n6,1,0.013469,6.10644,[14 25] ; [11  4],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
v4,1,0.016893,5.707493,[20 19] ; [13  2],[23.83333333 15.16666667] ; [9.16666667 5.83333333],0
s4,1,0.026338,4.93368,[ 5 34] ; [6 9],[ 7.94444444 31.05555556] ; [ 3.05555556 11.94444444],0
b4,1,0.037323,4.335613,[19 20] ; [12  3],[22.38888889 16.61111111] ; [8.61111111 6.38888889],0
b5,1,0.04154,4.153846,[14 25] ; [10  5],[17.33333333 21.66666667] ; [6.66666667 8.33333333],0
p9,1,0.049715,3.851048,[11 25] ; [9 6],[14.11764706 21.88235294] ; [5.88235294 9.11764706],0
n4,1,0.077428,3.118082,[21 18] ; [12  3],[23.83333333 15.16666667] ; [9.16666667 5.83333333],0
s3,1,0.080021,3.06448,[ 8 30] ; [6 7],[10.43137255 27.56862745] ; [3.56862745 9.43137255],0
p8,1,0.100018,2.705253,[ 7 31] ; [6 9],[ 9.32075472 28.67924528] ; [ 3.67924528 11.32075472],0
a7,1,0.108642,2.57387,[14 25] ; [9 6],[16.61111111 22.38888889] ; [6.38888889 8.61111111],0
p10,1,0.141074,2.166209,[12 26] ; [8 7],[14.33962264 23.66037736] ; [5.66037736 9.33962264],0
