Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.003147,8.72033,[30  8] ; [4 8],[25.84 12.16] ; [8.16 3.84],0
u2,1,0.012782,6.19899,[10  1] ; [2 4],[7.76470588 3.23529412] ; [4.23529412 1.76470588],0
n5,1,0.024887,5.031766,[29  9] ; [5 7],[25.84 12.16] ; [8.16 3.84],0
r1,1,0.031369,4.632675,[33  5] ; [7 5],[30.4  7.6] ; [9.6 2.4],0
n6,1,0.031369,4.632675,[33  5] ; [7 5],[30.4  7.6] ; [9.6 2.4],0
v1,1,0.055841,3.656791,[21 16] ; [3 9],[18.12244898 18.87755102] ; [5.87755102 6.12244898],0
a3,1,0.064483,3.418159,[27 11] ; [5 7],[24.32 13.68] ; [7.68 4.32],0
p11,1,0.095997,2.770828,[26 12] ; [5 7],[23.56 14.44] ; [7.44 4.56],0
s5,1,0.129393,2.299769,[11 23] ; [ 1 10],[ 9.06666667 24.93333333] ; [2.93333333 8.06666667],0
d1,1,0.137007,2.211257,[25 13] ; [5 7],[22.8 15.2] ; [7.2 4.8],0
d2,1,0.137007,2.211257,[25 13] ; [5 7],[22.8 15.2] ; [7.2 4.8],0
s7,1,0.140306,2.174601,[27 10] ; [6 6],[24.91836735 12.08163265] ; [8.08163265 3.91836735],0
p1,1,0.2043,1.611365,[ 2 36] ; [ 2 10],[ 3.04 34.96] ; [ 0.96 11.04],0
a4,1,0.223733,1.480263,[17 21] ; [3 9],[15.2 22.8] ; [4.8 7.2],0
p2,1,0.315866,1.005987,[26 12] ; [10  2],[27.36 10.64] ; [8.64 3.36],0
a2,1,0.317403,0.99962,[ 8 30] ; [ 1 11],[ 6.84 31.16] ; [2.16 9.84],0
p3,1,0.325457,0.96689,[16 22] ; [7 5],[17.48 20.52] ; [5.52 6.48],0
a6,1,0.362498,0.829221,[23 15] ; [9 3],[24.32 13.68] ; [7.68 4.32],0
r4,1,0.377225,0.779727,[35  3] ; [10  2],[34.2  3.8] ; [10.8  1.2],0
v4,1,0.379564,0.772113,[37  1] ; [11  1],[36.48  1.52] ; [11.52  0.48],0
a7,1,0.450282,0.569941,[24 14] ; [9 3],[25.08 12.92] ; [7.92 4.08],0
v2,1,0.465085,0.53363,[22 16] ; [5 6],[20.93877551 17.06122449] ; [6.06122449 4.93877551],0
b2,1,0.466551,0.530134,[11 21] ; [3 3],[11.78947368 20.21052632] ; [2.21052632 3.78947368],0
b3,1,0.466551,0.530134,[11 21] ; [3 3],[11.78947368 20.21052632] ; [2.21052632 3.78947368],0
s4,1,0.469066,0.524176,[ 6 32] ; [3 9],[ 6.84 31.16] ; [2.16 9.84],0
d4,1,0.469066,0.524176,[32  6] ; [9 3],[31.16  6.84] ; [9.84 2.16],0
d5,1,0.469066,0.524176,[32  6] ; [9 3],[31.16  6.84] ; [9.84 2.16],0
s3,1,0.515316,0.423257,[24 13] ; [9 3],[24.91836735 12.08163265] ; [8.08163265 3.91836735],0
d3,1,0.520159,0.413579,[26 12] ; [7 5],[25.08 12.92] ; [7.92 4.08],0
p6,1,0.543891,0.368375,[16 21] ; [4 8],[15.10204082 21.89795918] ; [4.89795918 7.10204082],0
p4,1,0.588688,0.292398,[22 16] ; [8 4],[22.8 15.2] ; [7.2 4.8],0
p9,1,0.631012,0.23069,[22 16] ; [6 6],[21.28 16.72] ; [6.72 5.28],0
b4,1,0.638994,0.22006,[25 13] ; [7 5],[24.32 13.68] ; [7.68 4.32],0
u3,1,0.73244,0.116883,[10  1] ; [6 1],[9.77777778 1.22222222] ; [6.22222222 0.77777778],0
p8,1,0.749795,0.101704,[17 21] ; [6 6],[17.48 20.52] ; [5.52 6.48],0
b5,1,0.825283,0.048733,[24 14] ; [8 4],[24.32 13.68] ; [7.68 4.32],0
n2,1,0.825498,0.048611,[7 5] ; [1 1],[6.85714286 5.14285714] ; [1.14285714 0.85714286],0
b1,1,0.873613,0.025304,[20 18] ; [6 6],[19.76 18.24] ; [6.24 5.76],0
n3,1,0.905581,0.014069,[6 5] ; [1 1],[5.92307692 5.07692308] ; [1.07692308 0.92307692],0
s2,1,0.909281,0.012984,[24 13] ; [8 4],[24.16326531 12.83673469] ; [7.83673469 4.16326531],0
p7,1,0.9236,0.009197,[16 21] ; [5 7],[15.85714286 21.14285714] ; [5.14285714 6.85714286],0
s6,1,0.925871,0.008657,[29  9] ; [9 3],[28.88  9.12] ; [9.12 2.88],0
