Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7.3e-05,15.742346,[ 7 44] ; [17 14],[14.92682927 36.07317073] ; [ 9.07317073 21.92682927],1
s7,1,0.002231,9.348925,[ 6 41] ; [12 15],[11.43243243 35.56756757] ; [ 6.56756757 20.43243243],0
s4,1,0.004384,8.11745,[ 4 47] ; [10 21],[ 8.70731707 42.29268293] ; [ 5.29268293 25.70731707],0
p7,1,0.013375,6.118799,[17 34] ; [19 12],[22.3902439 28.6097561] ; [13.6097561 17.3902439],0
v3,1,0.039547,4.237218,[ 9 39] ; [12 18],[12.92307692 35.07692308] ; [ 8.07692308 21.92307692],0
p3,1,0.050894,3.811765,[13 38] ; [14 16],[17. 34.] ; [10. 20.],0
s1,1,0.055072,3.679911,[ 2 49] ; [ 5 26],[ 4.35365854 46.64634146] ; [ 2.64634146 28.35365854],0
s8,1,0.062627,3.466406,[ 4 46] ; [ 7 24],[ 6.79012346 43.20987654] ; [ 4.20987654 26.79012346],0
s6,1,0.062855,3.460399,[14 36] ; [15 16],[17.90123457 32.09876543] ; [11.09876543 19.90123457],0
u2,1,0.090969,2.857143,[ 8 13] ; [10  5],[10.5 10.5] ; [7.5 7.5],0
p4,1,0.101682,2.678969,[17 34] ; [16 15],[20.52439024 30.47560976] ; [12.47560976 18.52439024],0
s5,1,0.110197,2.551397,[ 6 44] ; [ 8 23],[ 8.64197531 41.35802469] ; [ 5.35802469 25.64197531],0
b1,1,0.119754,2.420534,[32 19] ; [14 17],[28.6097561 22.3902439] ; [17.3902439 13.6097561],0
d5,1,0.142926,2.146175,[39 12] ; [19 12],[36.07317073 14.92682927] ; [21.92682927  9.07317073],0
r4,1,0.166151,1.917329,[32 19] ; [24  7],[34.82926829 16.17073171] ; [21.17073171  9.82926829],0
p10,1,0.170027,1.882707,[ 7 44] ; [ 8 23],[ 9.32926829 41.67073171] ; [ 5.67073171 25.32926829],0
n4,1,0.175399,1.836183,[17 34] ; [15 16],[19.90243902 31.09756098] ; [12.09756098 18.90243902],0
v1,1,0.175941,1.831583,[14 37] ; [13 18],[16.79268293 34.20731707] ; [10.20731707 20.79268293],0
n3,1,0.209601,1.574183,[16  6] ; [5 5],[14.4375  7.5625] ; [6.5625 3.4375],0
n6,1,0.21083,1.565719,[27 24] ; [12 19],[24.25609756 26.74390244] ; [14.74390244 16.25609756],0
r3,1,0.215286,1.535519,[43  8] ; [29  2],[44.7804878  6.2195122] ; [27.2195122  3.7804878],0
r2,1,0.222754,1.486541,[38 12] ; [27  4],[40.12345679  9.87654321] ; [24.87654321  6.12345679],0
p2,1,0.231059,1.43433,[26 25] ; [20 11],[28.6097561 22.3902439] ; [17.3902439 13.6097561],0
u1,1,0.269907,1.217219,[ 3 48] ; [ 4 27],[ 4.35365854 46.64634146] ; [ 2.64634146 28.35365854],0
p8,1,0.288063,1.128653,[14 37] ; [12 19],[16.17073171 34.82926829] ; [ 9.82926829 21.17073171],0
d1,1,0.304155,1.055889,[24 27] ; [11 20],[21.76829268 29.23170732] ; [13.23170732 17.76829268],0
a7,1,0.321106,0.984435,[32 19] ; [16 15],[29.85365854 21.14634146] ; [18.14634146 12.85365854],0
a5,1,0.362955,0.827643,[26 25] ; [19 12],[27.98780488 23.01219512] ; [17.01219512 13.98780488],0
r1,1,0.370645,0.801499,[33 18] ; [23  8],[34.82926829 16.17073171] ; [21.17073171  9.82926829],0
b4,1,0.374439,0.78888,[33 18] ; [17 14],[31.09756098 19.90243902] ; [18.90243902 12.09756098],0
b2,1,0.390905,0.736124,[ 5 24] ; [ 5 13],[ 6.17021277 22.82978723] ; [ 3.82978723 14.17021277],0
b3,1,0.390905,0.736124,[ 5 24] ; [ 5 13],[ 6.17021277 22.82978723] ; [ 3.82978723 14.17021277],0
u3,1,0.391366,0.734694,[11 10] ; [10  5],[12.25  8.75] ; [8.75 6.25],0
d4,1,0.445372,0.582404,[40 11] ; [22  9],[38.56097561 12.43902439] ; [23.43902439  7.56097561],0
a3,1,0.523478,0.407035,[30 21] ; [16 15],[28.6097561 22.3902439] ; [17.3902439 13.6097561],0
p1,1,0.620616,0.245002,[ 2 48] ; [ 2 29],[ 2.4691358 47.5308642] ; [ 1.5308642 29.4691358],0
a4,1,0.646296,0.210602,[19 32] ; [10 21],[18.03658537 32.96341463] ; [10.96341463 20.03658537],0
n1,1,0.710906,0.137374,[ 6 16] ; [4 8],[ 6.47058824 15.52941176] ; [3.52941176 8.47058824],0
a1,1,0.71878,0.129665,[ 1 50] ; [ 1 30],[ 1.24390244 49.75609756] ; [ 0.75609756 30.24390244],0
v2,1,0.720481,0.128032,[23 27] ; [13 18],[22.22222222 27.77777778] ; [13.77777778 17.22222222],0
a2,1,0.729535,0.119539,[ 8 43] ; [ 4 27],[ 7.46341463 43.53658537] ; [ 4.53658537 26.46341463],0
v4,1,0.742101,0.108289,[41 10] ; [25  5],[41.55555556  9.44444444] ; [24.44444444  5.55555556],0
p6,1,0.832339,0.044818,[11 39] ; [ 6 24],[10.625 39.375] ; [ 6.375 23.625],0
n2,1,0.839931,0.040797,[13  8] ; [7 5],[12.72727273  8.27272727] ; [7.27272727 4.72727273],0
a6,1,0.867301,0.027918,[27 24] ; [17 14],[27.36585366 23.63414634] ; [16.63414634 14.36585366],0
d2,1,0.915037,0.011382,[22 29] ; [13 18],[21.76829268 29.23170732] ; [13.23170732 17.76829268],0
d3,1,0.915037,0.011382,[29 22] ; [18 13],[29.23170732 21.76829268] ; [17.76829268 13.23170732],0
b5,1,0.995547,3.1e-05,[28 23] ; [17 14],[27.98780488 23.01219512] ; [17.01219512 13.98780488],0
p11,1,0.995547,3.1e-05,[23 28] ; [14 17],[23.01219512 27.98780488] ; [13.98780488 17.01219512],0
