Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,7.8e-05,15.604745,[29 22] ; [57  7],[38.13913043 12.86086957] ; [47.86086957 16.13913043],1
b5,1,0.001451,10.13986,[24 28] ; [48 16],[32.27586207 19.72413793] ; [39.72413793 24.27586207],0
a6,1,0.004001,8.283345,[36 15] ; [28 36],[28.3826087 22.6173913] ; [35.6173913 28.3826087],0
s8,1,0.004247,8.175186,[ 3 49] ; [16 46],[ 8.66666667 43.33333333] ; [10.33333333 51.66666667],0
p4,1,0.007855,7.066255,[13 39] ; [31 32],[19.89565217 32.10434783] ; [24.10434783 38.89565217],0
s6,1,0.017854,5.610422,[17 35] ; [34 28],[23.26315789 28.73684211] ; [27.73684211 34.26315789],0
r4,1,0.025563,4.985368,[26 26] ; [45 19],[31.82758621 20.17241379] ; [39.17241379 24.82758621],0
p8,1,0.031464,4.627467,[ 8 43] ; [21 42],[12.97368421 38.02631579] ; [16.02631579 46.97368421],0
u1,1,0.038254,4.293679,[ 3 49] ; [12 52],[ 6.72413793 45.27586207] ; [ 8.27586207 55.72413793],0
s7,1,0.041395,4.159767,[ 9 38] ; [22 37],[13.74528302 33.25471698] ; [17.25471698 41.74528302],0
p6,1,0.041878,4.140148,[ 5 46] ; [15 46],[ 9.10714286 41.89285714] ; [10.89285714 50.10714286],0
r3,1,0.051831,3.781229,[33 19] ; [51 13],[37.65517241 14.34482759] ; [46.34482759 17.65517241],0
p2,1,0.056555,3.635623,[20 32] ; [36 28],[25.10344828 26.89655172] ; [30.89655172 33.10344828],0
s2,1,0.083893,2.987821,[12 40] ; [24 39],[16.27826087 35.72173913] ; [19.72173913 43.27826087],0
u2,1,0.095872,2.772909,[10  9] ; [ 8 20],[ 7.27659574 11.72340426] ; [10.72340426 17.27659574],0
n5,1,0.1196,2.422555,[25 27] ; [40 24],[29.13793103 22.86206897] ; [35.86206897 28.13793103],0
n2,1,0.12375,2.369208,[12 16] ; [16  9],[14.79245283 13.20754717] ; [13.20754717 11.79245283],0
a8,1,0.12859,2.309443,[ 7 43] ; [ 3 53],[ 4.71698113 45.28301887] ; [ 5.28301887 50.71698113],0
