Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.4e-05,17.194489,[16 25] ; [100  35],[27.02272727 13.97727273] ; [88.97727273 46.02272727],1
d3,1,0.000244,13.457863,[20 21] ; [105  29],[29.28571429 11.71428571] ; [95.71428571 38.28571429],1
r3,1,0.00047,12.231525,[32  9] ; [128   6],[37.48571429  3.51428571] ; [122.51428571  11.48571429],1
d5,1,0.000769,11.31394,[20 21] ; [103  32],[28.65340909 12.34659091] ; [94.34659091 40.65340909],1
d4,1,0.005834,7.600894,[25 15] ; [112  23],[31.31428571  8.68571429] ; [105.68571429  29.31428571],0
s6,1,0.009697,6.689734,[17 24] ; [86 48],[24.13142857 16.86857143] ; [78.86857143 55.13142857],0
p10,1,0.012576,6.227812,[24 17] ; [104  29],[30.16091954 10.83908046] ; [97.83908046 35.16091954],0
r4,1,0.013078,6.158549,[27 14] ; [113  22],[32.61363636  8.38636364] ; [107.38636364  27.61363636],0
d1,1,0.013985,6.040029,[12 29] ; [69 66],[18.86931818 22.13068182] ; [62.13068182 72.86931818],0
r1,1,0.017468,5.648712,[23 18] ; [101  33],[29.05142857 11.94857143] ; [94.94857143 39.05142857],0
v2,1,0.022687,5.192337,[13 27] ; [68 60],[19.28571429 20.71428571] ; [61.71428571 66.28571429],0
b1,1,0.023471,5.13331,[20 21] ; [40 95],[13.97727273 27.02272727] ; [46.02272727 88.97727273],0
v3,1,0.03837,4.288561,[ 5 36] ; [36 92],[ 9.94674556 31.05325444] ; [31.05325444 96.94674556],0
p9,1,0.039748,4.228622,[29 12] ; [113  20],[33.45977011  7.54022989] ; [108.54022989  24.45977011],0
r2,1,0.041774,4.144331,[33  8] ; [123  11],[36.54857143  4.45142857] ; [119.45142857  14.54857143],0
a1,1,0.048864,3.88002,[ 3 38] ; [  2 133],[ 1.16477273 39.83522727] ; [  3.83522727 131.16477273],0
u1,1,0.048983,3.875934,[ 1 40] ; [ 18 117],[ 4.42613636 36.57386364] ; [ 14.57386364 120.42613636],0
s7,1,0.053223,3.736888,[ 8 31] ; [49 83],[13. 26.] ; [44. 88.],0
s2,1,0.061369,3.5,[12 28] ; [63 72],[17.14285714 22.85714286] ; [57.85714286 77.14285714],0
v4,1,0.067301,3.347658,[35  5] ; [128   6],[37.47126437  2.52873563] ; [125.52873563   8.47126437],0
s8,1,0.073115,3.211664,[ 9 32] ; [50 85],[13.74431818 27.25568182] ; [45.25568182 89.74431818],0
a2,1,0.091997,2.839076,[ 2 39] ; [ 20 115],[ 5.125 35.875] ; [ 16.875 118.125],0
p7,1,0.111864,2.527689,[30 11] ; [76 52],[25.71597633 15.28402367] ; [80.28402367 47.71597633],0
n5,1,0.114906,2.485413,[19 22] ; [44 90],[14.76 26.24] ; [48.24 85.76],0
s3,1,0.117706,2.447587,[16 25] ; [71 63],[20.38285714 20.61714286] ; [66.61714286 67.38285714],0
a8,1,0.126263,2.337861,[ 4 34] ; [  5 119],[ 2.11111111 35.88888889] ; [  6.88888889 117.11111111],0
u3,1,0.234729,1.411971,[ 9 10] ; [34 20],[11.19178082  7.80821918] ; [31.80821918 22.19178082],0
b5,1,0.278477,1.174509,[21 20] ; [82 53],[23.99431818 17.00568182] ; [79.00568182 55.99431818],0
p5,1,0.305769,1.048863,[ 1 40] ; [  9 126],[ 2.32954545 38.67045455] ; [  7.67045455 127.32954545],0
