Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,39.455423,[136  16] ; [18 22],[121.91666667  30.08333333] ; [32.08333333  7.91666667],1
a4,1,0.0,27.361943,[97 55] ; [ 7 33],[82.33333333 69.66666667] ; [21.66666667 18.33333333],1
d2,1,5e-06,20.827996,[105  46] ; [12 28],[92.4973822 58.5026178] ; [24.5026178 15.4973822],1
a6,1,7e-06,20.08353,[116  35] ; [16 24],[104.35602094  46.64397906] ; [27.64397906 12.35602094],1
u1,1,0.000201,13.82121,[53 99] ; [ 2 38],[ 43.54166667 108.45833333] ; [11.45833333 28.54166667],1
p9,1,0.000432,12.389373,[135  16] ; [26 13],[127.95263158  23.04736842] ; [33.04736842  5.95263158],1
d1,1,0.000467,12.243894,[103  49] ; [15 25],[93.41666667 58.58333333] ; [24.58333333 15.41666667],1
n4,1,0.003548,8.501563,[128  22] ; [26 14],[121.57894737  28.42105263] ; [32.42105263  7.57894737],0
d5,1,0.003969,8.297933,[136  15] ; [29 11],[130.44502618  20.55497382] ; [34.55497382  5.44502618],0
v2,1,0.006739,7.341157,[92 55] ; [15 24],[84.56451613 62.43548387] ; [22.43548387 16.56451613],0
n3,1,0.020502,5.368605,[35  8] ; [7 7],[31.68421053 11.31578947] ; [10.31578947  3.68421053],0
p11,1,0.022029,5.243503,[112  40] ; [22 18],[106.08333333  45.91666667] ; [27.91666667 12.08333333],0
p1,1,0.038365,4.288773,[  6 146] ; [ 5 35],[  8.70833333 143.29166667] ; [ 2.29166667 37.70833333],0
a8,1,0.041666,4.148723,[ 26 108] ; [ 2 35],[ 21.94152047 112.05847953] ; [ 6.05847953 30.94152047],0
p4,1,0.061546,3.495232,[86 66] ; [16 24],[80.75 71.25] ; [21.25 18.75],0
p3,1,0.079402,3.077098,[69 83] ; [12 28],[64.125 87.875] ; [16.875 23.125],0
r2,1,0.081784,3.029094,[143   5] ; [36  4],[140.91489362   7.08510638] ; [38.08510638  1.91489362],0
b5,1,0.101413,2.683187,[108  44] ; [23 17],[103.70833333  48.29166667] ; [27.29166667 12.70833333],0
p7,1,0.105488,2.620547,[79 70] ; [15 24],[74.5 74.5] ; [19.5 19.5],0
b4,1,0.106965,2.598496,[81 71] ; [27 13],[85.5 66.5] ; [22.5 17.5],0
n5,1,0.116067,2.46961,[115  34] ; [26 14],[111.15873016  37.84126984] ; [29.84126984 10.15873016],0
r3,1,0.128145,2.314838,[145   6] ; [36  4],[143.09424084   7.90575916] ; [37.90575916  2.09424084],0
b3,1,0.190166,1.716331,[56 65] ; [ 8 17],[53.04109589 67.95890411] ; [10.95890411 14.04109589],0
b2,1,0.190166,1.716331,[56 65] ; [ 8 17],[53.04109589 67.95890411] ; [10.95890411 14.04109589],0
n1,1,0.191345,1.707234,[24 19] ; [5 9],[21.87719298 21.12280702] ; [7.12280702 6.87719298],0
u2,1,0.203605,1.616327,[11  4] ; [11 10],[9.16666667 5.83333333] ; [12.83333333  8.16666667],0
p10,1,0.211477,1.561287,[123  28] ; [29 11],[120.16753927  30.83246073] ; [31.83246073  8.16753927],0
d4,1,0.226485,1.462803,[129  22] ; [31  9],[126.4921466  24.5078534] ; [33.5078534  6.4921466],0
u3,1,0.237188,1.39723,[13  3] ; [14  8],[11.36842105  4.63157895] ; [15.63157895  6.36842105],0
v1,1,0.250079,1.322862,[76 68] ; [17 23],[72.7826087 71.2173913] ; [20.2173913 19.7826087],0
n2,1,0.272286,1.205195,[32 12] ; [8 6],[30.34482759 13.65517241] ; [9.65517241 4.34482759],0
p6,1,0.274223,1.195499,[53 99] ; [10 29],[ 50.13612565 101.86387435] ; [12.86387435 26.13612565],0
p2,1,0.277074,1.181388,[112  40] ; [26 14],[109.25  42.75] ; [28.75 11.25],0
s6,1,0.320538,0.986751,[123  27] ; [30 10],[120.78947368  29.21052632] ; [32.21052632  7.78947368],0
s8,1,0.330955,0.945158,[100  52] ; [23 17],[97.375 54.625] ; [25.625 14.375],0
r4,1,0.344106,0.895072,[134  18] ; [33  7],[132.20833333  19.79166667] ; [34.79166667  5.20833333],0
d3,1,0.350977,0.869921,[106  45] ; [25 15],[103.56544503  47.43455497] ; [27.43455497 12.56544503],0
v4,1,0.373285,0.792699,[141   9] ; [36  4],[139.73684211  10.26315789] ; [37.26315789  2.73684211],0
s2,1,0.374745,0.787869,[109  42] ; [26 14],[106.72774869  44.27225131] ; [28.27225131 11.72774869],0
r1,1,0.418876,0.653468,[122  29] ; [30 10],[120.16753927  30.83246073] ; [31.83246073  8.16753927],0
n6,1,0.488876,0.478999,[126  23] ; [32  8],[124.56084656  24.43915344] ; [33.43915344  6.56084656],0
s3,1,0.519757,0.414375,[109  41] ; [27 13],[107.36842105  42.63157895] ; [28.63157895 11.36842105],0
b1,1,0.651065,0.20456,[63 89] ; [15 25],[61.75 90.25] ; [16.25 23.75],0
s4,1,0.736209,0.113487,[ 30 121] ; [ 7 33],[ 29.2513089 121.7486911] ; [ 7.7486911 32.2513089],0
s1,1,0.821619,0.050834,[ 10 140] ; [ 3 36],[ 10.31746032 139.68253968] ; [ 2.68253968 36.31746032],0
p5,1,0.855792,0.033027,[  9 140] ; [ 2 36],[  8.76470588 140.23529412] ; [ 2.23529412 35.76470588],0
s5,1,0.898773,0.016183,[57 87] ; [15 24],[56.6557377 87.3442623] ; [15.3442623 23.6557377],0
v3,1,0.936923,0.006263,[59 84] ; [15 22],[58.78888889 84.21111111] ; [15.21111111 21.78888889],0
a7,1,0.974735,0.001003,[103  49] ; [27 13],[102.91666667  49.08333333] ; [27.08333333 12.91666667],0
