Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,22.139208,[89  4] ; [24 13],[80.83846154 12.16153846] ; [32.16153846  4.83846154],1
r2,1,0.001919,9.625094,[90  2] ; [29  6],[86.20472441  5.79527559] ; [32.79527559  2.20472441],0
u1,1,0.004729,7.98027,[22 71] ; [ 1 36],[16.45384615 76.54615385] ; [ 6.54615385 30.45384615],0
s3,1,0.004925,7.906759,[62 30] ; [15 22],[54.91472868 37.08527132] ; [22.08527132 14.91472868],0
a5,1,0.005217,7.802768,[69 24] ; [18 19],[62.23846154 30.76153846] ; [24.76153846 12.23846154],0
s6,1,0.005598,7.675432,[68 21] ; [19 18],[61.45238095 27.54761905] ; [25.54761905 11.45238095],0
p7,1,0.006292,7.464687,[80 12] ; [23 12],[74.61417323 17.38582677] ; [28.38582677  6.61417323],0
a2,1,0.006454,7.41902,[25 68] ; [ 2 35],[19.31538462 73.68461538] ; [ 7.68461538 29.31538462],0
d1,1,0.006949,7.286088,[57 36] ; [13 24],[50.07692308 42.92307692] ; [19.92307692 17.07692308],0
n4,1,0.007844,7.06871,[76 17] ; [22 15],[70.10769231 22.89230769] ; [27.89230769  9.10769231],0
v4,1,0.010131,6.611757,[90  2] ; [32  5],[87.00775194  4.99224806] ; [34.99224806  2.00775194],0
d4,1,0.01175,6.348251,[77 16] ; [23 14],[71.53846154 21.46153846] ; [28.46153846  8.53846154],0
a3,1,0.018038,5.592447,[70 23] ; [20 17],[64.38461538 28.61538462] ; [25.61538462 11.38461538],0
s2,1,0.019688,5.439348,[58 34] ; [15 22],[52.0620155 39.9379845] ; [20.9379845 16.0620155],0
n6,1,0.020307,5.385327,[83 10] ; [27 10],[78.69230769 14.30769231] ; [31.30769231  5.69230769],0
r3,1,0.030407,4.68611,[88  3] ; [32  5],[85.3125  5.6875] ; [34.6875  2.3125],0
p3,1,0.042662,4.108737,[63 30] ; [18 19],[57.94615385 35.05384615] ; [23.05384615 13.94615385],0
p10,1,0.045729,3.991556,[75 18] ; [23 13],[70.65116279 22.34883721] ; [27.34883721  8.65116279],0
