Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000429,12.399897,[ 9 40] ; [39 40],[18.375 30.625] ; [29.625 49.375],1
r3,1,0.001254,10.408535,[30 19] ; [68 11],[37.515625 11.484375] ; [60.484375 18.515625],0
v4,1,0.002841,8.906993,[29 18] ; [68 12],[35.8976378 11.1023622] ; [61.1023622 18.8976378],0
r4,1,0.005298,7.774774,[25 24] ; [60 20],[32.28682171 16.71317829] ; [52.71317829 27.28682171],0
p11,1,0.006964,7.282314,[15 34] ; [44 36],[22.41085271 26.58914729] ; [36.58914729 43.41085271],0
n5,1,0.007265,7.20631,[20 29] ; [52 28],[27.34883721 21.65116279] ; [44.65116279 35.34883721],0
p4,1,0.009044,6.814023,[ 7 42] ; [28 51],[13.3984375 35.6015625] ; [21.6015625 57.3984375],0
b5,1,0.047853,3.915145,[20 29] ; [47 33],[25.4496124 23.5503876] ; [41.5503876 38.4496124],0
v3,1,0.052119,3.771939,[ 9 38] ; [28 51],[13.8015873 33.1984127] ; [23.1984127 55.8015873],0
s8,1,0.07154,3.247339,[ 5 44] ; [18 61],[ 8.8046875 40.1953125] ; [14.1953125 64.8046875],0
u1,1,0.126854,2.330591,[ 3 46] ; [12 68],[ 5.69767442 43.30232558] ; [ 9.30232558 70.69767442],0
a5,1,0.129682,2.296304,[30 19] ; [38 42],[25.82945736 23.17054264] ; [42.17054264 37.82945736],0
p6,1,0.130126,2.291002,[ 3 45] ; [12 67],[ 5.66929134 42.33070866] ; [ 9.33070866 69.66929134],0
v2,1,0.131553,2.274088,[13 34] ; [32 46],[16.92 30.08] ; [28.08 49.92],0
s5,1,0.15114,2.060706,[ 6 42] ; [18 61],[ 9.07086614 38.92913386] ; [14.92913386 64.07086614],0
r2,1,0.18325,1.771069,[37 11] ; [69 11],[39.75  8.25] ; [66.25 13.75],0
u2,1,0.186011,1.748931,[10  8] ; [12 21],[ 7.76470588 10.23529412] ; [14.23529412 18.76470588],0
s2,1,0.199239,1.647941,[10 39] ; [24 54],[13.11811024 35.88188976] ; [20.88188976 57.11811024],0
n2,1,0.21031,1.569293,[14 14] ; [18  9],[16.29090909 11.70909091] ; [15.70909091 11.29090909],0
p10,1,0.29269,1.107206,[ 7 42] ; [17 61],[ 9.25984252 39.74015748] ; [14.74015748 63.25984252],0
s7,1,0.29975,1.075306,[ 8 34] ; [21 55],[10.3220339 31.6779661] ; [18.6779661 57.3220339],0
p7,1,0.310739,1.027533,[12 37] ; [26 53],[14.546875 34.453125] ; [23.453125 55.546875],0
n3,1,0.340107,0.910027,[14 12] ; [18  9],[15.69811321 10.30188679] ; [16.30188679 10.69811321],0
a3,1,0.352706,0.863698,[31 17] ; [45 35],[28.5 19.5] ; [47.5 32.5],0
r1,1,0.387879,0.745581,[32 17] ; [58 22],[34.18604651 14.81395349] ; [55.81395349 24.18604651],0
a1,1,0.415016,0.664385,[ 5 44] ; [ 5 75],[ 3.79844961 45.20155039] ; [ 6.20155039 73.79844961],0
a4,1,0.424627,0.637473,[23 26] ; [31 47],[20.83464567 28.16535433] ; [33.16535433 44.83464567],0
n1,1,0.430351,0.621876,[ 7 19] ; [10 17],[ 8.33962264 17.66037736] ; [ 8.66037736 18.33962264],0
d4,1,0.458427,0.549733,[31 17] ; [56 23],[32.88188976 15.11811024] ; [54.11811024 24.88188976],0
a6,1,0.458909,0.548555,[29 20] ; [42 38],[26.96899225 22.03100775] ; [44.03100775 35.96899225],0
a7,1,0.47487,0.510622,[26 23] ; [47 32],[27.9453125 21.0546875] ; [45.0546875 33.9453125],0
p3,1,0.488607,0.479592,[10 38] ; [21 59],[11.625 36.375] ; [19.375 60.625],0
d2,1,0.499273,0.456481,[25 24] ; [35 43],[23.1496063 25.8503937] ; [36.8503937 41.1496063],0
d1,1,0.517045,0.419785,[18 31] ; [34 46],[19.75193798 29.24806202] ; [32.24806202 47.75193798],0
n4,1,0.521284,0.411352,[31 18] ; [55 25],[32.66666667 16.33333333] ; [53.33333333 26.66666667],0
s3,1,0.577856,0.309714,[20 28] ; [29 50],[18.51968504 29.48031496] ; [30.48031496 48.51968504],0
b4,1,0.604015,0.268982,[29 20] ; [51 29],[30.3875969 18.6124031] ; [49.6124031 30.3875969],0
b1,1,0.60743,0.263935,[28 21] ; [42 38],[26.58914729 22.41085271] ; [43.41085271 36.58914729],0
a8,1,0.686317,0.163102,[ 3 45] ; [ 6 67],[ 3.57024793 44.42975207] ; [ 5.42975207 67.57024793],0
d3,1,0.697846,0.150722,[25 24] ; [38 42],[23.93023256 25.06976744] ; [39.06976744 40.93023256],0
s1,1,0.73763,0.112221,[ 4 44] ; [ 8 71],[ 4.53543307 43.46456693] ; [ 7.46456693 71.53543307],0
d5,1,0.751852,0.099982,[33 16] ; [56 24],[33.80620155 15.19379845] ; [55.19379845 24.80620155],0
p2,1,0.773672,0.0827,[22 27] ; [38 42],[22.79069767 26.20930233] ; [37.20930233 42.79069767],0
b3,1,0.853543,0.034077,[11 22] ; [18 33],[11.39285714 21.60714286] ; [17.60714286 33.39285714],0
b2,1,0.853543,0.034077,[11 22] ; [18 33],[11.39285714 21.60714286] ; [17.60714286 33.39285714],0
p1,1,0.864949,0.028927,[ 4 44] ; [ 6 74],[ 3.75 44.25] ; [ 6.25 73.75],0
s4,1,0.888776,0.019559,[ 7 42] ; [12 67],[ 7.2734375 41.7265625] ; [11.7265625 67.2734375],0
v1,1,0.897933,0.016454,[16 33] ; [27 53],[16.33333333 32.66666667] ; [26.66666667 53.33333333],0
a2,1,0.900591,0.015604,[ 9 40] ; [14 66],[ 8.73643411 40.26356589] ; [14.26356589 65.73643411],0
u3,1,0.921516,0.009707,[9 9] ; [17 18],[8.83018868 9.16981132] ; [17.16981132 17.83018868],0
