Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,47.37438,[74  6] ; [10 23],[59.46902655 20.53097345] ; [24.53097345  8.46902655],1
s7,1,2e-06,22.510972,[62 18] ; [10 23],[50.97345133 29.02654867] ; [21.02654867 11.97345133],1
s6,1,0.000139,14.520942,[74  5] ; [21 11],[67.61261261 11.38738739] ; [27.38738739  4.61261261],1
a4,1,0.001746,9.799422,[40 40] ; [ 6 27],[32.56637168 47.43362832] ; [13.43362832 19.56637168],0
s8,1,0.004081,8.247379,[48 32] ; [10 23],[41.0619469 38.9380531] ; [16.9380531 16.0619469],0
s5,1,0.004621,8.021915,[45 31] ; [ 9 22],[38.35514019 37.64485981] ; [15.64485981 15.35514019],0
r2,1,0.009982,6.638174,[77  3] ; [27  6],[73.62831858  6.37168142] ; [30.37168142  2.62831858],0
d1,1,0.017524,5.643135,[51 29] ; [13 20],[45.30973451 34.69026549] ; [18.69026549 14.30973451],0
u1,1,0.027941,4.831713,[19 61] ; [ 2 31],[14.86725664 65.13274336] ; [ 6.13274336 26.86725664],0
b5,1,0.040045,4.215973,[53 27] ; [15 18],[48.14159292 31.85840708] ; [19.85840708 13.14159292],0
d2,1,0.047299,3.934733,[38 42] ; [ 9 24],[33.27433628 46.72566372] ; [13.72566372 19.27433628],0
d5,1,0.066947,3.356333,[64 16] ; [21 12],[60.17699115 19.82300885] ; [24.82300885  8.17699115],0
a2,1,0.073545,3.202081,[19 61] ; [ 3 30],[15.57522124 64.42477876] ; [ 6.42477876 26.57522124],0
p6,1,0.093745,2.80886,[40 39] ; [11 22],[35.97321429 43.02678571] ; [15.02678571 17.97321429],0
v4,1,0.111482,2.533084,[78  2] ; [29  3],[76.42857143  3.57142857] ; [30.57142857  1.42857143],0
u3,1,0.117122,2.455385,[18  7] ; [6 7],[15.78947368  9.21052632] ; [8.21052632 4.78947368],0
r4,1,0.167227,1.907631,[71  9] ; [26  7],[68.67256637 11.32743363] ; [28.32743363  4.67256637],0
a6,1,0.19282,1.69594,[54 26] ; [18 15],[50.97345133 29.02654867] ; [21.02654867 11.97345133],0
n3,1,0.236386,1.402019,[11  6] ; [7 1],[12.24  4.76] ; [5.76 2.24],0
a7,1,0.255921,1.290691,[55 25] ; [19 14],[52.38938053 27.61061947] ; [21.61061947 11.38938053],0
p1,1,0.294561,1.098657,[ 5 75] ; [ 4 29],[ 6.37168142 73.62831858] ; [ 2.62831858 30.37168142],0
v3,1,0.303295,1.059651,[25 54] ; [ 7 25],[22.77477477 56.22522523] ; [ 9.22522523 22.77477477],0
p8,1,0.345815,0.888755,[49 29] ; [17 15],[46.8 31.2] ; [19.2 12.8],0
v1,1,0.360528,0.836052,[41 38] ; [14 19],[38.79464286 40.20535714] ; [16.20535714 16.79464286],0
