Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,51.221198,[132  39] ; [178 221],[93. 78.] ; [217. 182.],1
p7,1,0.0,50.202135,[136  31] ; [194 200],[98.23529412 68.76470588] ; [231.76470588 162.23529412],1
p8,1,0.0,33.421713,[113  56] ; [161 238],[81.52464789 87.47535211] ; [192.47535211 206.52464789],1
p3,1,0.0,26.128055,[102  69] ; [146 254],[74.26970228 96.73029772] ; [173.73029772 226.26970228],1
p2,1,0.000172,14.111202,[155  16] ; [309  91],[138.95621716  32.04378284] ; [325.04378284  74.95621716],1
s7,1,0.000182,14.011795,[83 79] ; [131 253],[63.49450549 98.50549451] ; [150.50549451 233.49450549],1
s8,1,0.000227,13.590075,[80 91] ; [123 278],[ 60.68706294 110.31293706] ; [142.31293706 258.68706294],1
n4,1,0.001705,9.843115,[141  30] ; [280 121],[125.85839161  45.14160839] ; [295.14160839 105.85839161],0
b3,1,0.002001,9.548516,[50 58] ; [ 68 165],[37.37243402 70.62756598] ; [ 80.62756598 152.37243402],0
b2,1,0.002001,9.548516,[50 58] ; [ 68 165],[37.37243402 70.62756598] ; [ 80.62756598 152.37243402],0
p5,1,0.003475,8.539458,[ 17 154] ; [ 15 382],[  9.63380282 161.36619718] ; [ 22.36619718 374.63380282],0
v1,1,0.004325,8.141878,[95 72] ; [170 219],[79.59532374 87.40467626] ; [185.40467626 203.59532374],0
p12,1,0.004966,7.891673,[ 15 155] ; [ 13 386],[  8.3655536 161.6344464] ; [ 19.6344464 379.3655536],0
n6,1,0.005631,7.664642,[150  20] ; [315  87],[138.1993007  31.8006993] ; [326.8006993  75.1993007],0
n5,1,0.006518,7.401112,[135  34] ; [274 125],[121.69190141  47.30809859] ; [287.30809859 111.69190141],0
p9,1,0.00854,6.916562,[147  23] ; [304  92],[135.45936396  34.54063604] ; [315.54063604  80.45936396],0
p1,1,0.013034,6.164529,[ 17 154] ; [ 18 382],[ 10.48161121 160.51838879] ; [ 24.51838879 375.48161121],0
d1,1,0.030878,4.65976,[104  67] ; [205 197],[92.21465969 78.78534031] ; [216.78534031 185.21465969],0
v2,1,0.032076,4.594421,[100  68] ; [188 191],[88.45338208 79.54661792] ; [199.54661792 179.45338208],0
s6,1,0.042615,4.110601,[106  64] ; [212 187],[95.00878735 74.99121265] ; [222.99121265 176.00878735],0
s2,1,0.044319,4.044355,[76 94] ; [143 257],[ 65.31578947 104.68421053] ; [153.68421053 246.31578947],0
d2,1,0.047871,3.914502,[87 84] ; [168 233],[76.23251748 94.76748252] ; [178.76748252 222.23251748],0
p11,1,0.072305,3.229896,[141  30] ; [304  98],[132.80104712  38.19895288] ; [312.19895288  89.80104712],0
r2,1,0.096122,2.768731,[162   6] ; [371  29],[157.64788732  10.35211268] ; [375.35211268  24.64788732],0
d3,1,0.099072,2.720415,[122  47] ; [261 140],[113.55614035  55.44385965] ; [269.44385965 131.55614035],0
b1,1,0.101092,2.688238,[75 96] ; [147 255],[ 66.2513089 104.7486911] ; [155.7486911 246.2513089],0
u1,1,0.106049,2.61213,[ 31 140] ; [ 52 350],[ 24.76963351 146.23036649] ; [ 58.23036649 343.76963351],0
a4,1,0.113047,2.511098,[78 92] ; [155 245],[ 69.49122807 100.50877193] ; [163.50877193 236.49122807],0
u4,1,0.123011,2.378564,[  6 165] ; [  6 396],[  3.58115183 167.41884817] ; [  8.41884817 393.58115183],0
r4,1,0.135097,2.23294,[156  15] ; [349  53],[150.70680628  20.29319372] ; [354.29319372  47.70680628],0
