Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001144,10.57865,[14 70] ; [9 8],[19.12871287 64.87128713] ; [ 3.87128713 13.12871287],0
p6,1,0.001597,9.962659,[ 6 79] ; [ 6 12],[ 9.90291262 75.09708738] ; [ 2.09708738 15.90291262],0
p5,1,0.00194,9.605692,[ 4 79] ; [ 5 13],[ 7.3960396 75.6039604] ; [ 1.6039604 16.3960396],0
v1,1,0.050098,3.838179,[22 61] ; [9 9],[25.47524752 57.52475248] ; [ 5.52475248 12.47524752],0
d3,1,0.090357,2.867996,[38 47] ; [12  6],[41.26213592 43.73786408] ; [8.73786408 9.26213592],0
a4,1,0.124698,2.357297,[37 48] ; [ 4 13],[34.16666667 50.83333333] ; [ 6.83333333 10.16666667],0
n5,1,0.14049,2.172586,[58 27] ; [9 9],[55.29126214 29.70873786] ; [11.70873786  6.29126214],0
p4,1,0.150615,2.066006,[19 65] ; [ 7 11],[21.41176471 62.58823529] ; [ 4.58823529 13.41176471],0
a6,1,0.158366,1.98976,[46 39] ; [13  5],[48.68932039 36.31067961] ; [10.31067961  7.68932039],0
p3,1,0.168919,1.892512,[20 66] ; [ 7 11],[22.32692308 63.67307692] ; [ 4.67307692 13.32692308],0
s1,1,0.170205,1.881137,[ 9 77] ; [ 4 14],[10.75 75.25] ; [ 2.25 15.75],0
p10,1,0.171962,1.86576,[32 52] ; [10  8],[34.58823529 49.41176471] ; [ 7.41176471 10.58823529],0
a7,1,0.197689,1.659369,[43 43] ; [12  6],[45.48076923 40.51923077] ; [9.51923077 8.48076923],0
a3,1,0.204175,1.612258,[54 31] ; [8 9],[51.66666667 33.33333333] ; [10.33333333  6.66666667],0
d1,1,0.21091,1.565171,[34 52] ; [10  8],[36.38461538 49.61538462] ; [ 7.61538462 10.38461538],0
p9,1,0.218865,1.511796,[37 45] ; [11  7],[39.36 42.64] ; [8.64 9.36],0
n2,1,0.228016,1.453193,[23 14] ; [6 1],[24.38636364 12.61363636] ; [4.61363636 2.38636364],0
b1,1,0.25986,1.269501,[46 40] ; [ 7 11],[43.82692308 42.17307692] ; [9.17307692 8.82692308],0
b5,1,0.266225,1.236092,[50 36] ; [13  5],[52.09615385 33.90384615] ; [10.90384615  7.09615385],0
s3,1,0.292419,1.108451,[33 52] ; [ 4 12],[31.13861386 53.86138614] ; [ 5.86138614 10.13861386],0
b2,1,0.339349,0.912889,[26 35] ; [3 8],[24.56944444 36.43055556] ; [4.43055556 6.56944444],0
b3,1,0.339349,0.912889,[26 35] ; [3 8],[24.56944444 36.43055556] ; [4.43055556 6.56944444],0
n3,1,0.355139,0.855011,[21 13] ; [3 4],[19.90243902 14.09756098] ; [4.09756098 2.90243902],0
p11,1,0.378918,0.774209,[38 48] ; [10  8],[39.69230769 46.30769231] ; [8.30769231 9.69230769],0
s5,1,0.459006,0.548318,[13 68] ; [ 4 13],[14.05102041 66.94897959] ; [ 2.94897959 14.05102041],0
s6,1,0.468103,0.526452,[32 53] ; [8 9],[33.33333333 51.66666667] ; [ 6.66666667 10.33333333],0
r3,1,0.473037,0.514872,[60 26] ; [11  7],[58.71153846 27.28846154] ; [12.28846154  5.71153846],0
d2,1,0.473134,0.514646,[40 43] ; [ 7 11],[38.62376238 44.37623762] ; [8.37623762 9.62376238],0
r2,1,0.485845,0.485714,[69 15] ; [16  2],[70. 14.] ; [15.  3.],0
