Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.7e-05,18.475268,[ 69 209] ; [30 26],[ 82.4011976 195.5988024] ; [16.5988024 39.4011976],1
s2,1,0.000577,11.848214,[141 147] ; [44 16],[153.10344828 134.89655172] ; [31.89655172 28.10344828],1
n5,1,0.002884,8.879457,[213  72] ; [34 27],[203.45375723  81.54624277] ; [43.54624277 17.45375723],0
n4,1,0.002928,8.851739,[219  69] ; [35 26],[209.60458453  78.39541547] ; [44.39541547 16.60458453],0
s3,1,0.007853,7.066692,[157 130] ; [44 16],[166.24495677 120.75504323] ; [34.75504323 25.24495677],0
s6,1,0.011641,6.364713,[183 105] ; [49 12],[191.44985673  96.55014327] ; [40.55014327 20.44985673],0
a8,1,0.012082,6.298768,[ 42 221] ; [ 2 56],[ 36.04984424 226.95015576] ; [ 7.95015576 50.04984424],0
p2,1,0.012687,6.21217,[231  57] ; [40 21],[223.63323782  64.36676218] ; [47.36676218 13.63323782],0
d3,1,0.033502,4.519924,[190  98] ; [48 12],[196.96551724  91.03448276] ; [41.03448276 18.96551724],0
b3,1,0.054021,3.712051,[ 73 106] ; [ 7 24],[ 68.19047619 110.80952381] ; [11.80952381 19.19047619],0
b2,1,0.054021,3.712051,[ 73 106] ; [ 7 24],[ 68.19047619 110.80952381] ; [11.80952381 19.19047619],0
b1,1,0.067615,3.339993,[112 178] ; [16 45],[105.75498575 184.24501425] ; [22.24501425 38.75498575],0
r2,1,0.07721,3.122672,[263  23] ; [59  1],[266.16184971  19.83815029] ; [55.83815029  4.16184971],0
v3,1,0.090588,2.863895,[ 96 177] ; [14 45],[ 90.45180723 182.54819277] ; [19.54819277 39.45180723],0
p11,1,0.108464,2.57646,[219  71] ; [40 21],[213.98860399  76.01139601] ; [45.01139601 15.98860399],0
r4,1,0.109433,2.562385,[243  47] ; [56  5],[247.03703704  42.96296296] ; [51.96296296  9.03703704],0
v1,1,0.119145,2.428522,[139 137] ; [24 37],[133.49554896 142.50445104] ; [29.50445104 31.49554896],0
a3,1,0.135106,2.232832,[205  84] ; [49 12],[209.73142857  79.26857143] ; [44.26857143 16.73142857],0
a5,1,0.156611,2.006649,[202  88] ; [48 13],[206.55270655  83.44729345] ; [43.44729345 17.55270655],0
u2,1,0.204811,1.607728,[50 32] ; [5 7],[47.9787234 34.0212766] ; [7.0212766 4.9787234],0
a7,1,0.215728,1.532567,[199  91] ; [46 14],[203.  87.] ; [42. 18.],0
d2,1,0.218323,1.515357,[143 145] ; [25 36],[138.63610315 149.36389685] ; [29.36389685 31.63610315],0
v4,1,0.221535,1.494397,[266  22] ; [59  2],[268.19484241  19.80515759] ; [56.80515759  4.19484241],0
n2,1,0.226191,1.464652,[60 25] ; [16  3],[62.11538462 22.88461538] ; [13.88461538  5.11538462],0
a1,1,0.229168,1.446021,[ 15 275] ; [ 1 60],[ 13.21937322 276.78062678] ; [ 2.78062678 58.21937322],0
n1,1,0.265336,1.240702,[34 51] ; [ 5 14],[31.875 53.125] ; [ 7.125 11.875],0
d5,1,0.293398,1.103964,[234  55] ; [45 15],[231.03438395  57.96561605] ; [47.96561605 12.03438395],0
s7,1,0.306609,1.045226,[129 151] ; [32 28],[132.58823529 147.41176471] ; [28.41176471 31.58823529],0
p1,1,0.354331,0.857885,[ 15 275] ; [ 5 56],[ 16.52421652 273.47578348] ; [ 3.47578348 57.52421652],0
p12,1,0.369831,0.804231,[ 18 272] ; [ 2 59],[ 16.52421652 273.47578348] ; [ 3.47578348 57.52421652],0
p5,1,0.400373,0.707205,[ 17 267] ; [ 2 59],[ 15.64057971 268.35942029] ; [ 3.35942029 57.64057971],0
s8,1,0.423032,0.641876,[117 173] ; [28 33],[119.8005698 170.1994302] ; [25.1994302 35.8005698],0
r3,1,0.465145,0.533485,[272  16] ; [59  2],[273.14613181  14.85386819] ; [57.85386819  3.14613181],0
r1,1,0.496611,0.462171,[209  78] ; [47 14],[211.12643678  75.87356322] ; [44.87356322 16.12643678],0
p3,1,0.499433,0.456142,[108 181] ; [20 41],[105.69142857 183.30857143] ; [22.30857143 38.69142857],0
p4,1,0.527792,0.39864,[136 153] ; [26 35],[133.76571429 155.23428571] ; [28.23428571 32.76571429],0
s1,1,0.531452,0.391614,[  9 276] ; [ 1 59],[  8.26086957 276.73913043] ; [ 1.73913043 58.26086957],0
a6,1,0.546272,0.364039,[202  87] ; [45 16],[203.95142857  85.04857143] ; [43.04857143 17.95142857],0
u1,1,0.58127,0.304186,[ 53 237] ; [13 48],[ 54.52991453 235.47008547] ; [11.47008547 49.52991453],0
d1,1,0.592335,0.286713,[163 127] ; [32 29],[161.11111111 128.88888889] ; [33.88888889 27.11111111],0
d4,1,0.630242,0.231733,[234  55] ; [51 10],[235.32857143  53.67142857] ; [49.67142857 11.32857143],0
b5,1,0.728416,0.120571,[193  97] ; [42 19],[194.15954416  95.84045584] ; [40.84045584 20.15954416],0
n3,1,0.736194,0.1135,[64 21] ; [15  4],[64.56730769 20.43269231] ; [14.43269231  4.56730769],0
n6,1,0.79014,0.070825,[231  56] ; [50 11],[231.74425287  55.25574713] ; [49.25574713 11.74425287],0
p7,1,0.800184,0.064064,[127 156] ; [28 32],[127.88629738 155.11370262] ; [27.11370262 32.88629738],0
a4,1,0.848868,0.036314,[137 153] ; [28 33],[136.32478632 153.67521368] ; [28.67521368 32.32478632],0
v2,1,0.850824,0.035369,[148 127] ; [32 26],[148.64864865 126.35135135] ; [31.35135135 26.64864865],0
p6,1,0.852118,0.034751,[ 72 215] ; [16 45],[ 72.57471264 214.42528736] ; [15.42528736 45.57471264],0
a2,1,0.879753,0.022886,[ 74 216] ; [15 46],[ 73.53276353 216.46723647] ; [15.46723647 45.53276353],0
p10,1,0.880924,0.022439,[249  40] ; [53  8],[249.36571429  39.63428571] ; [52.63428571  8.36571429],0
b4,1,0.994141,5.4e-05,[171 119] ; [36 25],[171.02564103 118.97435897] ; [35.97435897 25.02564103],0
u3,1,1.0,0.0,[49 35] ; [7 5],[49. 35.] ; [7. 5.],0
