Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,228.397137,[586  31] ; [41 59],[539.55230126  77.44769874] ; [87.44769874 12.55230126],1
n5,1,0.0,34.000413,[492 122] ; [56 48],[468.62395543 145.37604457] ; [79.37604457 24.62395543],1
p3,1,1e-06,24.383126,[333 283] ; [29 75],[309.71111111 306.28888889] ; [52.28888889 51.71111111],1
p4,1,2e-06,22.931247,[395 220] ; [41 63],[372.93463143 242.06536857] ; [63.06536857 40.93463143],1
p8,1,7e-06,20.087923,[360 249] ; [36 66],[339.18987342 269.81012658] ; [56.81012658 45.18987342],1
a5,1,1.6e-05,18.636675,[470 148] ; [58 46],[451.94459834 166.05540166] ; [76.05540166 27.94459834],1
s6,1,3.3e-05,17.221677,[415 190] ; [49 54],[396.49717514 208.50282486] ; [67.50282486 35.49717514],1
n6,1,4.7e-05,16.552445,[540  74] ; [75 28],[526.65271967  87.34728033] ; [88.34728033 14.65271967],1
p2,1,0.00012,14.796896,[538  77] ; [76 28],[525.18776078  89.81223922] ; [88.81223922 15.18776078],1
p7,1,0.000125,14.713667,[414 187] ; [51 52],[396.96732955 204.03267045] ; [68.03267045 34.96732955],1
s2,1,0.000554,11.925871,[317 295] ; [34 68],[300.85714286 311.14285714] ; [50.14285714 51.85714286],1
s7,1,0.00061,11.745725,[300 294] ; [32 68],[284.16138329 309.83861671] ; [47.83861671 52.16138329],1
d5,1,0.000663,11.588999,[504 112] ; [70 34],[491.08888889 124.91111111] ; [82.91111111 21.08888889],1
r4,1,0.000854,11.119246,[565  53] ; [84 20],[555.51523546  62.48476454] ; [93.48476454 10.51523546],1
s8,1,0.001186,10.512262,[284 330] ; [30 73],[268.89260809 345.10739191] ; [45.10739191 57.89260809],0
v1,1,0.001204,10.484581,[339 261] ; [40 62],[323.93162393 276.06837607] ; [55.06837607 46.93162393],0
n4,1,0.001462,10.125969,[496 122] ; [69 35],[483.61495845 134.38504155] ; [81.38504155 22.61495845],0
v4,1,0.002504,9.137858,[589  23] ; [93 11],[582.93854749  29.06145251] ; [99.06145251  4.93854749],0
a7,1,0.004034,8.268371,[451 166] ; [61 42],[438.75555556 178.24444444] ; [73.24444444 29.75555556],0
p5,1,0.005749,7.627298,[ 82 532] ; [  4 100],[ 73.54317549 540.45682451] ; [12.45682451 91.54317549],0
r3,1,0.006133,7.510791,[596  19] ; [94  9],[591.01671309  23.98328691] ; [98.98328691  4.01671309],0
d1,1,0.006779,7.330683,[367 251] ; [47 57],[354.36565097 263.63434903] ; [59.63434903 44.36565097],0
a3,1,0.008797,6.863641,[446 171] ; [62 42],[434.72399445 182.27600555] ; [73.27600555 30.72399445],0
s3,1,0.009206,6.78237,[346 261] ; [44 58],[333.89280677 273.10719323] ; [56.10719323 45.89280677],0
v3,1,0.015829,5.821813,[243 354] ; [29 74],[231.97714286 365.02285714] ; [40.02285714 62.97714286],0
v2,1,0.021551,5.281697,[348 244] ; [47 54],[337.43145743 254.56854257] ; [57.56854257 43.43145743],0
d3,1,0.022331,5.219784,[426 191] ; [60 44],[415.89736477 201.10263523] ; [70.10263523 33.89736477],0
r2,1,0.024954,5.027069,[576  35] ; [91 12],[570.78011204  40.21988796] ; [96.21988796  6.78011204],0
p12,1,0.025476,4.991234,[ 59 556] ; [  3 100],[ 53.10584958 561.89415042] ; [ 8.89415042 94.10584958],0
s5,1,0.030063,4.705678,[210 389] ; [24 76],[200.52360515 398.47639485] ; [33.47639485 66.52360515],0
d4,1,0.032895,4.551251,[509 107] ; [76 27],[501.1961057 114.8038943] ; [83.8038943 19.1961057],0
a6,1,0.042257,4.124892,[429 187] ; [62 42],[420.07777778 195.92222222] ; [70.92222222 33.07777778],0
u2,1,0.0573,3.613861,[107  64] ; [19 22],[101.63207547  69.36792453] ; [24.36792453 16.63207547],0
a2,1,0.063102,3.453913,[139 479] ; [15 89],[131.81717452 486.18282548] ; [22.18282548 81.81717452],0
r1,1,0.083849,2.988679,[495 120] ; [76 28],[488.40751043 126.59248957] ; [82.59248957 21.40751043],0
p1,1,0.147287,2.100125,[ 57 559] ; [ 5 97],[ 53.19220056 562.80779944] ; [ 8.80779944 93.19220056],0
p6,1,0.161702,1.958233,[229 380] ; [31 71],[222.70042194 386.29957806] ; [37.29957806 64.70042194],0
b3,1,0.21582,1.531947,[145 234] ; [21 48],[140.43303571 238.56696429] ; [25.56696429 43.43303571],0
b2,1,0.21582,1.531947,[145 234] ; [21 48],[140.43303571 238.56696429] ; [25.56696429 43.43303571],0
u1,1,0.236796,1.399566,[106 512] ; [13 91],[101.85872576 516.14127424] ; [17.14127424 86.85872576],0
b4,1,0.274415,1.194541,[363 255] ; [67 37],[368.06094183 249.93905817] ; [61.93905817 42.06094183],0
b1,1,0.295907,1.092548,[211 407] ; [41 63],[215.70083102 402.29916898] ; [36.29916898 67.70083102],0
