Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5.2e-05,16.378124,[19 32] ; [ 4 58],[10.38053097 40.61946903] ; [12.61946903 49.38053097],1
p2,1,0.000122,14.769216,[44  7] ; [33 30],[34.44736842 16.55263158] ; [42.55263158 20.44736842],1
p4,1,0.000136,14.554531,[25 26] ; [10 53],[15.65789474 35.34210526] ; [19.34210526 43.65789474],1
p8,1,0.000286,13.158368,[26 24] ; [12 50],[16.96428571 33.03571429] ; [21.03571429 40.96428571],1
s5,1,0.001752,9.793273,[16 35] ; [ 5 56],[ 9.5625 41.4375] ; [11.4375 49.5625],0
d5,1,0.003202,8.688859,[28 22] ; [18 45],[20.3539823 29.6460177] ; [25.6460177 37.3539823],0
s8,1,0.005078,7.851276,[21 30] ; [11 52],[14.31578947 36.68421053] ; [17.68421053 45.31578947],0
v4,1,0.009155,6.792258,[47  3] ; [47 15],[41.96428571  8.03571429] ; [52.03571429  9.96428571],0
r3,1,0.013573,6.092822,[44  7] ; [41 21],[38.36283186 12.63716814] ; [46.63716814 15.36283186],0
u2,1,0.016194,5.781649,[16 13] ; [ 9 26],[11.328125 17.671875] ; [13.671875 21.328125],0
v2,1,0.034469,4.471312,[21 28] ; [14 45],[15.87962963 33.12037037] ; [19.12037037 39.87962963],0
s7,1,0.055151,3.677528,[21 27] ; [16 45],[16.29357798 31.70642202] ; [20.70642202 40.29357798],0
s2,1,0.058082,3.591328,[23 28] ; [17 44],[18.21428571 32.78571429] ; [21.78571429 39.21428571],0
s3,1,0.085283,2.961232,[27 24] ; [22 38],[22.51351351 28.48648649] ; [26.48648649 33.51351351],0
p11,1,0.111348,2.534979,[35 16] ; [34 29],[30.86842105 20.13157895] ; [38.13157895 24.86842105],0
b2,1,0.139305,2.185619,[ 4 23] ; [10 22],[ 6.40677966 20.59322034] ; [ 7.59322034 24.40677966],0
b3,1,0.139305,2.185619,[ 4 23] ; [10 22],[ 6.40677966 20.59322034] ; [ 7.59322034 24.40677966],0
n3,1,0.154112,2.031071,[17  3] ; [18  9],[14.89361702  5.10638298] ; [20.10638298  6.89361702],0
r4,1,0.171075,1.873499,[37 14] ; [38 25],[33.55263158 17.44736842] ; [41.44736842 21.55263158],0
a2,1,0.244295,1.355637,[ 2 49] ; [ 6 57],[ 3.57894737 47.42105263] ; [ 4.42105263 58.57894737],0
n4,1,0.260177,1.267817,[29 21] ; [43 20],[31.85840708 18.14159292] ; [40.14159292 22.85840708],0
s6,1,0.271145,1.210945,[27 23] ; [27 35],[24.10714286 25.89285714] ; [29.89285714 32.10714286],0
p10,1,0.284745,1.144303,[33 16] ; [35 26],[30.29090909 18.70909091] ; [37.70909091 23.29090909],0
a4,1,0.289683,1.121095,[13 37] ; [11 51],[10.71428571 39.28571429] ; [13.28571429 48.71428571],0
d3,1,0.299401,1.076862,[16 33] ; [15 48],[13.5625 35.4375] ; [17.4375 45.5625],0
b1,1,0.352604,0.864063,[23 28] ; [23 40],[20.57894737 30.42105263] ; [25.42105263 37.57894737],0
d2,1,0.408456,0.68329,[13 38] ; [12 51],[11.18421053 39.81578947] ; [13.81578947 49.18421053],0
a7,1,0.424513,0.637788,[26 24] ; [28 35],[23.89380531 26.10619469] ; [30.10619469 32.89380531],0
n5,1,0.461251,0.542857,[34 17] ; [46 17],[35.78947368 15.21052632] ; [44.21052632 18.78947368],0
r2,1,0.476099,0.507786,[43  7] ; [51 12],[41.59292035  8.40707965] ; [52.40707965 10.59292035],0
b5,1,0.487096,0.482934,[25 26] ; [35 28],[26.84210526 24.15789474] ; [33.15789474 29.84210526],0
v3,1,0.528295,0.397669,[10 41] ; [15 46],[11.38392857 39.61607143] ; [13.61607143 47.38392857],0
a6,1,0.572012,0.319328,[24 27] ; [33 30],[25.5 25.5] ; [31.5 31.5],0
b4,1,0.572012,0.319328,[24 27] ; [33 30],[25.5 25.5] ; [31.5 31.5],0
p9,1,0.666247,0.186023,[32 19] ; [40 20],[33.08108108 17.91891892] ; [38.91891892 21.08108108],0
r1,1,0.668229,0.183681,[29 21] ; [34 29],[27.87610619 22.12389381] ; [35.12389381 27.87610619],0
d1,1,0.687266,0.162061,[ 1 50] ; [ 2 61],[ 1.34210526 49.65789474] ; [ 1.65789474 61.34210526],0
p1,1,0.698276,0.150272,[ 6 45] ; [ 6 57],[ 5.36842105 45.63157895] ; [ 6.63157895 56.36842105],0
s4,1,0.698644,0.149887,[11 39] ; [12 51],[10.17699115 39.82300885] ; [12.82300885 50.17699115],0
s1,1,0.716279,0.132086,[ 3 45] ; [ 5 57],[ 3.49090909 44.50909091] ; [ 4.50909091 57.49090909],0
u3,1,0.729494,0.119577,[12 17] ; [13 22],[11.328125 17.671875] ; [13.671875 21.328125],0
v1,1,0.75032,0.101262,[18 31] ; [25 38],[18.8125 30.1875] ; [24.1875 38.8125],0
a3,1,0.769466,0.085892,[22 29] ; [28 33],[22.76785714 28.23214286] ; [27.23214286 33.76785714],0
p12,1,0.829364,0.046448,[ 2 49] ; [ 2 61],[ 1.78947368 49.21052632] ; [ 2.21052632 60.78947368],0
n2,1,0.84028,0.040617,[15  5] ; [21  8],[14.69387755  5.30612245] ; [21.30612245  7.69387755],0
p5,1,0.844913,0.038265,[ 2 48] ; [ 3 60],[ 2.21238938 47.78761062] ; [ 2.78761062 60.21238938],0
n1,1,0.852501,0.034569,[ 8 11] ; [13 16],[ 8.3125 10.6875] ; [12.6875 16.3125],0
a5,1,0.920724,0.009905,[23 28] ; [29 34],[23.26315789 27.73684211] ; [28.73684211 34.26315789],0
n6,1,0.965976,0.00182,[35 16] ; [43 20],[34.89473684 16.10526316] ; [43.10526316 19.89473684],0
a8,1,0.972887,0.001155,[ 6 42] ; [ 7 50],[ 5.94285714 42.05714286] ; [ 7.05714286 49.94285714],0
