Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,47.502531,[ 4 26] ; [90 22],[19.85915493 10.14084507] ; [74.14084507 37.85915493],1
r3,1,0.0,37.983949,[11 19] ; [99 12],[23.40425532  6.59574468] ; [86.59574468 24.40425532],1
p2,1,2e-06,22.456589,[ 7 22] ; [80 31],[18.02142857 10.97857143] ; [68.97857143 42.02142857],1
r2,1,3e-06,21.609841,[15 14] ; [100  12],[23.65248227  5.34751773] ; [91.34751773 20.65248227],1
p11,1,4.1e-05,16.843721,[ 7 23] ; [73 39],[16.90140845 13.09859155] ; [63.09859155 48.90140845],1
r1,1,7.4e-05,15.702158,[11 19] ; [84 28],[20.07042254  9.92957746] ; [74.92957746 37.07042254],1
p10,1,0.000114,14.887118,[ 6 23] ; [67 43],[15.23021583 13.76978417] ; [57.76978417 52.23021583],1
d5,1,0.000693,11.507524,[13 17] ; [84 27],[20.63829787  9.36170213] ; [76.36170213 34.63829787],1
s6,1,0.000987,10.85106,[ 4 26] ; [52 60],[11.83098592 18.16901408] ; [44.16901408 67.83098592],1
p9,1,0.001632,9.923372,[10 19] ; [74 37],[17.4 11.6] ; [66.6 44.4],0
d3,1,0.00295,8.838384,[10 20] ; [70 40],[17.14285714 12.85714286] ; [62.85714286 47.14285714],0
u2,1,0.005618,7.668803,[ 4 10] ; [27 11],[8.34615385 5.65384615] ; [22.65384615 15.34615385],0
p7,1,0.006649,7.365454,[ 8 22] ; [58 48],[14.55882353 15.44117647] ; [51.44117647 54.55882353],0
s8,1,0.007182,7.226836,[ 1 29] ; [29 83],[ 6.33802817 23.66197183] ; [23.66197183 88.33802817],0
a1,1,0.008937,6.835342,[ 5 25] ; [  4 108],[ 1.90140845 28.09859155] ; [  7.09859155 104.90140845],0
v2,1,0.009489,6.728471,[ 6 23] ; [49 54],[12.08333333 16.91666667] ; [42.91666667 60.08333333],0
a7,1,0.010886,6.483755,[14 16] ; [80 32],[19.85915493 10.14084507] ; [74.14084507 37.85915493],0
a6,1,0.011966,6.315838,[14 16] ; [79 32],[19.78723404 10.21276596] ; [73.21276596 37.78723404],0
b3,1,0.014777,5.942881,[ 9 10] ; [12 50],[ 4.92592593 14.07407407] ; [16.07407407 45.92592593],0
b2,1,0.014777,5.942881,[ 9 10] ; [12 50],[ 4.92592593 14.07407407] ; [16.07407407 45.92592593],0
s2,1,0.01856,5.542504,[ 4 26] ; [40 72],[ 9.29577465 20.70422535] ; [34.70422535 77.29577465],0
p4,1,0.022909,5.175371,[ 6 24] ; [47 63],[11.35714286 18.64285714] ; [41.64285714 68.35714286],0
s7,1,0.031533,4.623732,[ 2 25] ; [28 76],[ 6.18320611 20.81679389] ; [23.81679389 80.18320611],0
s3,1,0.051211,3.801365,[ 8 21] ; [53 58],[12.63571429 16.36428571] ; [48.36428571 62.63571429],0
d4,1,0.052646,3.755136,[17 13] ; [83 28],[21.27659574  8.72340426] ; [78.72340426 32.27659574],0
p8,1,0.053907,3.715571,[ 6 23] ; [44 66],[10.43165468 18.56834532] ; [39.56834532 70.43165468],0
n3,1,0.056024,3.651344,[7 8] ; [24  8],[9.89361702 5.10638298] ; [21.10638298 10.89361702],0
b5,1,0.058506,3.579239,[13 17] ; [70 42],[17.53521127 12.46478873] ; [65.46478873 46.53521127],0
s1,1,0.137469,2.206061,[ 4 26] ; [  6 104],[ 2.14285714 27.85714286] ; [  7.85714286 102.14285714],0
n2,1,0.164777,1.929828,[7 8] ; [23 11],[9.18367347 5.81632653] ; [20.81632653 13.18367347],0
d1,1,0.173608,1.851509,[ 9 21] ; [49 63],[12.25352113 17.74647887] ; [45.74647887 66.25352113],0
p1,1,0.202907,1.621327,[ 4 26] ; [  7 104],[ 2.34042553 27.65957447] ; [  8.65957447 102.34042553],0
p3,1,0.207364,1.589733,[ 6 24] ; [35 75],[ 8.78571429 21.21428571] ; [32.21428571 77.78571429],0
v1,1,0.210038,1.571164,[ 8 22] ; [43 67],[10.92857143 19.07142857] ; [40.07142857 69.92857143],0
v3,1,0.27744,1.179585,[ 6 24] ; [31 72],[ 8.34586466 21.65413534] ; [28.65413534 74.34586466],0
a3,1,0.319552,0.990778,[16 13] ; [73 39],[18.30496454 10.69503546] ; [70.69503546 41.30496454],0
a5,1,0.361562,0.832461,[16 14] ; [70 42],[18.16901408 11.83098592] ; [67.83098592 44.16901408],0
n1,1,0.376462,0.782222,[7 8] ; [11 22],[5.625 9.375] ; [12.375 20.625],0
n4,1,0.462024,0.540986,[17 13] ; [55 57],[15.21126761 14.78873239] ; [56.78873239 55.21126761],0
d2,1,0.464062,0.536079,[13 17] ; [40 71],[11.27659574 18.72340426] ; [41.72340426 69.27659574],0
b1,1,0.474709,0.510993,[18 12] ; [59 53],[16.26760563 13.73239437] ; [60.73239437 51.26760563],0
a4,1,0.500326,0.454244,[13 17] ; [41 71],[11.4084507 18.5915493] ; [42.5915493 69.4084507],0
p6,1,0.539366,0.376717,[ 4 25] ; [20 87],[ 5.11764706 23.88235294] ; [18.88235294 88.11764706],0
a2,1,0.698228,0.150322,[ 6 24] ; [19 93],[ 5.28169014 24.71830986] ; [19.71830986 92.28169014],0
b4,1,0.775205,0.081552,[16 14] ; [63 49],[16.69014085 13.30985915] ; [62.30985915 49.69014085],0
a8,1,0.790311,0.070706,[ 3 26] ; [ 9 94],[ 2.63636364 26.36363636] ; [ 9.36363636 93.63636364],0
n5,1,0.905962,0.013955,[14 16] ; [50 60],[13.71428571 16.28571429] ; [50.28571429 59.71428571],0
s4,1,0.909998,0.012778,[ 3 27] ; [ 12 100],[ 3.16901408 26.83098592] ; [ 11.83098592 100.16901408],0
p5,1,0.967986,0.001611,[ 1 28] ; [  4 107],[ 1.03571429 27.96428571] ; [  3.96428571 107.03571429],0
