Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,27.723684,[ 5 38] ; [52 34],[19. 24.] ; [38. 48.],1
a3,1,1.1e-05,19.346653,[16 27] ; [66 20],[27.33333333 15.66666667] ; [54.66666667 31.33333333],1
d2,1,5.4e-05,16.30639,[11 33] ; [52 31],[21.82677165 22.17322835] ; [41.17322835 41.82677165],1
d5,1,9.1e-05,15.323301,[19 25] ; [66 19],[28.99224806 15.00775194] ; [56.00775194 28.99224806],1
d1,1,9.7e-05,15.196353,[13 31] ; [57 30],[23.51145038 20.48854962] ; [46.48854962 40.51145038],1
a6,1,0.000119,14.800907,[18 26] ; [64 21],[27.96899225 16.03100775] ; [54.03100775 30.96899225],1
d4,1,0.001389,10.22001,[24 20] ; [69 16],[31.72093023 12.27906977] ; [61.27906977 23.72093023],0
d3,1,0.003077,8.761039,[17 27] ; [56 29],[24.89922481 19.10077519] ; [48.10077519 36.89922481],0
a7,1,0.008274,6.97316,[21 23] ; [62 25],[27.8778626 16.1221374] ; [55.1221374 31.8778626],0
s7,1,0.009106,6.802005,[10 31] ; [41 43],[16.728 24.272] ; [34.272 49.728],0
r2,1,0.010757,6.504951,[34  9] ; [79  5],[38.25984252  4.74015748] ; [74.74015748  9.25984252],0
s5,1,0.011725,6.351914,[ 4 37] ; [25 58],[ 9.58870968 31.41129032] ; [19.41129032 63.58870968],0
r1,1,0.025401,4.996352,[25 19] ; [66 21],[30.5648855 13.4351145] ; [60.4351145 26.5648855],0
v4,1,0.038106,4.300284,[30 14] ; [73 14],[34.59541985  9.40458015] ; [68.40458015 18.59541985],0
s8,1,0.079519,3.074706,[12 32] ; [37 49],[16.58461538 27.41538462] ; [32.41538462 53.58461538],0
u3,1,0.117017,2.456806,[11 17] ; [13  8],[13.71428571 14.28571429] ; [10.28571429 10.71428571],0
p9,1,0.173029,1.856504,[23 20] ; [56 29],[26.5390625 16.4609375] ; [52.4609375 32.5390625],0
p3,1,0.208131,1.58438,[12 32] ; [33 53],[15.23076923 28.76923077] ; [29.76923077 56.23076923],0
p5,1,0.210823,1.565764,[ 2 40] ; [10 76],[ 3.9375 38.0625] ; [ 8.0625 77.9375],0
r4,1,0.228123,1.452524,[29 15] ; [66 21],[31.90839695 12.09160305] ; [63.09160305 23.90839695],0
n1,1,0.239317,1.384615,[9 4] ; [16 16],[7.22222222 5.77777778] ; [17.77777778 14.22222222],0
p7,1,0.280581,1.164272,[16 25] ; [25 60],[13.34126984 27.65873016] ; [27.65873016 57.34126984],0
a1,1,0.308065,1.038951,[ 3 41] ; [11 76],[ 4.70229008 39.29770992] ; [ 9.29770992 77.70229008],0
p10,1,0.313887,1.014251,[22 21] ; [52 34],[24.66666667 18.33333333] ; [49.33333333 36.66666667],0
r3,1,0.314032,1.013642,[32 12] ; [70 17],[34.25954198  9.74045802] ; [67.74045802 19.25954198],0
b2,1,0.323033,0.976625,[ 9 19] ; [28 37],[11.13978495 16.86021505] ; [25.86021505 39.13978495],0
b3,1,0.323033,0.976625,[ 9 19] ; [28 37],[11.13978495 16.86021505] ; [25.86021505 39.13978495],0
s1,1,0.339888,0.910854,[ 5 37] ; [ 6 81],[ 3.58139535 38.41860465] ; [ 7.41860465 79.58139535],0
a8,1,0.355643,0.853219,[ 4 37] ; [13 69],[ 5.66666667 35.33333333] ; [11.33333333 70.66666667],0
s2,1,0.374301,0.789336,[15 28] ; [37 49],[17.33333333 25.66666667] ; [34.66666667 51.33333333],0
s6,1,0.38199,0.764286,[21 23] ; [48 38],[23.35384615 20.64615385] ; [45.64615385 40.35384615],0
p1,1,0.397857,0.714793,[ 3 41] ; [10 77],[ 4.36641221 39.63358779] ; [ 8.63358779 78.36641221],0
v3,1,0.422707,0.642777,[14 28] ; [33 48],[16.04878049 25.95121951] ; [30.95121951 50.04878049],0
n6,1,0.437164,0.603714,[32 12] ; [67 18],[33.76744186 10.23255814] ; [65.23255814 19.76744186],0
n5,1,0.450459,0.569498,[34 10] ; [72 15],[35.60305344  8.39694656] ; [70.39694656 16.60305344],0
v2,1,0.470245,0.5214,[17 23] ; [42 43],[18.88 21.12] ; [40.12 44.88],0
u4,1,0.511858,0.430268,[ 1 43] ; [ 4 83],[ 1.67938931 42.32061069] ; [ 3.32061069 83.67938931],0
b5,1,0.575116,0.314197,[22 22] ; [48 39],[23.51145038 20.48854962] ; [46.48854962 40.51145038],0
p11,1,0.579469,0.307094,[28 16] ; [51 36],[26.53435115 17.46564885] ; [52.46564885 34.53435115],0
b4,1,0.580792,0.304956,[27 17] ; [49 38],[25.52671756 18.47328244] ; [50.47328244 36.52671756],0
p6,1,0.58804,0.293415,[ 7 35] ; [18 69],[ 8.13953488 33.86046512] ; [16.86046512 70.13953488],0
p12,1,0.643117,0.214688,[ 3 41] ; [ 8 79],[ 3.69465649 40.30534351] ; [ 7.30534351 79.69465649],0
