Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.172311,1.862722,[176  85] ; [32  9],[179.7615894  81.2384106] ; [28.2384106 12.7615894],0
d1,1,0.183535,1.768762,[130 131] ; [25 16],[133.95695364 127.04304636] ; [21.04304636 19.95695364],0
r1,1,0.192669,1.697093,[183  76] ; [33  8],[186.48  72.52] ; [29.52 11.48],0
n6,1,0.243694,1.359098,[223  37] ; [37  3],[225.33333333  34.66666667] ; [34.66666667  5.33333333],0
b5,1,0.258993,1.274133,[158 103] ; [21 20],[154.6986755 106.3013245] ; [24.3013245 16.6986755],0
d3,1,0.282002,1.157417,[154 105] ; [28 13],[157.12666667 101.87333333] ; [24.87333333 16.12666667],0
u2,1,0.294323,1.09974,[44 45] ; [4 8],[42.2970297 46.7029703] ; [5.7029703 6.2970297],0
a4,1,0.303464,1.058909,[110 148] ; [21 20],[113.0367893 144.9632107] ; [17.9632107 23.0367893],0
n3,1,0.325377,0.967211,[44 28] ; [5 6],[42.5060241 29.4939759] ; [6.4939759 4.5060241],0
s4,1,0.345733,0.889058,[ 55 201] ; [ 6 34],[ 52.75675676 203.24324324] ; [ 8.24324324 31.75675676],0
b4,1,0.35633,0.850785,[139 122] ; [25 16],[141.73509934 119.26490066] ; [22.26490066 18.73509934],0
a6,1,0.485325,0.486874,[173  87] ; [25 16],[171.02990033  88.97009967] ; [26.97009967 14.02990033],0
a7,1,0.532514,0.389592,[166  95] ; [24 17],[164.20529801  96.79470199] ; [25.79470199 15.20529801],0
v4,1,0.54681,0.363063,[234  27] ; [38  3],[235.07284768  25.92715232] ; [36.92715232  4.07284768],0
b2,1,0.559689,0.340243,[62 96] ; [ 9 18],[60.63783784 97.36216216] ; [10.36216216 16.63783784],0
b3,1,0.559689,0.340243,[62 96] ; [ 9 18],[60.63783784 97.36216216] ; [10.36216216 16.63783784],0
n2,1,0.568356,0.325441,[54 21] ; [7 4],[53.19767442 21.80232558] ; [7.80232558 3.19767442],0
r4,1,0.597561,0.27869,[214  47] ; [35  6],[215.19536424  45.80463576] ; [33.80463576  7.19536424],0
a3,1,0.606483,0.265328,[172  86] ; [29 12],[173.43812709  84.56187291] ; [27.56187291 13.43812709],0
p10,1,0.613239,0.255486,[191  68] ; [31  9],[192.30100334  66.69899666] ; [29.69899666 10.30100334],0
u4,1,0.672395,0.178813,[  4 257] ; [ 1 40],[  4.32119205 256.67880795] ; [ 0.67880795 40.32119205],0
d4,1,0.722778,0.125846,[189  70] ; [31 10],[189.93333333  69.06666667] ; [30.06666667 10.93333333],0
d5,1,0.72955,0.119526,[196  63] ; [30 11],[195.11333333  63.88666667] ; [30.88666667 10.11333333],0
r3,1,0.737731,0.112131,[226  33] ; [35  6],[225.33  33.67] ; [35.67  5.33],0
p2,1,0.837239,0.0422,[206  55] ; [31  9],[205.50498339  55.49501661] ; [31.49501661  8.50498339],0
a8,1,0.838101,0.041748,[ 35 208] ; [ 5 33],[ 34.59074733 208.40925267] ; [ 5.40925267 32.59074733],0
u1,1,0.859925,0.031142,[ 41 220] ; [ 6 35],[ 40.6192053 220.3807947] ; [ 6.3807947 34.6192053],0
r2,1,0.862278,0.030094,[238  21] ; [38  3],[238.28  20.72] ; [37.72  3.28],0
p11,1,0.879617,0.022939,[188  73] ; [30 11],[188.40397351  72.59602649] ; [29.59602649 11.40397351],0
u3,1,0.912679,0.012025,[43 46] ; [6 6],[43.17821782 45.82178218] ; [5.82178218 6.17821782],0
a2,1,0.987113,0.000261,[ 57 204] ; [ 9 32],[ 57.0397351 203.9602649] ; [ 8.9602649 32.0397351],0
