Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.821683,[21  8] ; [29 77],[10.74074074 18.25925926] ; [39.25925926 66.74074074],1
s6,1,4.6e-05,16.596194,[24  4] ; [45 61],[14.41791045 13.58208955] ; [54.58208955 51.41791045],1
p5,1,0.001562,10.003642,[ 8 21] ; [ 7 98],[ 3.24626866 25.75373134] ; [11.75373134 93.24626866],0
r4,1,0.00159,9.971721,[24  5] ; [53 53],[16.54074074 12.45925926] ; [60.45925926 45.54074074],0
s3,1,0.002112,9.449526,[20  9] ; [38 65],[12.74242424 16.25757576] ; [45.25757576 57.74242424],0
s7,1,0.006962,7.282847,[16 11] ; [31 69],[ 9.99212598 17.00787402] ; [37.00787402 62.99212598],0
p10,1,0.010301,6.582121,[26  3] ; [67 36],[20.43181818  8.56818182] ; [72.56818182 30.43181818],0
s4,1,0.010831,6.492918,[ 8 21] ; [10 96],[ 3.86666667 25.13333333] ; [14.13333333 91.86666667],0
v4,1,0.01131,6.415926,[28  1] ; [79 26],[23.15671642  5.84328358] ; [83.84328358 21.15671642],0
d3,1,0.012386,6.254755,[21  8] ; [49 57],[15.03703704 13.96296296] ; [54.96296296 51.03703704],0
a5,1,0.020826,5.34129,[22  7] ; [55 51],[16.54074074 12.45925926] ; [60.45925926 45.54074074],0
b4,1,0.020832,5.340833,[23  6] ; [59 47],[17.61481481 11.38518519] ; [64.38518519 41.61481481],0
u2,1,0.024173,5.082181,[7 2] ; [15 26],[3.96 5.04] ; [18.04 22.96],0
s1,1,0.032587,4.567339,[ 3 26] ; [  2 104],[ 1.07407407 27.92592593] ; [  3.92592593 102.07407407],0
p6,1,0.034953,4.447489,[13 15] ; [26 75],[ 8.46511628 19.53488372] ; [30.53488372 70.46511628],0
u3,1,0.042033,4.133867,[5 4] ; [ 9 32],[2.52 6.48] ; [11.48 29.52],0
p2,1,0.04635,3.968833,[25  4] ; [70 34],[20.71428571  8.28571429] ; [74.28571429 29.71428571],0
v1,1,0.063949,3.431891,[16 12] ; [38 63],[11.72093023 16.27906977] ; [42.27906977 58.72093023],0
s8,1,0.073776,3.196937,[12 17] ; [26 80],[ 8.16296296 20.83703704] ; [29.83703704 76.16296296],0
b5,1,0.099113,2.719754,[14 15] ; [69 37],[17.82962963 11.17037037] ; [65.17037037 40.82962963],0
p9,1,0.105111,2.626238,[26  3] ; [78 25],[22.84848485  6.15151515] ; [81.15151515 21.84848485],0
d1,1,0.111059,2.53908,[16 13] ; [41 65],[12.24444444 16.75555556] ; [44.75555556 61.24444444],0
