Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,74.992561,[ 5 42] ; [215  71],[31.05105105 15.94894895] ; [188.94894895  97.05105105],1
d4,1,0.0,50.51609,[23 24] ; [257  29],[39.51951952  7.48048048] ; [240.48048048  45.51951952],1
d3,1,0.0,34.682339,[21 26] ; [238  48],[36.55555556 10.44444444] ; [222.44444444  63.55555556],1
d2,1,2.4e-05,17.866545,[11 36] ; [162 124],[24.41741742 22.58258258] ; [148.58258258 137.41741742],1
u1,1,2.5e-05,17.796677,[ 1 46] ; [ 91 195],[12.98498498 34.01501502] ; [ 79.01501502 206.98498498],1
a2,1,0.001249,10.417088,[ 6 41] ; [105 181],[15.66666667 31.33333333] ; [ 95.33333333 190.66666667],0
a4,1,0.001756,9.788874,[13 34] ; [149 136],[22.93373494 24.06626506] ; [139.06626506 145.93373494],0
v1,1,0.008466,6.93215,[21 26] ; [179  97],[29.10216718 17.89783282] ; [170.89783282 105.10216718],0
p10,1,0.022527,5.204648,[36 11] ; [251  32],[40.87575758  6.12424242] ; [246.12424242  36.87575758],0
a3,1,0.02799,4.828672,[29 18] ; [218  66],[35.07250755 11.92749245] ; [211.92749245  72.07250755],0
p12,1,0.035021,4.44415,[10 37] ; [ 30 256],[ 5.64564565 41.35435435] ; [ 34.35435435 251.64564565],0
s8,1,0.058199,3.587971,[16 30] ; [141 142],[21.95136778 24.04863222] ; [135.04863222 147.95136778],0
p2,1,0.059819,3.542391,[38  9] ; [257  28],[41.76204819  5.23795181] ; [253.23795181  31.76204819],0
s6,1,0.066801,3.359924,[27 19] ; [201  78],[32.27076923 13.72923077] ; [195.72923077  83.27076923],0
n4,1,0.085766,2.952108,[34 13] ; [237  49],[38.24924925  8.75075075] ; [232.75075075  53.24924925],0
p9,1,0.10514,2.625792,[38  8] ; [258  27],[41.13595166  4.86404834] ; [254.86404834  30.13595166],0
p1,1,0.128698,2.308136,[ 9 38] ; [ 32 252],[ 5.82175227 41.17824773] ; [ 35.17824773 248.82175227],0
a6,1,0.129474,2.298804,[33 14] ; [228  57],[36.94879518 10.05120482] ; [224.05120482  60.94879518],0
p6,1,0.173384,1.853438,[27 19] ; [135 147],[22.7195122 23.2804878] ; [139.2804878 142.7195122],0
a5,1,0.178271,1.811975,[33 14] ; [226  60],[36.55555556 10.44444444] ; [222.44444444  63.55555556],0
a8,1,0.185042,1.756658,[ 3 41] ; [ 35 213],[ 5.7260274 38.2739726] ; [ 32.2739726 215.7260274],0
