Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.6e-05,17.065838,[10 25] ; [35 12],[19.20731707 15.79268293] ; [25.79268293 21.20731707],1
a5,1,0.018664,5.53272,[19 16] ; [37 10],[23.90243902 11.09756098] ; [32.09756098 14.90243902],0
p11,1,0.037082,4.346651,[15 20] ; [31 16],[19.63414634 15.36585366] ; [26.36585366 20.63414634],0
s7,1,0.054015,3.712243,[11 21] ; [26 20],[15.17948718 16.82051282] ; [21.82051282 24.17948718],0
a3,1,0.068914,3.3087,[22 13] ; [38  9],[25.6097561  9.3902439] ; [34.3902439 12.6097561],0
r1,1,0.106386,2.607104,[21 14] ; [36 11],[24.32926829 10.67073171] ; [32.67073171 14.32926829],0
p1,1,0.107882,2.584976,[ 5 30] ; [ 2 45],[ 2.98780488 32.01219512] ; [ 4.01219512 42.98780488],0
u3,1,0.119467,2.424298,[10  3] ; [4 5],[8.27272727 4.72727273] ; [5.72727273 3.27272727],0
n3,1,0.124634,2.358101,[11  7] ; [12  2],[12.9375  5.0625] ; [10.0625  3.9375],0
b3,1,0.160237,1.971989,[5 9] ; [ 5 25],[ 3.18181818 10.81818182] ; [ 6.81818182 23.18181818],0
b2,1,0.160237,1.971989,[5 9] ; [ 5 25],[ 3.18181818 10.81818182] ; [ 6.81818182 23.18181818],0
p4,1,0.223679,1.480611,[11 24] ; [21 26],[13.65853659 21.34146341] ; [18.34146341 28.65853659],0
s8,1,0.223679,1.480611,[11 24] ; [21 26],[13.65853659 21.34146341] ; [18.34146341 28.65853659],0
p3,1,0.230408,1.438342,[ 9 26] ; [18 29],[11.52439024 23.47560976] ; [15.47560976 31.52439024],0
r2,1,0.268884,1.222434,[34  1] ; [41  4],[32.8125  2.1875] ; [42.1875  2.8125],0
a4,1,0.287158,1.132899,[13 22] ; [23 24],[15.36585366 19.63414634] ; [20.63414634 26.36585366],0
a2,1,0.302736,1.062103,[ 5 30] ; [11 36],[ 6.82926829 28.17073171] ; [ 9.17073171 37.82926829],0
n6,1,0.317189,1.0005,[25 10] ; [38  9],[26.8902439  8.1097561] ; [36.1097561 10.8902439],0
b4,1,0.3424,0.901426,[23 12] ; [26 21],[20.91463415 14.08536585] ; [28.08536585 18.91463415],0
r3,1,0.386848,0.748828,[32  3] ; [40  7],[30.73170732  4.26829268] ; [41.26829268  5.73170732],0
u1,1,0.41799,0.65596,[ 5 30] ; [10 37],[ 6.40243902 28.59756098] ; [ 8.59756098 38.40243902],0
d4,1,0.424358,0.638216,[28  7] ; [34 13],[26.46341463  8.53658537] ; [35.53658537 11.46341463],0
u2,1,0.428539,0.626781,[5 8] ; [5 4],[5.90909091 7.09090909] ; [4.09090909 4.90909091],0
s3,1,0.434259,0.611405,[22 13] ; [32 13],[23.625 11.375] ; [30.375 14.625],0
v4,1,0.436239,0.606155,[31  4] ; [43  3],[31.97530864  3.02469136] ; [42.02469136  3.97530864],0
s1,1,0.450813,0.568607,[ 1 34] ; [ 3 43],[ 1.72839506 33.27160494] ; [ 2.27160494 43.72839506],0
p6,1,0.509528,0.435037,[ 8 27] ; [ 8 39],[ 6.82926829 28.17073171] ; [ 9.17073171 37.82926829],0
r4,1,0.562664,0.335113,[30  5] ; [38  9],[29.02439024  5.97560976] ; [38.97560976  8.02439024],0
n2,1,0.630872,0.23088,[13  5] ; [9 5],[12.375  5.625] ; [9.625 4.375],0
p9,1,0.654901,0.199776,[26  7] ; [35 12],[25.1625  7.8375] ; [35.8375 11.1625],0
p10,1,0.659522,0.194105,[24 10] ; [31 16],[23.08641975 10.91358025] ; [31.91358025 15.08641975],0
s2,1,0.698567,0.149967,[24 11] ; [29 16],[23.1875 11.8125] ; [29.8125 15.1875],0
d2,1,0.722098,0.126491,[15 20] ; [22 25],[15.79268293 19.20731707] ; [21.20731707 25.79268293],0
a1,1,0.738709,0.111264,[ 1 34] ; [ 2 45],[ 1.2804878 33.7195122] ; [ 1.7195122 45.2804878],0
