Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5e-06,20.880596,[ 8 79] ; [17 21],[17.4 69.6] ; [ 7.6 30.4],1
p8,1,6.2e-05,16.028286,[13 75] ; [18 19],[21.824 66.176] ; [ 9.176 27.824],1
p4,1,0.003112,8.740791,[23 64] ; [20 17],[30.16935484 56.83064516] ; [12.83064516 24.16935484],0
a2,1,0.004497,8.071513,[31 57] ; [ 4 34],[24.44444444 63.55555556] ; [10.55555556 27.44444444],0
p3,1,0.004825,7.943963,[24 63] ; [20 17],[30.87096774 56.12903226] ; [13.12903226 23.87096774],0
v2,1,0.014357,5.99373,[36 47] ; [25 12],[42.19166667 40.80833333] ; [18.80833333 18.19166667],0
a8,1,0.018373,5.560262,[ 6 78] ; [ 8 28],[ 9.8 74.2] ; [ 4.2 31.8],0
s5,1,0.024187,5.081174,[22 62] ; [17 19],[27.3 56.7] ; [11.7 24.3],0
d2,1,0.065948,3.381111,[56 30] ; [17 19],[51.45901639 34.54098361] ; [21.54098361 14.45901639],0
s2,1,0.071953,3.237906,[33 54] ; [21 17],[37.584 49.416] ; [16.416 21.584],0
u1,1,0.084909,2.968333,[21 67] ; [ 4 34],[17.46031746 70.53968254] ; [ 7.53968254 30.46031746],0
n3,1,0.09702,2.753867,[21 16] ; [10  2],[23.40816327 13.59183673] ; [7.59183673 4.40816327],0
a3,1,0.103787,2.646369,[71 16] ; [26 12],[67.512 19.488] ; [29.488  8.512],0
s6,1,0.143453,2.140521,[44 43] ; [24 13],[47.70967742 39.29032258] ; [20.29032258 16.70967742],0
s3,1,0.15169,2.055175,[36 51] ; [21 17],[39.672 47.328] ; [17.328 20.672],0
p9,1,0.157425,1.998789,[49 36] ; [27 11],[52.5203252 32.4796748] ; [23.4796748 14.5203252],0
a4,1,0.166604,1.913234,[55 32] ; [19 19],[51.504 35.496] ; [22.496 15.504],0
a1,1,0.169883,1.883971,[12 76] ; [ 2 36],[ 9.77777778 78.22222222] ; [ 4.22222222 33.77777778],0
u3,1,0.176076,1.830439,[ 7 10] ; [8 4],[8.79310345 8.20689655] ; [6.20689655 5.79310345],0
v1,1,0.176997,1.822659,[29 55] ; [18 20],[32.36065574 51.63934426] ; [14.63934426 23.36065574],0
r4,1,0.192419,1.699,[62 26] ; [31  7],[64.95238095 23.04761905] ; [28.04761905  9.95238095],0
p5,1,0.243982,1.357441,[ 6 80] ; [ 5 32],[ 7.69105691 78.30894309] ; [ 3.30894309 33.69105691],0
b1,1,0.244152,1.356459,[41 47] ; [22 16],[44. 44.] ; [19. 19.],0
n2,1,0.246011,1.345817,[27 14] ; [10  2],[28.62264151 12.37735849] ; [8.37735849 3.62264151],0
p10,1,0.267963,1.227143,[48 39] ; [25 13],[50.808 36.192] ; [22.192 15.808],0
u2,1,0.295108,1.096171,[8 9] ; [3 8],[ 6.67857143 10.32142857] ; [4.32142857 6.67857143],0
d3,1,0.316455,1.003544,[55 33] ; [19 17],[52.51612903 35.48387097] ; [21.48387097 14.51612903],0
s7,1,0.324606,0.970299,[33 49] ; [18 18],[35.44067797 46.55932203] ; [15.55932203 20.44067797],0
b5,1,0.331778,0.941947,[45 43] ; [23 15],[47.49206349 40.50793651] ; [20.50793651 17.49206349],0
s1,1,0.332513,0.939087,[ 5 83] ; [ 4 34],[ 6.28571429 81.71428571] ; [ 2.71428571 35.28571429],0
d5,1,0.378088,0.77691,[67 21] ; [30  6],[68.83870968 19.16129032] ; [28.16129032  7.83870968],0
n5,1,0.389519,0.740445,[58 30] ; [28 10],[60.06349206 27.93650794] ; [25.93650794 12.06349206],0
r3,1,0.403171,0.698848,[71 17] ; [33  5],[72.63492063 15.36507937] ; [31.36507937  6.63492063],0
b3,1,0.44815,0.575327,[27 32] ; [10 17],[25.38372093 33.61627907] ; [11.61627907 15.38372093],0
b2,1,0.44815,0.575327,[27 32] ; [10 17],[25.38372093 33.61627907] ; [11.61627907 15.38372093],0
p1,1,0.450298,0.569901,[11 77] ; [ 3 35],[ 9.77777778 78.22222222] ; [ 4.22222222 33.77777778],0
d4,1,0.480505,0.497717,[71 17] ; [27  9],[69.5483871 18.4516129] ; [28.4516129  7.5483871],0
r1,1,0.498179,0.458813,[61 27] ; [24 14],[59.36507937 28.63492063] ; [25.63492063 12.36507937],0
a6,1,0.586456,0.295913,[63 25] ; [24 12],[61.74193548 26.25806452] ; [25.25806452 10.74193548],0
v3,1,0.609112,0.261471,[31 50] ; [12 24],[29.76923077 51.23076923] ; [13.23076923 22.76923077],0
n6,1,0.657778,0.196234,[60 28] ; [26 10],[61.03225806 26.96774194] ; [24.96774194 11.03225806],0
b4,1,0.664254,0.188397,[50 38] ; [20 18],[48.88888889 39.11111111] ; [21.11111111 16.88888889],0
v4,1,0.745447,0.105397,[72 16] ; [32  6],[72.63492063 15.36507937] ; [31.36507937  6.63492063],0
s4,1,0.750414,0.101183,[16 70] ; [ 8 30],[16.64516129 69.35483871] ; [ 7.35483871 30.64516129],0
n4,1,0.792511,0.069196,[60 28] ; [25 13],[59.36507937 28.63492063] ; [25.63492063 12.36507937],0
p11,1,0.877503,0.023758,[45 43] ; [20 18],[45.3968254 42.6031746] ; [19.6031746 18.3968254],0
s8,1,0.884453,0.02112,[33 55] ; [13 23],[32.64516129 55.35483871] ; [13.35483871 22.64516129],0
r2,1,0.895888,0.017124,[76 10] ; [33  4],[76.21138211  9.78861789] ; [32.78861789  4.21138211],0
a7,1,0.912509,0.012072,[57 31] ; [25 13],[57.26984127 30.73015873] ; [24.73015873 13.26984127],0
d1,1,0.929492,0.007829,[54 34] ; [23 15],[53.77777778 34.22222222] ; [23.22222222 14.77777778],0
n1,1,0.978594,0.00072,[18 22] ; [5 6],[18.03921569 21.96078431] ; [4.96078431 6.03921569],0
