Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000428,12.406154,[73 17] ; [18 18],[65. 25.] ; [26. 10.],1
d4,1,0.000583,11.83,[76 14] ; [20 16],[68.57142857 21.42857143] ; [27.42857143  8.57142857],1
d3,1,0.002848,8.902355,[52 39] ; [10 26],[44.42519685 46.57480315] ; [17.57480315 18.42519685],0
p3,1,0.002864,8.892198,[66 25] ; [16 20],[58.75590551 32.24409449] ; [23.24409449 12.75590551],0
d1,1,0.003447,8.554176,[54 37] ; [11 25],[46.57480315 44.42519685] ; [18.42519685 17.57480315],0
s6,1,0.008392,6.947931,[66 21] ; [18 17],[59.90163934 27.09836066] ; [24.09836066 10.90163934],0
p6,1,0.013635,6.084826,[52 39] ; [11 23],[45.864 45.136] ; [17.136 16.864],0
a4,1,0.021539,5.282631,[43 48] ; [ 9 27],[37.25984252 53.74015748] ; [14.74015748 21.25984252],0
s5,1,0.027392,4.865963,[43 44] ; [10 26],[37.48780488 49.51219512] ; [15.51219512 20.48780488],0
p5,1,0.027526,4.857495,[20 71] ; [ 2 34],[15.76377953 75.23622047] ; [ 6.23622047 29.76377953],0
s8,1,0.031594,4.620384,[57 34] ; [15 21],[51.59055118 39.40944882] ; [20.40944882 15.59055118],0
s7,1,0.039302,4.247785,[55 34] ; [14 20],[49.92682927 39.07317073] ; [19.07317073 14.92682927],0
v3,1,0.039935,4.220625,[43 47] ; [10 26],[37.85714286 52.14285714] ; [15.14285714 20.85714286],0
v1,1,0.042106,4.130939,[53 37] ; [14 22],[47.85714286 42.14285714] ; [19.14285714 16.85714286],0
s2,1,0.042888,4.099828,[51 40] ; [13 23],[45.85826772 45.14173228] ; [18.14173228 17.85826772],0
p7,1,0.075176,3.166235,[78 13] ; [26 10],[74.51968504 16.48031496] ; [29.48031496  6.51968504],0
u1,1,0.082013,3.024548,[ 3 88] ; [ 4 32],[ 5.01574803 85.98425197] ; [ 1.98425197 34.01574803],0
b5,1,0.08807,2.909308,[33 58] ; [19 17],[37.25984252 53.74015748] ; [14.74015748 21.25984252],0
a3,1,0.104703,2.632406,[62 29] ; [19 17],[58.03937008 32.96062992] ; [22.96062992 13.03937008],0
u2,1,0.107958,2.583866,[19 10] ; [ 7 10],[16.39130435 12.60869565] ; [9.60869565 7.39130435],0
d2,1,0.113959,2.498442,[47 44] ; [13 23],[42.99212598 48.00787402] ; [17.00787402 18.99212598],0
v2,1,0.146742,2.105798,[51 38] ; [15 20],[47.37096774 41.62903226] ; [18.62903226 16.37096774],0
a6,1,0.16818,1.899092,[31 60] ; [17 19],[34.39370079 56.60629921] ; [13.60629921 22.39370079],0
p10,1,0.207728,1.587192,[79 12] ; [28  8],[76.66929134 14.33070866] ; [30.33070866  5.66929134],0
p9,1,0.28405,1.147612,[80 11] ; [29  7],[78.1023622 12.8976378] ; [30.8976378  5.1023622],0
r1,1,0.293517,1.103419,[69 22] ; [24 12],[66.63779528 24.36220472] ; [26.36220472  9.63779528],0
s4,1,0.297635,1.084761,[23 68] ; [ 6 30],[20.77952756 70.22047244] ; [ 8.22047244 27.77952756],0
r3,1,0.304235,1.05554,[84  7] ; [35  1],[85.26771654  5.73228346] ; [33.73228346  2.26771654],0
p12,1,0.318798,0.993872,[ 7 84] ; [ 1 34],[ 5.77777778 85.22222222] ; [ 2.22222222 32.77777778],0
s1,1,0.328853,0.953411,[ 2 89] ; [ 2 34],[ 2.86614173 88.13385827] ; [ 1.13385827 34.86614173],0
b4,1,0.339439,0.912549,[49 42] ; [16 20],[46.57480315 44.42519685] ; [18.42519685 17.57480315],0
b2,1,0.360124,0.83746,[26 32] ; [ 7 14],[24.2278481 33.7721519] ; [ 8.7721519 12.2278481],0
b3,1,0.360124,0.83746,[26 32] ; [ 7 14],[24.2278481 33.7721519] ; [ 8.7721519 12.2278481],0
n6,1,0.366889,0.814175,[75 16] ; [32  4],[76.66929134 14.33070866] ; [30.33070866  5.66929134],0
p2,1,0.384845,0.755167,[81 10] ; [30  6],[79.53543307 11.46456693] ; [31.46456693  4.53543307],0
v4,1,0.389284,0.741176,[84  6] ; [35  1],[85.  5.] ; [34.  2.],0
s3,1,0.390705,0.736746,[55 35] ; [19 17],[52.85714286 37.14285714] ; [21.14285714 14.85714286],0
a5,1,0.406458,0.689138,[65 26] ; [23 13],[63.05511811 27.94488189] ; [24.94488189 11.05511811],0
n5,1,0.426416,0.632566,[74 17] ; [27  9],[72.37007874 18.62992126] ; [28.62992126  7.37007874],0
a1,1,0.515462,0.422964,[ 5 86] ; [ 1 35],[ 4.2992126 86.7007874] ; [ 1.7007874 34.2992126],0
a8,1,0.524079,0.405859,[12 78] ; [ 3 30],[10.97560976 79.02439024] ; [ 4.02439024 28.97560976],0
u3,1,0.526171,0.401781,[13 16] ; [ 6 11],[11.97826087 17.02173913] ; [7.02173913 9.97826087],0
r4,1,0.635839,0.224225,[78 13] ; [32  4],[78.81889764 12.18110236] ; [31.18110236  4.81889764],0
n4,1,0.651059,0.204567,[74 17] ; [28  8],[73.08661417 17.91338583] ; [28.91338583  7.08661417],0
p1,1,0.656346,0.197993,[10 81] ; [ 3 33],[ 9.31496063 81.68503937] ; [ 3.68503937 32.31496063],0
n1,1,0.685734,0.163743,[ 9 10] ; [5 4],[9.5 9.5] ; [4.5 4.5],0
