Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.001943,9.602525,[17 30] ; [11  2],[21.93333333 25.06666667] ; [6.06666667 6.93333333],0
p8,1,0.00769,7.104277,[ 8 38] ; [7 6],[11.69491525 34.30508475] ; [3.30508475 9.69491525],0
p3,1,0.046344,3.969057,[12 36] ; [7 6],[14.95081967 33.04918033] ; [4.04918033 8.95081967],0
v2,1,0.051893,3.779211,[ 9 37] ; [6 7],[11.69491525 34.30508475] ; [3.30508475 9.69491525],0
r4,1,0.061216,3.504131,[27 21] ; [11  2],[29.90163934 18.09836066] ; [8.09836066 4.90163934],0
u2,1,0.088483,2.901759,[ 7 21] ; [5 4],[ 9.08108108 18.91891892] ; [2.91891892 6.08108108],0
a8,1,0.09963,2.711461,[ 5 38] ; [4 9],[ 6.91071429 36.08928571] ; [ 2.08928571 10.91071429],0
p2,1,0.108162,2.580877,[25 23] ; [10  3],[27.54098361 20.45901639] ; [7.45901639 5.54098361],0
r3,1,0.120879,2.405892,[29 18] ; [11  2],[31.33333333 15.66666667] ; [8.66666667 4.33333333],0
b3,1,0.124409,2.360913,[ 7 24] ; [4 4],[ 8.74358974 22.25641026] ; [2.25641026 5.74358974],0
b2,1,0.124409,2.360913,[ 7 24] ; [4 4],[ 8.74358974 22.25641026] ; [2.25641026 5.74358974],0
p11,1,0.157436,1.998682,[19 29] ; [8 5],[21.24590164 26.75409836] ; [5.75409836 7.24590164],0
v4,1,0.167018,1.90951,[35 12] ; [12  1],[36.81666667 10.18333333] ; [10.18333333  2.81666667],0
a5,1,0.175898,1.831942,[21 27] ; [ 3 10],[18.8852459 29.1147541] ; [5.1147541 7.8852459],0
b5,1,0.175898,1.831942,[27 21] ; [10  3],[29.1147541 18.8852459] ; [7.8852459 5.1147541],0
s3,1,0.23013,1.440056,[19 27] ; [ 3 10],[17.15254237 28.84745763] ; [4.84745763 8.15254237],0
d1,1,0.313745,1.014844,[ 1 47] ; [ 1 12],[ 1.57377049 46.42622951] ; [ 0.42622951 12.57377049],0
b1,1,0.315018,1.009519,[22 26] ; [8 5],[23.60655738 24.39344262] ; [6.39344262 6.60655738],0
p4,1,0.315733,1.006542,[15 33] ; [6 7],[16.52459016 31.47540984] ; [4.47540984 8.52459016],0
d3,1,0.336911,0.922151,[12 36] ; [5 8],[13.37704918 34.62295082] ; [3.62295082 9.37704918],0
s8,1,0.356796,0.849138,[ 6 41] ; [ 3 10],[ 7.05 39.95] ; [ 1.95 11.05],0
a4,1,0.365669,0.818331,[13 34] ; [ 2 11],[11.75 35.25] ; [3.25 9.75],0
n6,1,0.367869,0.810849,[26 21] ; [9 4],[27.41666667 19.58333333] ; [7.58333333 5.41666667],0
a3,1,0.410131,0.67842,[20 26] ; [4 9],[18.71186441 27.28813559] ; [5.28813559 7.71186441],0
n5,1,0.422543,0.643231,[31 16] ; [7 6],[29.76666667 17.23333333] ; [8.23333333 4.76666667],0
v1,1,0.424916,0.63668,[13 35] ; [5 8],[14.16393443 33.83606557] ; [3.83606557 9.16393443],0
p1,1,0.44887,0.573504,[ 4 44] ; [ 2 11],[ 4.72131148 43.27868852] ; [ 1.27868852 11.72131148],0
s6,1,0.451902,0.565877,[16 31] ; [ 3 10],[14.88333333 32.11666667] ; [4.11666667 8.88333333],0
r1,1,0.502852,0.448913,[24 23] ; [8 5],[25.06666667 21.93333333] ; [6.93333333 6.06666667],0
a6,1,0.516983,0.419908,[21 27] ; [7 6],[22.03278689 25.96721311] ; [5.96721311 7.03278689],0
s5,1,0.546358,0.363881,[ 5 43] ; [ 2 10],[ 5.6 42.4] ; [ 1.4 10.6],0
a7,1,0.608841,0.261866,[18 29] ; [6 7],[18.8 28.2] ; [5.2 7.8],0
s7,1,0.745825,0.105072,[ 6 40] ; [ 2 10],[ 6.34482759 39.65517241] ; [ 1.65517241 10.34482759],0
s2,1,0.754001,0.0982,[ 9 38] ; [ 3 10],[ 9.4 37.6] ; [ 2.6 10.4],0
a1,1,0.769833,0.085611,[ 5 43] ; [ 1 12],[ 4.72131148 43.27868852] ; [ 1.27868852 11.72131148],0
n2,1,0.794381,0.067926,[14  9] ; [4 2],[14.27586207  8.72413793] ; [3.72413793 2.27586207],0
n1,1,0.794381,0.067926,[ 9 14] ; [2 4],[ 8.72413793 14.27586207] ; [2.27586207 3.72413793],0
n4,1,0.824637,0.0491,[31 16] ; [9 4],[31.33333333 15.66666667] ; [8.66666667 4.33333333],0
p9,1,0.825703,0.048495,[13 34] ; [4 9],[13.31666667 33.68333333] ; [3.68333333 9.31666667],0
d5,1,0.861318,0.030519,[16 32] ; [4 9],[15.73770492 32.26229508] ; [4.26229508 8.73770492],0
p5,1,0.866975,0.028057,[ 3 44] ; [ 1 12],[ 3.13333333 43.86666667] ; [ 0.86666667 12.13333333],0
u3,1,0.896441,0.016941,[10 18] ; [3 6],[ 9.83783784 18.16216216] ; [3.16216216 5.83783784],0
b4,1,0.91011,0.012746,[25 23] ; [7 6],[25.18032787 22.81967213] ; [6.81967213 6.18032787],0
d2,1,0.910519,0.01263,[14 34] ; [4 9],[14.16393443 33.83606557] ; [3.83606557 9.16393443],0
a2,1,0.940422,0.005586,[ 4 44] ; [ 1 12],[ 3.93442623 44.06557377] ; [ 1.06557377 11.93442623],0
v3,1,0.950108,0.003915,[11 35] ; [ 3 10],[10.91525424 35.08474576] ; [3.08474576 9.91525424],0
r2,1,0.980297,0.00061,[36 11] ; [10  3],[36.03333333 10.96666667] ; [9.96666667 3.03333333],0
