Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,45.421875,[19 83] ; [38 13],[38. 64.] ; [19. 32.],1
d3,1,0.0,44.048055,[31 72] ; [45  7],[50.50322581 52.49677419] ; [25.49677419 26.50322581],1
d4,1,0.0,38.500199,[49 54] ; [51  1],[66.4516129 36.5483871] ; [33.5483871 18.4516129],1
d5,1,0.0,37.665782,[47 56] ; [50  2],[64.45806452 38.54193548] ; [32.54193548 19.45806452],1
a4,1,5e-06,20.744359,[18 85] ; [27 24],[30.0974026 72.9025974] ; [14.9025974 36.0974026],1
a2,1,2e-05,18.210666,[  3 100] ; [13 39],[10.63225806 92.36774194] ; [ 5.36774194 46.63225806],1
a5,1,9.1e-05,15.306146,[41 62] ; [38 14],[52.49677419 50.50322581] ; [26.50322581 25.49677419],1
a3,1,0.000108,14.988138,[45 57] ; [40 12],[56.2987013 45.7012987] ; [28.7012987 23.2987013],1
u1,1,0.002777,8.948788,[  1 102] ; [ 6 46],[ 4.6516129 98.3483871] ; [ 2.3483871 49.6516129],0
v2,1,0.003108,8.743233,[23 79] ; [23 27],[30.86842105 71.13157895] ; [15.13157895 34.86842105],0
a7,1,0.046287,3.971116,[52 51] ; [35 17],[57.81290323 45.18709677] ; [29.18709677 22.81290323],0
n3,1,0.062515,3.469366,[24  9] ; [10 11],[20.77777778 12.22222222] ; [13.22222222  7.77777778],0
a6,1,0.078701,3.091535,[50 53] ; [33 19],[55.15483871 47.84516129] ; [27.84516129 24.15483871],0
p8,1,0.082771,3.009635,[36 66] ; [11 40],[31.33333333 70.66666667] ; [15.66666667 35.33333333],0
p5,1,0.125768,2.343983,[ 5 96] ; [ 6 45],[ 7.30921053 93.69078947] ; [ 3.69078947 47.30921053],0
b2,1,0.188132,1.732189,[15 41] ; [14 21],[17.84615385 38.15384615] ; [11.15384615 23.84615385],0
b3,1,0.188132,1.732189,[15 41] ; [14 21],[17.84615385 38.15384615] ; [11.15384615 23.84615385],0
p7,1,0.193276,1.692471,[44 57] ; [17 35],[40.26797386 60.73202614] ; [20.73202614 31.26797386],0
r3,1,0.203877,1.614378,[75 27] ; [43  9],[78.15584416 23.84415584] ; [39.84415584 12.15584416],0
s2,1,0.207087,1.591673,[33 70] ; [22 30],[36.5483871 66.4516129] ; [18.4516129 33.5483871],0
p3,1,0.24043,1.378072,[30 73] ; [20 32],[33.22580645 69.77419355] ; [16.77419355 35.22580645],0
s8,1,0.24911,1.328288,[16 87] ; [12 40],[18.60645161 84.39354839] ; [ 9.39354839 42.60645161],0
u3,1,0.256536,1.287356,[19 39] ; [6 6],[20.71428571 37.28571429] ; [4.28571429 7.71428571],0
r2,1,0.267743,1.228275,[72 30] ; [38 10],[74.8 27.2] ; [35.2 12.8],0
b5,1,0.274471,1.194262,[60 43] ; [35 17],[63.12903226 39.87096774] ; [31.87096774 20.12903226],0
n2,1,0.277125,1.181135,[25  8] ; [13  8],[23.22222222  9.77777778] ; [14.77777778  6.22222222],0
p10,1,0.316423,1.003676,[61 39] ; [36 16],[63.81578947 36.18421053] ; [33.18421053 18.81578947],0
s5,1,0.352673,0.863815,[16 85] ; [11 39],[18.05960265 82.94039735] ; [ 8.94039735 41.05960265],0
v4,1,0.392444,0.731355,[80 21] ; [38 14],[77.89542484 23.10457516] ; [40.10457516 11.89542484],0
n6,1,0.392536,0.731072,[72 31] ; [39 12],[74.24025974 28.75974026] ; [36.75974026 14.24025974],0
a8,1,0.392774,0.730336,[10 88] ; [ 3 47],[ 8.60810811 89.39189189] ; [ 4.39189189 45.60810811],0
s7,1,0.434752,0.610096,[24 77] ; [14 33],[25.93243243 75.06756757] ; [12.06756757 34.93243243],0
p11,1,0.457136,0.552897,[61 42] ; [34 18],[63.12903226 39.87096774] ; [31.87096774 20.12903226],0
b4,1,0.462104,0.540794,[55 48] ; [31 21],[57.1483871 45.8516129] ; [28.8516129 23.1483871],0
p9,1,0.462334,0.540237,[73 26] ; [34 16],[71.09395973 27.90604027] ; [35.90604027 14.09395973],0
n5,1,0.501188,0.45242,[69 34] ; [32 20],[67.11612903 35.88387097] ; [33.88387097 18.11612903],0
n1,1,0.502012,0.45068,[12 20] ; [ 6 15],[10.86792453 21.13207547] ; [ 7.13207547 13.86792453],0
p4,1,0.507746,0.438709,[36 67] ; [21 31],[37.87741935 65.12258065] ; [19.12258065 32.87741935],0
s6,1,0.516461,0.420954,[43 58] ; [25 27],[44.88888889 56.11111111] ; [23.11111111 28.88888889],0
v3,1,0.532595,0.389438,[20 82] ; [12 38],[21.47368421 80.52631579] ; [10.52631579 39.47368421],0
p2,1,0.536096,0.382823,[66 36] ; [31 21],[64.24675325 37.75324675] ; [32.75324675 19.24675325],0
