Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,6.3e-05,16.024693,[  9 122] ; [6 9],[ 13.45890411 117.54109589] ; [ 1.54109589 13.45890411],1
p4,1,0.000202,13.812403,[53 77] ; [13  1],[59.58333333 70.41666667] ; [6.41666667 7.58333333],1
s6,1,0.006891,7.301173,[71 57] ; [13  1],[75.71830986 52.28169014] ; [8.28169014 5.71830986],0
p3,1,0.009826,6.666145,[43 88] ; [10  5],[47.55479452 83.44520548] ; [5.44520548 9.55479452],0
p8,1,0.015919,5.811817,[38 92] ; [9 6],[42.13793103 87.86206897] ; [ 4.86206897 10.13793103],0
s3,1,0.017784,5.617259,[62 68] ; [12  3],[66.34482759 63.65517241] ; [7.65517241 7.34482759],0
s8,1,0.018464,5.55156,[46 84] ; [10  5],[50.20689655 79.79310345] ; [5.79310345 9.20689655],0
p12,1,0.025899,4.96273,[  3 128] ; [ 2 13],[  4.48630137 126.51369863] ; [ 0.51369863 14.48630137],0
a6,1,0.030548,4.678211,[81 49] ; [ 5 10],[77.10344828 52.89655172] ; [8.89655172 6.10344828],0
a3,1,0.074489,3.181228,[89 39] ; [7 8],[85.93006993 42.06993007] ; [10.06993007  4.93006993],0
r4,1,0.079171,3.08183,[95 36] ; [14  1],[97.80136986 33.19863014] ; [11.19863014  3.80136986],0
d3,1,0.101288,2.685148,[75 54] ; [12  3],[77.9375 51.0625] ; [9.0625 5.9375],0
s7,1,0.11982,2.419668,[54 65] ; [10  5],[56.8358209 62.1641791] ; [7.1641791 7.8358209],0
a5,1,0.147565,2.097245,[86 45] ; [7 8],[83.44520548 47.55479452] ; [9.55479452 5.44520548],0
r1,1,0.169843,1.884326,[90 39] ; [13  2],[92.27083333 36.72916667] ; [10.72916667  4.27083333],0
a8,1,0.186998,1.741112,[17 98] ; [ 4 10],[18.72093023 96.27906977] ; [ 2.27906977 11.72093023],0
p2,1,0.200352,1.639804,[83 48] ; [12  3],[85.23972603 45.76027397] ; [9.76027397 5.23972603],0
p6,1,0.203867,1.614455,[39 89] ; [7 8],[41.17482517 86.82517483] ; [ 4.82517483 10.17482517],0
v1,1,0.224209,1.477224,[57 74] ; [9 6],[59.21917808 71.78082192] ; [6.78082192 8.21917808],0
v2,1,0.224985,1.472286,[55 73] ; [ 4 11],[52.81118881 75.18881119] ; [6.18881119 8.81118881],0
s1,1,0.235368,1.408126,[  7 121] ; [ 2 13],[  8.05594406 119.94405594] ; [ 0.94405594 14.05594406],0
u3,1,0.25008,1.322859,[17 25] ; [5 3],[18.48 23.52] ; [3.52 4.48],0
u2,1,0.252703,1.308296,[12 29] ; [4 4],[13.3877551 27.6122449] ; [2.6122449 5.3877551],0
v4,1,0.303215,1.06,[108  22] ; [14  1],[109.37931034  20.62068966] ; [12.62068966  2.37931034],0
a2,1,0.308224,1.038272,[33 98] ; [ 2 13],[31.40410959 99.59589041] ; [ 3.59589041 11.40410959],0
r3,1,0.322037,0.980654,[97 32] ; [13  2],[98.54166667 30.45833333] ; [11.45833333  3.54166667],0
b3,1,0.322133,0.980266,[28 42] ; [3 9],[26.46341463 43.53658537] ; [4.53658537 7.46341463],0
b2,1,0.322133,0.980266,[28 42] ; [3 9],[26.46341463 43.53658537] ; [4.53658537 7.46341463],0
u1,1,0.343784,0.896271,[ 22 109] ; [ 4 11],[ 23.32876712 107.67123288] ; [ 2.67123288 12.32876712],0
n6,1,0.357831,0.845491,[99 31] ; [13  2],[100.4137931  29.5862069] ; [11.5862069  3.4137931],0
a4,1,0.360196,0.837209,[59 70] ; [ 5 10],[57.33333333 71.66666667] ; [6.66666667 8.33333333],0
d2,1,0.413133,0.669767,[63 66] ; [9 6],[64.5 64.5] ; [7.5 7.5],0
n3,1,0.43904,0.59879,[29 21] ; [2 3],[28.18181818 21.81818182] ; [2.81818182 2.18181818],0
d4,1,0.442361,0.59015,[91 38] ; [12  3],[92.27083333 36.72916667] ; [10.72916667  4.27083333],0
p9,1,0.451355,0.567246,[80 46] ; [11  4],[81.31914894 44.68085106] ; [9.68085106 5.31914894],0
b4,1,0.480196,0.498419,[66 65] ; [9 6],[67.29452055 63.70547945] ; [7.70547945 7.29452055],0
s5,1,0.484556,0.488593,[37 90] ; [5 8],[38.1 88.9] ; [3.9 9.1],0
b1,1,0.504309,0.445858,[73 58] ; [7 8],[71.78082192 59.21917808] ; [8.21917808 6.78082192],0
s2,1,0.520878,0.412155,[58 72] ; [8 7],[59.17241379 70.82758621] ; [6.82758621 8.17241379],0
n2,1,0.534236,0.386327,[38 14] ; [3 2],[37.40350877 14.59649123] ; [3.59649123 1.40350877],0
d5,1,0.552674,0.352549,[96 34] ; [10  5],[95.03448276 34.96551724] ; [10.96551724  4.03448276],0
v3,1,0.562797,0.334884,[42 87] ; [6 9],[43. 86.] ; [ 5. 10.],0
p7,1,0.635597,0.224547,[60 68] ; [8 7],[60.86713287 67.13286713] ; [7.13286713 7.86713287],0
s4,1,0.643147,0.21465,[ 20 110] ; [ 3 12],[ 20.62068966 109.37931034] ; [ 2.37931034 12.62068966],0
d1,1,0.659226,0.194466,[62 69] ; [8 7],[62.80821918 68.19178082] ; [7.19178082 7.80821918],0
r2,1,0.72994,0.119167,[116  12] ; [14  1],[116.36363636  11.63636364] ; [13.63636364  1.36363636],0
a1,1,0.748049,0.103178,[ 12 119] ; [ 1 14],[ 11.66438356 119.33561644] ; [ 1.33561644 13.66438356],0
b5,1,0.798538,0.065147,[83 48] ; [9 6],[82.54794521 48.45205479] ; [9.45205479 5.54794521],0
p10,1,0.860841,0.030731,[70 58] ; [8 6],[70.30985915 57.69014085] ; [7.69014085 6.30985915],0
a7,1,0.984228,0.000391,[87 44] ; [10  5],[87.03424658 43.96575342] ; [9.96575342 5.03424658],0
