Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4e-06,21.164895,[18 19] ; [10 79],[ 8.22222222 28.77777778] ; [19.77777778 69.22222222],1
s6,1,0.004769,7.965044,[25 11] ; [37 52],[17.856 18.144] ; [44.144 44.856],0
s2,1,0.010695,6.515385,[20 16] ; [28 62],[13.71428571 22.28571429] ; [34.28571429 55.71428571],0
a3,1,0.037445,4.330072,[16 21] ; [57 33],[21.26771654 15.73228346] ; [51.73228346 38.26771654],0
p6,1,0.072159,3.233222,[ 7 30] ; [ 7 82],[ 4.11111111 32.88888889] ; [ 9.88888889 79.11111111],0
u3,1,0.108338,2.578304,[16  5] ; [18 15],[13.22222222  7.77777778] ; [20.77777778 12.22222222],0
r1,1,0.122001,2.391436,[29  7] ; [60 30],[25.42857143 10.57142857] ; [63.57142857 26.42857143],0
n1,1,0.14311,2.144194,[ 3 13] ; [12 18],[ 5.2173913 10.7826087] ; [ 9.7826087 20.2173913],0
b2,1,0.154964,2.022694,[ 5 15] ; [20 26],[ 7.57575758 12.42424242] ; [17.42424242 28.57575758],0
b3,1,0.154964,2.022694,[ 5 15] ; [20 26],[ 7.57575758 12.42424242] ; [17.42424242 28.57575758],0
v4,1,0.158554,1.987962,[34  3] ; [73 16],[31.42063492  5.57936508] ; [75.57936508 13.42063492],0
s5,1,0.168609,1.895265,[11 22] ; [18 67],[ 8.11016949 24.88983051] ; [20.88983051 64.11016949],0
d5,1,0.171299,1.871537,[32  5] ; [68 22],[29.13385827  7.86614173] ; [70.86614173 19.13385827],0
s8,1,0.177145,1.821416,[12 25] ; [19 71],[ 9.03149606 27.96850394] ; [21.96850394 68.03149606],0
n6,1,0.211779,1.559224,[23 14] ; [45 45],[19.81102362 17.18897638] ; [48.18897638 41.81102362],0
a7,1,0.232233,1.427134,[29  8] ; [61 29],[26.22047244 10.77952756] ; [63.77952756 26.22047244],0
a5,1,0.233383,1.420126,[24 13] ; [48 42],[20.97637795 16.02362205] ; [51.02362205 38.97637795],0
a4,1,0.276061,1.18638,[11 26] ; [36 54],[13.69291339 23.30708661] ; [33.30708661 56.69291339],0
d1,1,0.301428,1.067868,[21 16] ; [42 48],[18.35433071 18.64566929] ; [44.64566929 45.35433071],0
r3,1,0.317875,0.997672,[35  2] ; [80 10],[33.50393701  3.49606299] ; [81.49606299  8.50393701],0
p5,1,0.357102,0.848058,[ 2 35] ; [ 2 87],[ 1.17460317 35.82539683] ; [ 2.82539683 86.17460317],0
v2,1,0.392771,0.730348,[20 16] ; [40 45],[17.85123967 18.14876033] ; [42.14876033 42.85123967],0
s7,1,0.422008,0.644715,[ 8 27] ; [25 58],[ 9.78813559 25.21186441] ; [23.21186441 59.78813559],0
b5,1,0.462414,0.540046,[20 17] ; [55 35],[21.8503937 15.1496063] ; [53.1496063 36.8503937],0
p2,1,0.493788,0.468261,[23 14] ; [50 40],[21.26771654 15.73228346] ; [51.73228346 38.26771654],0
s4,1,0.528451,0.397369,[ 6 31] ; [19 71],[ 7.28346457 29.71653543] ; [17.71653543 72.28346457],0
r4,1,0.551811,0.354083,[29  8] ; [66 24],[27.67716535  9.32283465] ; [67.32283465 22.67716535],0
d3,1,0.569031,0.324307,[25 12] ; [56 34],[23.5984252 13.4015748] ; [57.4015748 32.5984252],0
p10,1,0.574179,0.315741,[20 16] ; [44 44],[18.58064516 17.41935484] ; [45.41935484 42.58064516],0
u1,1,0.580829,0.304896,[ 4 33] ; [ 7 83],[ 3.20472441 33.79527559] ; [ 7.79527559 82.20472441],0
n4,1,0.608833,0.261878,[13 24] ; [36 54],[14.27559055 22.72440945] ; [34.72440945 55.27559055],0
b4,1,0.608833,0.261878,[24 13] ; [54 36],[22.72440945 14.27559055] ; [55.27559055 34.72440945],0
b1,1,0.650333,0.205481,[12 25] ; [33 57],[13.11023622 23.88976378] ; [31.88976378 58.11023622],0
p11,1,0.665607,0.186783,[19 18] ; [50 40],[20.1023622 16.8976378] ; [48.8976378 41.1023622],0
n2,1,0.669501,0.182186,[8 7] ; [18 12],[8.66666667 6.33333333] ; [17.33333333 12.66666667],0
u2,1,0.696532,0.152105,[12  9] ; [20 12],[12.67924528  8.32075472] ; [19.32075472 12.67924528],0
a2,1,0.703079,0.145288,[ 5 32] ; [10 80],[ 4.37007874 32.62992126] ; [10.62992126 79.37007874],0
r2,1,0.735626,0.114009,[32  5] ; [78 10],[32.56  4.44] ; [77.44 10.56],0
p1,1,0.78619,0.073583,[ 3 34] ; [ 6 83],[ 2.64285714 34.35714286] ; [ 6.35714286 82.64285714],0
v1,1,0.806268,0.060144,[15 20] ; [36 53],[14.39516129 20.60483871] ; [36.60483871 52.39516129],0
s1,1,0.816591,0.053793,[ 2 35] ; [ 4 86],[ 1.7480315 35.2519685] ; [ 4.2519685 85.7480315],0
v3,1,0.817693,0.053136,[10 25] ; [22 61],[ 9.49152542 25.50847458] ; [22.50847458 60.49152542],0
a6,1,0.824778,0.049019,[21 16] ; [53 37],[21.55905512 15.44094488] ; [52.44094488 37.55905512],0
d4,1,0.832662,0.044643,[31  6] ; [74 16],[30.59055118  6.40944882] ; [74.40944882 15.59055118],0
a1,1,0.871302,0.026246,[ 1 36] ; [ 2 88],[ 0.87401575 36.12598425] ; [ 2.12598425 87.87401575],0
p12,1,0.885987,0.020559,[ 1 36] ; [ 2 86],[ 0.888 36.112] ; [ 2.112 85.888],0
d2,1,0.90115,0.015428,[14 23] ; [33 57],[13.69291339 23.30708661] ; [33.30708661 56.69291339],0
n3,1,0.906842,0.013694,[10  6] ; [17 11],[9.81818182 6.18181818] ; [17.18181818 10.81818182],0
s3,1,0.914619,0.011495,[15 22] ; [37 52],[15.26984127 21.73015873] ; [36.73015873 52.26984127],0
p9,1,0.957337,0.002862,[22 14] ; [53 33],[22.13114754 13.86885246] ; [52.86885246 33.13114754],0
a8,1,0.959886,0.00253,[ 2 33] ; [ 5 79],[ 2.05882353 32.94117647] ; [ 4.94117647 79.05882353],0
p8,1,0.981075,0.000563,[ 7 30] ; [17 72],[ 7.04761905 29.95238095] ; [16.95238095 72.04761905],0
