Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.553571,[26 22] ; [104  13],[37.81818182 10.18181818] ; [92.18181818 24.81818182],1
r4,1,2.1e-05,18.099152,[11 37] ; [70 48],[23.42168675 24.57831325] ; [57.57831325 60.42168675],1
p11,1,0.000384,12.609937,[22 26] ; [88 30],[31.80722892 16.19277108] ; [78.19277108 39.80722892],1
v4,1,0.000467,12.242306,[28 19] ; [100  18],[36.46060606 10.53939394] ; [91.53939394 26.46060606],1
b1,1,0.000646,11.639259,[31 17] ; [42 76],[21.10843373 26.89156627] ; [51.89156627 66.10843373],1
n4,1,0.000887,11.050139,[21 27] ; [84 34],[30.36144578 17.63855422] ; [74.63855422 43.36144578],1
a1,1,0.000911,11.001209,[ 8 40] ; [  3 115],[ 3.18072289 44.81927711] ; [  7.81927711 110.18072289],1
p2,1,0.002368,9.239959,[22 24] ; [86 32],[30.29268293 15.70731707] ; [77.70731707 40.29268293],0
p10,1,0.004064,8.255192,[21 25] ; [81 35],[28.96296296 17.03703704] ; [73.03703704 42.96296296],0
p3,1,0.004726,7.981534,[ 8 38] ; [48 70],[15.70731707 30.29268293] ; [40.29268293 77.70731707],0
p9,1,0.008021,7.028736,[27 20] ; [89 25],[33.86335404 13.13664596] ; [82.13664596 31.86335404],0
v3,1,0.030908,4.658087,[ 7 40] ; [37 81],[12.53333333 34.46666667] ; [31.46666667 86.53333333],0
s6,1,0.038182,4.296875,[13 35] ; [52 65],[18.90909091 29.09090909] ; [46.09090909 70.90909091],0
s1,1,0.039599,4.234993,[ 3 45] ; [  1 117],[ 1.15662651 46.84337349] ; [  2.84337349 115.15662651],0
p8,1,0.060748,3.516833,[12 34] ; [49 68],[17.21472393 28.78527607] ; [43.78527607 73.21472393],0
d5,1,0.062069,3.481223,[25 23] ; [79 38],[30.25454545 17.74545455] ; [73.74545455 43.25454545],0
b4,1,0.070127,3.280052,[19 29] ; [65 53],[24.28915663 23.71084337] ; [59.71084337 58.28915663],0
n5,1,0.092586,2.828828,[28 20] ; [84 33],[32.58181818 15.41818182] ; [79.41818182 37.58181818],0
r2,1,0.11202,2.52549,[30 16] ; [89 26],[34. 12.] ; [85. 30.],0
d4,1,0.113954,2.498517,[25 23] ; [77 41],[29.4939759 18.5060241] ; [72.5060241 45.4939759],0
s7,1,0.115788,2.473388,[ 8 38] ; [33 79],[11.93670886 34.06329114] ; [29.06329114 82.93670886],0
p1,1,0.153302,2.039088,[ 6 42] ; [  7 111],[ 3.75903614 44.24096386] ; [  9.24096386 108.75903614],0
b5,1,0.158796,1.985658,[27 21] ; [80 38],[30.93975904 17.06024096] ; [76.06024096 41.93975904],0
v2,1,0.163352,1.942923,[12 34] ; [44 73],[15.80368098 30.19631902] ; [40.19631902 76.80368098],0
p4,1,0.186723,1.743286,[16 31] ; [53 64],[19.77439024 27.22560976] ; [49.22560976 67.77439024],0
d3,1,0.208339,1.582934,[19 28] ; [60 57],[22.6402439 24.3597561] ; [56.3597561 60.6402439],0
d1,1,0.209347,1.575938,[13 35] ; [44 74],[16.48192771 31.51807229] ; [40.51807229 77.48192771],0
a7,1,0.231358,1.432495,[23 25] ; [68 49],[26.47272727 21.52727273] ; [64.52727273 52.47272727],0
a2,1,0.239223,1.385166,[ 7 41] ; [ 10 108],[ 4.91566265 43.08433735] ; [ 12.08433735 105.91566265],0
s8,1,0.266942,1.232394,[ 8 40] ; [29 89],[10.69879518 37.30120482] ; [26.30120482 91.69879518],0
n1,1,0.274348,1.194879,[ 9 10] ; [12 25],[ 7.125 11.875] ; [13.875 23.125],0
p6,1,0.315626,1.006988,[ 8 37] ; [29 86],[10.40625 34.59375] ; [26.59375 88.40625],0
