Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6e-05,16.116682,[ 6 35] ; [40 36],[16.11965812 24.88034188] ; [29.88034188 46.11965812],1
p9,1,0.000609,11.746944,[22 19] ; [64 13],[29.88135593 11.11864407] ; [56.11864407 20.88135593],1
s8,1,0.000717,11.444196,[ 7 34] ; [38 40],[15.50420168 25.49579832] ; [29.49579832 48.50420168],1
s7,1,0.000914,10.994034,[ 8 29] ; [41 34],[16.1875 20.8125] ; [32.8125 42.1875],1
s3,1,0.002791,8.939245,[13 28] ; [45 29],[20.67826087 20.32173913] ; [37.32173913 36.67826087],0
s5,1,0.0034,8.579277,[ 4 37] ; [26 49],[10.60344828 30.39655172] ; [19.39655172 55.60344828],0
p10,1,0.007048,7.260678,[24 17] ; [62 14],[30.13675214 10.86324786] ; [55.86324786 20.13675214],0
s4,1,0.029872,4.716635,[ 3 38] ; [18 59],[ 7.29661017 33.70338983] ; [13.70338983 63.29661017],0
a4,1,0.04645,3.965213,[15 26] ; [15 61],[10.51282051 30.48717949] ; [19.48717949 56.51282051],0
d5,1,0.073264,3.208338,[15 26] ; [42 36],[19.63865546 21.36134454] ; [37.36134454 40.63865546],0
n6,1,0.108795,2.571643,[29 12] ; [65 13],[32.38655462  8.61344538] ; [61.61344538 16.38655462],0
p5,1,0.120148,2.415392,[ 2 39] ; [11 66],[ 4.51694915 36.48305085] ; [ 8.48305085 68.51694915],0
a5,1,0.163332,1.943105,[29 12] ; [45 33],[25.49579832 15.50420168] ; [48.50420168 29.49579832],0
a2,1,0.232047,1.428267,[ 6 35] ; [ 6 72],[ 4.13445378 36.86554622] ; [ 7.86554622 70.13445378],0
a1,1,0.234374,1.414116,[ 2 39] ; [ 1 77],[ 1.03361345 39.96638655] ; [ 1.96638655 76.03361345],0
b3,1,0.253069,1.306281,[ 9 18] ; [10 37],[ 6.93243243 20.06756757] ; [12.06756757 34.93243243],0
b2,1,0.253069,1.306281,[ 9 18] ; [10 37],[ 6.93243243 20.06756757] ; [12.06756757 34.93243243],0
r3,1,0.279734,1.168384,[36  5] ; [73  5],[37.55462185  3.44537815] ; [71.44537815  6.55462185],0
p4,1,0.295679,1.093583,[19 22] ; [44 34],[21.70588235 19.29411765] ; [41.29411765 36.70588235],0
u3,1,0.33025,0.947917,[7 9] ; [21 15],[8.61538462 7.38461538] ; [19.38461538 16.61538462],0
p1,1,0.33296,0.937351,[ 8 33] ; [10 68],[ 6.20168067 34.79831933] ; [11.79831933 66.20168067],0
r4,1,0.338036,0.917865,[37  4] ; [74  4],[38.24369748  2.75630252] ; [72.75630252  5.24369748],0
b4,1,0.361865,0.831409,[19 22] ; [43 35],[21.36134454 19.63865546] ; [40.63865546 37.36134454],0
n1,1,0.364346,0.822857,[8 7] ; [ 8 13],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
a8,1,0.365024,0.820533,[ 3 34] ; [10 61],[ 4.4537037 32.5462963] ; [ 8.5462963 62.4537037],0
n5,1,0.387673,0.746227,[29 12] ; [60 17],[30.92372881 10.07627119] ; [58.07627119 18.92372881],0
v4,1,0.392423,0.731422,[37  3] ; [75  3],[37.96610169  2.03389831] ; [74.03389831  3.96610169],0
a6,1,0.394111,0.726219,[23 18] ; [50 28],[25.1512605 15.8487395] ; [47.8487395 30.1512605],0
a3,1,0.409364,0.680648,[25 15] ; [42 35],[22.90598291 17.09401709] ; [44.09401709 32.90598291],0
d1,1,0.410893,0.676215,[ 3 38] ; [ 3 75],[ 2.06722689 38.93277311] ; [ 3.93277311 74.06722689],0
p11,1,0.453848,0.561024,[33  8] ; [58 20],[31.35294118  9.64705882] ; [59.64705882 18.35294118],0
