Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,44.87819,[172   9] ; [3 6],[166.71052632  14.28947368] ; [8.28947368 0.71052632],1
v4,1,0.0,35.387033,[174   8] ; [4 5],[169.61256545  12.38743455] ; [8.38743455 0.61256545],1
r1,1,8.6e-05,15.416505,[144  38] ; [2 7],[139.12041885  42.87958115] ; [6.87958115 2.12041885],1
n6,1,0.000399,12.534777,[150  33] ; [3 6],[145.828125  37.171875] ; [7.171875 1.828125],1
p10,1,0.00145,10.140795,[144  38] ; [3 6],[140.07329843  41.92670157] ; [6.92670157 2.07329843],0
a7,1,0.003766,8.393443,[126  57] ; [2 7],[122.  61.] ; [6. 3.],0
v2,1,0.004599,8.030904,[104  72] ; [1 8],[99.89189189 76.10810811] ; [5.10810811 3.89189189],0
d5,1,0.01275,6.203482,[145  37] ; [4 5],[141.97905759  40.02094241] ; [7.02094241 1.97905759],0
d3,1,0.039281,4.248662,[121  60] ; [3 6],[118.12631579  62.87368421] ; [5.87368421 3.12631579],0
s6,1,0.055549,3.665519,[118  64] ; [3 6],[115.29842932  66.70157068] ; [5.70157068 3.29842932],0
p9,1,0.055779,3.658631,[150  34] ; [5 4],[147.77202073  36.22797927] ; [7.22797927 1.77202073],0
s2,1,0.057049,3.621158,[100  83] ; [2 7],[97.21875 85.78125] ; [4.78125 4.21875],0
s8,1,0.060723,3.517522,[ 78 105] ; [1 8],[ 75.296875 107.703125] ; [3.703125 5.296875],0
d4,1,0.085439,2.958275,[145  37] ; [5 4],[142.93193717  39.06806283] ; [7.06806283 1.93193717],0
d2,1,0.10698,2.59828,[91 92] ; [2 7],[88.640625 94.359375] ; [4.359375 4.640625],0
a6,1,0.107103,2.596456,[128  55] ; [4 5],[125.8125  57.1875] ; [6.1875 2.8125],0
p11,1,0.113497,2.504839,[128  56] ; [4 5],[125.84455959  58.15544041] ; [6.15544041 2.84455959],0
a5,1,0.123137,2.376965,[127  57] ; [4 5],[124.89119171  59.10880829] ; [6.10880829 2.89119171],0
v3,1,0.134147,2.243847,[ 63 115] ; [1 8],[ 60.9197861 117.0802139] ; [3.0802139 5.9197861],0
b1,1,0.141986,2.156303,[ 77 107] ; [6 3],[ 79.12953368 104.87046632] ; [3.87046632 5.12953368],0
s5,1,0.205177,1.605133,[ 56 125] ; [1 8],[ 54.3 126.7] ; [2.7 6.3],0
s7,1,0.247742,1.335994,[91 88] ; [2 5],[89.5 89.5] ; [3.5 3.5],0
n4,1,0.251817,1.313192,[133  49] ; [5 4],[131.4973822  50.5026178] ; [6.5026178 2.4973822],0
b3,1,0.276529,1.184069,[48 76] ; [1 5],[46.73846154 77.26153846] ; [2.26153846 3.73846154],0
b2,1,0.276529,1.184069,[48 76] ; [1 5],[46.73846154 77.26153846] ; [2.26153846 3.73846154],0
s3,1,0.311885,1.022678,[111  70] ; [4 5],[109.55263158  71.44736842] ; [5.44736842 3.55263158],0
v1,1,0.313195,1.017153,[90 88] ; [3 6],[88.52406417 89.47593583] ; [4.47593583 4.52406417],0
n5,1,0.367282,0.812841,[127  55] ; [5 4],[125.78010471  56.21989529] ; [6.21989529 2.78010471],0
p6,1,0.390463,0.737498,[ 66 116] ; [2 7],[ 64.79581152 117.20418848] ; [3.20418848 5.79581152],0
a4,1,0.422341,0.643792,[86 97] ; [3 6],[84.828125 98.171875] ; [4.171875 4.828125],0
b4,1,0.468321,0.525935,[100  84] ; [6 3],[101.05699482  82.94300518] ; [4.94300518 4.05699482],0
n3,1,0.496676,0.462032,[42  9] ; [2 1],[41.55555556  9.44444444] ; [2.44444444 0.55555556],0
s4,1,0.611834,0.257513,[ 29 154] ; [2 7],[ 29.546875 153.453125] ; [1.453125 7.546875],0
p2,1,0.620655,0.244949,[151  32] ; [8 1],[151.546875  31.453125] ; [7.453125 1.546875],0
a3,1,0.637583,0.221917,[135  48] ; [6 3],[134.390625  48.609375] ; [6.609375 2.390625],0
b5,1,0.650163,0.205694,[116  68] ; [5 4],[115.35751295  68.64248705] ; [5.64248705 3.35751295],0
p4,1,0.65046,0.205321,[96 88] ; [4 5],[95.33678756 88.66321244] ; [4.66321244 4.33678756],0
a8,1,0.711141,0.13714,[ 29 136] ; [1 7],[ 28.61271676 136.38728324] ; [1.38728324 6.61271676],0
n2,1,0.779611,0.078303,[37 13] ; [2 1],[36.79245283 13.20754717] ; [2.20754717 0.79245283],0
u2,1,0.841739,0.039868,[28 18] ; [2 1],[28.16326531 17.83673469] ; [1.83673469 1.16326531],0
n1,1,0.921037,0.009826,[15 34] ; [1 2],[15.07692308 33.92307692] ; [0.92307692 2.07692308],0
p3,1,0.994321,5.1e-05,[ 82 102] ; [4 5],[ 81.98963731 102.01036269] ; [4.01036269 4.98963731],0
