Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,200.220361,[ 15 164] ; [313 128],[94.69677419 84.30322581] ; [233.30322581 207.69677419],1
d5,1,0.0,138.733486,[116  64] ; [433   9],[158.87459807  21.12540193] ; [390.12540193  51.87459807],1
d3,1,0.0,99.55791,[94 86] ; [392  50],[140.64308682  39.35691318] ; [345.35691318  96.64308682],1
a2,1,0.0,50.633715,[ 12 168] ; [152 290],[ 47.45980707 132.54019293] ; [116.54019293 325.45980707],1
a4,1,0.0,40.834642,[ 52 128] ; [252 189],[88.11594203 91.88405797] ; [215.88405797 225.11594203],1
u1,1,0.0,37.61415,[  9 171] ; [119 323],[ 37.04180064 142.95819936] ; [ 90.95819936 351.04180064],1
a5,1,0.0,33.370769,[114  66] ; [373  69],[140.93247588  39.06752412] ; [346.06752412  95.93247588],1
a3,1,1.2e-05,19.090394,[117  63] ; [358  82],[137.90322581  42.09677419] ; [337.09677419 102.90322581],1
r2,1,1.8e-05,18.346881,[158  20] ; [423  12],[168.70799347   9.29200653] ; [412.29200653  22.70799347],1
a6,1,0.000462,12.262825,[107  73] ; [325 116],[125.2173913  54.7826087] ; [306.7826087 134.2173913],1
s8,1,0.000791,11.261089,[ 68 112] ; [231 208],[86.94668821 93.05331179] ; [212.05331179 226.94668821],1
p4,1,0.000948,10.927194,[96 83] ; [298 142],[113.93537964  65.06462036] ; [280.06462036 159.93537964],1
n4,1,0.00107,10.702817,[128  52] ; [366  76],[142.95819936  37.04180064] ; [351.04180064  90.95819936],0
r1,1,0.001523,10.051184,[135  45] ; [376  63],[148.59450727  31.40549273] ; [362.40549273  76.59450727],0
a7,1,0.002649,9.03452,[119  60] ; [345  97],[133.74557166  45.25442834] ; [330.25442834 111.74557166],0
p3,1,0.002669,9.021288,[ 79 101] ; [252 189],[95.94202899 84.05797101] ; [235.05797101 205.94202899],0
v3,1,0.00341,8.574198,[ 58 119] ; [192 228],[ 74.12060302 102.87939698] ; [175.87939698 244.12060302],0
r4,1,0.011819,6.337827,[156  24] ; [411  31],[164.08360129  15.91639871] ; [402.91639871  39.08360129],0
v2,1,0.016267,5.773736,[90 82] ; [267 157],[103.02684564  68.97315436] ; [253.97315436 170.02684564],0
s3,1,0.037575,4.324161,[93 86] ; [265 169],[104.53833605  74.46166395] ; [253.46166395 180.53833605],0
p6,1,0.04111,4.171492,[ 58 119] ; [182 255],[ 69.18566775 107.81433225] ; [170.81433225 266.18566775],0
s5,1,0.058297,3.585183,[ 57 118] ; [172 249],[ 67.23993289 107.76006711] ; [161.76006711 259.23993289],0
s2,1,0.060616,3.520459,[89 90] ; [254 184],[99.5089141 79.4910859] ; [243.4910859 194.5089141],0
v4,1,0.061028,3.509221,[167  11] ; [426  13],[171.07617504   6.92382496] ; [421.92382496  17.07617504],0
s7,1,0.080539,3.054,[80 93] ; [230 195],[89.68227425 83.31772575] ; [220.31772575 204.68227425],0
p12,1,0.083559,2.994276,[ 11 167] ; [ 47 394],[ 16.67851373 161.32148627] ; [ 41.32148627 399.67851373],0
u4,1,0.087232,2.924727,[  1 179] ; [ 12 429],[  3.76811594 176.23188406] ; [  9.23188406 431.76811594],0
n5,1,0.121881,2.392981,[131  47] ; [349  91],[138.25242718  39.74757282] ; [341.74757282  98.25242718],0
v1,1,0.129219,2.301864,[91 84] ; [252 177],[99.37913907 75.62086093] ; [243.62086093 185.37913907],0
p1,1,0.146879,2.104364,[ 10 169] ; [ 40 400],[ 14.45880452 164.54119548] ; [ 35.54119548 404.45880452],0
n6,1,0.180857,1.790564,[149  28] ; [388  52],[154.05024311  22.94975689] ; [382.94975689  57.05024311],0
p7,1,0.192033,1.701952,[112  63] ; [298 131],[118.79139073  56.20860927] ; [291.20860927 137.79139073],0
s6,1,0.211192,1.563234,[117  59] ; [310 123],[123.40229885  52.59770115] ; [303.59770115 129.40229885],0
p8,1,0.251207,1.316578,[94 85] ; [251 185],[100.41463415  78.58536585] ; [244.58536585 191.41463415],0
s4,1,0.254122,1.300498,[ 26 153] ; [ 80 356],[ 30.85203252 148.14796748] ; [ 75.14796748 360.85203252],0
u2,1,0.422427,0.643552,[41 20] ; [51 33],[38.70344828 22.29655172] ; [53.29655172 30.70344828],0
r3,1,0.428528,0.626809,[170   9] ; [423  16],[171.75889968   7.24110032] ; [421.24110032  17.75889968],0
a1,1,0.472734,0.515579,[ 12 168] ; [ 23 419],[ 10.12861736 169.87138264] ; [ 24.87138264 417.12861736],0
p9,1,0.47679,0.506197,[168  12] ; [418  23],[169.85507246  10.14492754] ; [416.14492754  24.85507246],0
b5,1,0.476836,0.506091,[104  76] ; [269 173],[107.94212219  72.05787781] ; [265.05787781 176.94212219],0
b1,1,0.543393,0.369286,[ 69 111] ; [158 284],[ 65.69131833 114.30868167] ; [161.30868167 280.69131833],0
a8,1,0.54365,0.368817,[ 27 146] ; [ 54 341],[ 24.67077465 148.32922535] ; [ 56.32922535 338.67077465],0
s1,1,0.558164,0.342894,[  6 172] ; [ 11 426],[  4.9203252 173.0796748] ; [ 12.0796748 424.9203252],0
n2,1,0.561475,0.337157,[31  9] ; [61 23],[29.67741935 10.32258065] ; [62.32258065 21.67741935],0
n3,1,0.58448,0.299047,[27 13] ; [60 23],[28.29268293 11.70731707] ; [58.70731707 24.29268293],0
n1,1,0.631785,0.229648,[13 27] ; [31 53],[14.19354839 25.80645161] ; [29.80645161 54.19354839],0
p5,1,0.632998,0.228017,[ 22 157] ; [ 60 377],[ 23.82792208 155.17207792] ; [ 58.17207792 378.82792208],0
b4,1,0.686968,0.162387,[106  74] ; [268 174],[108.23151125  71.76848875] ; [265.76848875 176.23151125],0
p11,1,0.744117,0.106541,[150  30] ; [373  69],[151.35048232  28.64951768] ; [371.64951768  70.35048232],0
u3,1,0.878792,0.023256,[37 24] ; [52 32],[37.44137931 23.55862069] ; [51.55862069 32.44137931],0
p2,1,0.887399,0.020049,[155  24] ; [382  57],[155.53883495  23.46116505] ; [381.46116505  57.53883495],0
b2,1,0.993798,6e-05,[39 56] ; [114 164],[38.96782842 56.03217158] ; [114.03217158 163.96782842],0
b3,1,0.993798,6e-05,[39 56] ; [114 164],[38.96782842 56.03217158] ; [114.03217158 163.96782842],0
