Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.048217,3.902392,[7 1] ; [13 14],[4.57142857 3.42857143] ; [15.42857143 11.57142857],0
u3,1,0.058338,3.584003,[2 6] ; [17 10],[4.34285714 3.65714286] ; [14.65714286 12.34285714],0
v2,1,0.064576,3.415765,[12 12] ; [15 38],[ 8.41558442 15.58441558] ; [18.58441558 34.41558442],0
n3,1,0.066435,3.368984,[7 1] ; [10 10],[4.85714286 3.14285714] ; [12.14285714  7.85714286],0
s4,1,0.070085,3.281024,[ 2 22] ; [14 39],[ 4.98701299 19.01298701] ; [11.01298701 41.98701299],0
p11,1,0.074682,3.176989,[17  7] ; [26 27],[13.4025974 10.5974026] ; [29.5974026 23.4025974],0
a6,1,0.087713,2.915845,[15  9] ; [22 31],[11.53246753 12.46753247] ; [25.46753247 27.53246753],0
s3,1,0.143401,2.141084,[11 10] ; [18 35],[ 8.22972973 12.77027027] ; [20.77027027 32.22972973],0
b4,1,0.150592,2.066247,[16  8] ; [26 27],[13.09090909 10.90909091] ; [28.90909091 24.09090909],0
n6,1,0.163045,1.945755,[18  6] ; [31 22],[15.27272727  8.72727273] ; [33.72727273 19.27272727],0
a3,1,0.174366,1.845005,[16  8] ; [26 26],[13.26315789 10.73684211] ; [28.73684211 23.26315789],0
p12,1,0.175716,1.833489,[ 2 22] ; [ 1 52],[ 0.93506494 23.06493506] ; [ 2.06493506 50.93506494],0
d4,1,0.210073,1.570926,[20  4] ; [37 16],[17.76623377  6.23376623] ; [39.23376623 13.76623377],0
b5,1,0.212944,1.5513,[18  6] ; [32 21],[15.58441558  8.41558442] ; [34.41558442 18.58441558],0
p8,1,0.234249,1.414872,[ 6 17] ; [21 31],[ 8.28 14.72] ; [18.72 33.28],0
s5,1,0.262416,1.255965,[ 4 17] ; [17 36],[ 5.95945946 15.04054054] ; [15.04054054 37.95945946],0
a2,1,0.299694,1.075555,[ 3 21] ; [ 3 50],[ 1.87012987 22.12987013] ; [ 4.12987013 48.87012987],0
p1,1,0.301589,1.067155,[ 1 23] ; [ 6 46],[ 2.21052632 21.78947368] ; [ 4.78947368 47.21052632],0
a5,1,0.3118,1.023035,[12 12] ; [20 33],[ 9.97402597 14.02597403] ; [22.02597403 30.97402597],0
