Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3.6e-05,17.065945,[17 29] ; [44 13],[27.24271845 18.75728155] ; [33.75728155 23.24271845],1
p2,1,6.3e-05,16.013633,[17 29] ; [42 13],[26.87128713 19.12871287] ; [32.12871287 22.87128713],1
p10,1,0.000181,14.013551,[13 32] ; [36 18],[22.27272727 22.72727273] ; [26.72727273 27.27272727],1
p8,1,0.00038,12.625653,[ 6 39] ; [26 30],[14.25742574 30.74257426] ; [17.74257426 38.25742574],1
p9,1,0.000654,11.616142,[18 25] ; [43 14],[26.23 16.77] ; [34.77 22.23],1
s7,1,0.001102,10.648578,[ 5 37] ; [24 33],[12.3030303 29.6969697] ; [16.6969697 40.3030303],0
n6,1,0.003232,8.671448,[19 27] ; [40 17],[26.34951456 19.65048544] ; [32.65048544 24.34951456],0
s8,1,0.003404,8.577197,[ 3 43] ; [17 41],[ 8.84615385 37.15384615] ; [11.15384615 46.84615385],0
b3,1,0.003788,8.382536,[14 12] ; [ 7 30],[ 8.66666667 17.33333333] ; [12.33333333 24.66666667],0
b2,1,0.003788,8.382536,[14 12] ; [ 7 30],[ 8.66666667 17.33333333] ; [12.33333333 24.66666667],0
n3,1,0.004129,8.226295,[ 7 13] ; [18  5],[11.62790698  8.37209302] ; [13.37209302  9.62790698],0
s6,1,0.005251,7.79088,[10 36] ; [28 30],[16.80769231 29.19230769] ; [21.19230769 36.80769231],0
p4,1,0.008734,6.876428,[11 35] ; [28 29],[17.41747573 28.58252427] ; [21.58252427 35.41747573],0
v2,1,0.014103,6.025164,[10 35] ; [26 31],[15.88235294 29.11764706] ; [20.11764706 36.88235294],0
p7,1,0.020984,5.328132,[13 33] ; [28 27],[18.67326733 27.32673267] ; [22.32673267 32.67326733],0
n2,1,0.024551,5.055304,[ 8 12] ; [17  6],[11.62790698  8.37209302] ; [13.37209302  9.62790698],0
u2,1,0.029072,4.763318,[ 5 17] ; [13 11],[ 8.60869565 13.39130435] ; [ 9.39130435 14.60869565],0
p6,1,0.032039,4.596429,[ 5 39] ; [16 39],[ 9.33333333 34.66666667] ; [11.66666667 43.33333333],0
s2,1,0.033952,4.497106,[10 36] ; [24 34],[15.03846154 30.96153846] ; [18.96153846 39.03846154],0
b1,1,0.057483,3.608556,[30 16] ; [27 31],[25.21153846 20.78846154] ; [31.78846154 26.21153846],0
a1,1,0.08438,2.978443,[ 7 39] ; [ 3 55],[ 4.42307692 41.57692308] ; [ 5.57692308 52.42307692],0
s4,1,0.105805,2.615787,[ 6 40] ; [15 43],[ 9.28846154 36.71153846] ; [11.71153846 46.28846154],0
u3,1,0.115808,2.473118,[ 5 18] ; [10 13],[ 7.5 15.5] ; [ 7.5 15.5],0
s3,1,0.168057,1.90019,[13 32] ; [24 33],[16.32352941 28.67647059] ; [20.67647059 36.32352941],0
b4,1,0.236172,1.403298,[20 26] ; [32 26],[23. 23.] ; [29. 29.],0
v4,1,0.238707,1.388214,[26 20] ; [38 18],[28.8627451 17.1372549] ; [35.1372549 20.8627451],0
p3,1,0.245885,1.346536,[11 34] ; [20 37],[13.67647059 31.32352941] ; [17.32352941 39.67647059],0
d4,1,0.262073,1.257771,[26 20] ; [39 19],[28.75 17.25] ; [36.25 21.75],0
a4,1,0.303391,1.059228,[15 30] ; [14 44],[12.66990291 32.33009709] ; [16.33009709 41.66990291],0
n5,1,0.306426,1.046018,[27 19] ; [39 18],[29.47572816 16.52427184] ; [36.52427184 20.47572816],0
d5,1,0.329561,0.950621,[25 21] ; [37 21],[27.42307692 18.57692308] ; [34.57692308 23.42307692],0
d3,1,0.391611,0.733934,[24 21] ; [26 32],[21.84466019 23.15533981] ; [28.15533981 29.84466019],0
v1,1,0.391805,0.733333,[13 32] ; [20 34],[15. 30.] ; [18. 36.],0
a5,1,0.42968,0.623688,[21 25] ; [31 27],[23. 23.] ; [29. 29.],0
a3,1,0.44702,0.578197,[23 22] ; [34 24],[24.90291262 20.09708738] ; [32.09708738 25.90291262],0
p1,1,0.491303,0.473671,[ 5 41] ; [ 4 53],[ 4.01941748 41.98058252] ; [ 4.98058252 52.01941748],0
s5,1,0.500642,0.453575,[ 5 39] ; [ 9 47],[ 6.16 37.84] ; [ 7.84 48.16],0
d1,1,0.573377,0.317065,[15 31] ; [22 36],[16.36538462 29.63461538] ; [20.63461538 37.36538462],0
a8,1,0.587198,0.294741,[ 2 42] ; [ 4 52],[ 2.64 41.36] ; [ 3.36 52.64],0
d2,1,0.659,0.194741,[19 26] ; [22 36],[17.91262136 27.08737864] ; [23.08737864 34.91262136],0
n4,1,0.694164,0.154614,[26 20] ; [35 23],[26.98076923 19.01923077] ; [34.01923077 23.98076923],0
