Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,23.366484,[44  1] ; [12 12],[36.52173913  8.47826087] ; [19.47826087  4.52173913],1
d3,1,8e-06,19.845643,[41  4] ; [10 14],[33.26086957 11.73913043] ; [17.73913043  6.26086957],1
d2,1,1.6e-05,18.593603,[32 13] ; [ 4 20],[23.47826087 21.52173913] ; [12.52173913 11.47826087],1
d4,1,7.3e-05,15.718941,[44  1] ; [15  9],[38.47826087  6.52173913] ; [20.52173913  3.47826087],1
a5,1,0.006789,7.328066,[40  6] ; [14 10],[35.48571429 10.51428571] ; [18.51428571  5.48571429],0
a3,1,0.009428,6.739963,[42  4] ; [16  8],[38.11428571  7.88571429] ; [19.88571429  4.11428571],0
s3,1,0.013266,6.133333,[40  6] ; [14  9],[36. 10.] ; [18.  5.],0
a4,1,0.018957,5.505448,[25 21] ; [ 6 18],[20.37142857 25.62857143] ; [10.62857143 13.37142857],0
r1,1,0.028355,4.806367,[43  3] ; [18  6],[40.08571429  5.91428571] ; [20.91428571  3.08571429],0
s2,1,0.036794,4.359903,[36 10] ; [13 11],[32.2 13.8] ; [16.8  7.2],0
a2,1,0.037458,4.32945,[11 35] ; [ 1 23],[ 7.88571429 38.11428571] ; [ 4.11428571 19.88571429],0
n3,1,0.039962,4.219481,[4 7] ; [6 1],[6.11111111 4.88888889] ; [3.88888889 3.11111111],0
n1,1,0.066075,3.377922,[8 3] ; [2 5],[6.11111111 4.88888889] ; [3.88888889 3.11111111],0
a1,1,0.080536,3.054046,[ 9 37] ; [ 1 23],[ 6.57142857 39.42857143] ; [ 3.42857143 20.57142857],0
p4,1,0.160571,1.968843,[41  4] ; [19  5],[39.13043478  5.86956522] ; [20.86956522  3.13043478],0
s8,1,0.180567,1.792955,[38  7] ; [17  7],[35.86956522  9.13043478] ; [19.13043478  4.86956522],0
v3,1,0.187719,1.735431,[29 16] ; [11 12],[26.47058824 18.52941176] ; [13.52941176  9.47058824],0
r2,1,0.210471,1.568182,[45  1] ; [21  2],[44.  2.] ; [22.  1.],0
v1,1,0.292578,1.107722,[33 12] ; [14  9],[31.10294118 13.89705882] ; [15.89705882  7.10294118],0
b1,1,0.318474,0.995205,[19 27] ; [ 7 17],[17.08571429 28.91428571] ; [ 8.91428571 15.08571429],0
s1,1,0.319755,0.989949,[ 4 42] ; [ 4 20],[ 5.25714286 40.74285714] ; [ 2.74285714 21.25714286],0
p8,1,0.395302,0.722572,[40  6] ; [19  5],[38.77142857  7.22857143] ; [20.22857143  3.77142857],0
r4,1,0.396387,0.71926,[43  3] ; [21  3],[42.05714286  3.94285714] ; [21.94285714  2.05714286],0
n5,1,0.396387,0.71926,[43  3] ; [21  3],[42.05714286  3.94285714] ; [21.94285714  2.05714286],0
p7,1,0.466065,0.531289,[37  6] ; [19  5],[35.94029851  7.05970149] ; [20.05970149  3.94029851],0
r3,1,0.484939,0.487737,[42  4] ; [23  1],[42.71428571  3.28571429] ; [22.28571429  1.71428571],0
p9,1,0.495308,0.464976,[44  2] ; [22  2],[43.37142857  2.62857143] ; [22.62857143  1.37142857],0
b5,1,0.515482,0.422924,[19 27] ; [ 8 16],[17.74285714 28.25714286] ; [ 9.25714286 14.74285714],0
a6,1,0.516323,0.421233,[28 17] ; [13 11],[26.73913043 18.26086957] ; [14.26086957  9.73913043],0
p10,1,0.572829,0.317972,[42  4] ; [20  3],[41.33333333  4.66666667] ; [20.66666667  2.33333333],0
p12,1,0.578888,0.308036,[15 31] ; [ 6 17],[14. 32.] ; [ 7. 16.],0
n2,1,0.605242,0.267161,[9 2] ; [5 2],[8.55555556 2.44444444] ; [5.44444444 1.55555556],0
s6,1,0.63608,0.223906,[41  4] ; [21  3],[40.43478261  4.56521739] ; [21.56521739  2.43478261],0
p1,1,0.660236,0.193237,[13 33] ; [ 8 16],[13.8 32.2] ; [ 7.2 16.8],0
u3,1,0.665006,0.1875,[3 1] ; [5 3],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
n6,1,0.672118,0.179135,[42  3] ; [23  1],[42.39130435  2.60869565] ; [22.60869565  1.39130435],0
u2,1,0.678845,0.171429,[2 2] ; [5 3],[2.33333333 1.66666667] ; [4.66666667 3.33333333],0
p11,1,0.680929,0.169082,[40  6] ; [20  4],[39.42857143  6.57142857] ; [20.57142857  3.42857143],0
a8,1,0.683481,0.166234,[ 6 36] ; [ 4 18],[ 6.5625 35.4375] ; [ 3.4375 18.5625],0
s5,1,0.732548,0.116785,[28 15] ; [14  9],[27.36363636 15.63636364] ; [14.63636364  8.36363636],0
p2,1,0.737067,0.112721,[41  5] ; [22  2],[41.4  4.6] ; [21.6  2.4],0
b4,1,0.749997,0.101533,[25 21] ; [14 10],[25.62857143 20.37142857] ; [13.37142857 10.62857143],0
p3,1,0.757212,0.09557,[37  8] ; [19  5],[36.52173913  8.47826087] ; [19.47826087  4.52173913],0
p6,1,0.759467,0.093747,[31 14] ; [15  8],[30.44117647 14.55882353] ; [15.55882353  7.44117647],0
n4,1,0.779974,0.078038,[43  3] ; [22  2],[42.71428571  3.28571429] ; [22.28571429  1.71428571],0
b3,1,0.840205,0.040655,[19 19] ; [8 9],[18.65454545 19.34545455] ; [8.34545455 8.65454545],0
b2,1,0.840205,0.040655,[19 19] ; [8 9],[18.65454545 19.34545455] ; [8.34545455 8.65454545],0
a7,1,0.936533,0.006341,[33 13] ; [17  7],[32.85714286 13.14285714] ; [17.14285714  6.85714286],0
v2,1,0.939486,0.005763,[25 20] ; [13 10],[25.14705882 19.85294118] ; [12.85294118 10.14705882],0
