Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,88.393279,[240  53] ; [104 139],[188.04477612 104.95522388] ; [155.95522388  87.04477612],1
p4,1,0.0,43.000527,[223  74] ; [118 129],[186.17095588 110.82904412] ; [154.82904412  92.17095588],1
p3,1,0.0,39.038378,[184 113] ; [ 87 161],[147.68256881 149.31743119] ; [123.31743119 124.68256881],1
p6,1,0.0,31.913215,[141 156] ; [ 59 187],[109.39226519 187.60773481] ; [ 90.60773481 155.39226519],1
p2,1,0.0,29.292371,[274  24] ; [186  62],[251.06227106  46.93772894] ; [208.93772894  39.06227106],1
p11,1,1e-06,23.797069,[255  44] ; [168  80],[231.21937843  67.78062157] ; [191.78062157  56.21937843],1
p5,1,4e-06,21.202736,[ 51 248] ; [ 11 235],[ 34.0146789 264.9853211] ; [ 27.9853211 218.0146789],1
p10,1,0.000311,13.001404,[259  38] ; [185  61],[242.85082873  54.14917127] ; [201.14917127  44.85082873],1
v1,1,0.000365,12.702412,[179 113] ; [111 131],[158.57677903 133.42322097] ; [131.42322097 110.57677903],1
p9,1,0.000409,12.490075,[264  32] ; [192  54],[249.03321033  46.96678967] ; [206.96678967  39.03321033],1
n2,1,0.002386,9.226236,[38  5] ; [46 28],[30.87179487 12.12820513] ; [53.12820513 20.87179487],0
p1,1,0.002587,9.077825,[ 38 258] ; [ 13 234],[ 27.80110497 268.19889503] ; [ 23.19889503 223.80110497],0
n5,1,0.003391,8.584304,[235  63] ; [166  79],[220.06998158  77.93001842] ; [180.93001842  64.06998158],0
p12,1,0.007861,7.064875,[ 35 263] ; [ 13 234],[ 26.24587156 271.75412844] ; [ 21.75412844 225.24587156],0
s5,1,0.009454,6.734919,[107 181] ; [ 64 177],[ 93.09640832 194.90359168] ; [ 77.90359168 163.09640832],0
r4,1,0.017097,5.686372,[292   7] ; [232  16],[286.42778793  12.57221207] ; [237.57221207  10.42778793],0
n6,1,0.036068,4.393908,[258  38] ; [199  48],[249.11970534  46.88029466] ; [207.88029466  39.11970534],0
a5,1,0.045639,3.994878,[242  57] ; [183  65],[232.31261426  66.68738574] ; [192.68738574  55.31261426],0
v3,1,0.089868,2.876733,[126 162] ; [ 86 150],[116.51908397 171.48091603] ; [ 95.48091603 140.51908397],0
s8,1,0.104158,2.640695,[139 155] ; [100 148],[129.64206642 164.35793358] ; [109.35793358 138.64206642],0
s7,1,0.138183,2.198076,[148 135] ; [108 128],[139.59152216 143.40847784] ; [116.40847784 119.59152216],0
u1,1,0.144683,2.127428,[ 67 232] ; [ 69 179],[ 74.34003656 224.65996344] ; [ 61.65996344 186.34003656],0
a3,1,0.166543,1.913787,[223  73] ; [173  74],[215.86740331  80.13259669] ; [180.13259669  66.86740331],0
n1,1,0.169944,1.88344,[19 23] ; [24 50],[15.56896552 26.43103448] ; [27.43103448 46.56896552],0
a2,1,0.189705,1.719909,[ 88 211] ; [ 86 162],[ 95.11151737 203.88848263] ; [ 78.88848263 169.11151737],0
b5,1,0.190532,1.713501,[184 115] ; [166  82],[191.31627057 107.68372943] ; [158.68372943  89.31627057],0
n4,1,0.202954,1.620986,[236  62] ; [185  63],[229.77655678  68.22344322] ; [191.22344322  56.77655678],0
a8,1,0.230667,1.436742,[ 44 216] ; [ 29 194],[ 39.29606625 220.70393375] ; [ 33.70393375 189.29606625],0
v4,1,0.252243,1.310839,[291   7] ; [236  10],[288.6875   9.3125] ; [238.3125   7.6875],0
s4,1,0.269073,1.221466,[ 40 252] ; [ 42 203],[ 44.58845438 247.41154562] ; [ 37.41154562 207.58845438],0
b4,1,0.270157,1.21595,[173 126] ; [155  93],[179.29067642 119.70932358] ; [148.70932358  99.29067642],0
u2,1,0.285397,1.14121,[42 34] ; [46 26],[45.18918919 30.81081081] ; [42.81081081 29.18918919],0
d1,1,0.290691,1.11642,[201  98] ; [156  92],[195.14259598 103.85740402] ; [161.85740402  86.14259598],0
s6,1,0.334743,0.930463,[206  85] ; [166  82],[200.83858998  90.16141002] ; [171.16141002  76.83858998],0
s1,1,0.373364,0.792438,[  8 288] ; [ 10 235],[  9.84842884 286.15157116] ; [  8.15157116 236.84842884],0
a4,1,0.41945,0.651856,[137 160] ; [123 125],[141.68807339 155.31192661] ; [118.31192661 129.68807339],0
r2,1,0.52205,0.409842,[291   7] ; [238   8],[289.78308824   8.21691176] ; [239.21691176   6.78308824],0
u3,1,0.52492,0.404216,[48 27] ; [51 23],[49.83221477 25.16778523] ; [49.16778523 24.83221477],0
d4,1,0.543792,0.368558,[254  44] ; [215  32],[256.4440367  41.5559633] ; [212.5559633  34.4440367],0
v2,1,0.615299,0.252531,[179 109] ; [141  94],[176.21414914 111.78585086] ; [143.78585086  91.21414914],0
b1,1,0.678566,0.171745,[110 189] ; [ 87 161],[107.68372943 191.31627057] ; [ 89.31627057 158.68372943],0
r3,1,0.722043,0.126543,[287  10] ; [240   7],[287.71875   9.28125] ; [239.28125   7.71875],0
a6,1,0.725649,0.123145,[232  65] ; [196  51],[233.66911765  63.33088235] ; [194.33088235  52.66911765],0
d2,1,0.764441,0.089792,[150 148] ; [127 119],[151.73897059 146.26102941] ; [125.26102941 120.73897059],0
n3,1,0.792029,0.069525,[31 12] ; [55 19],[31.60683761 11.39316239] ; [54.39316239 19.60683761],0
b2,1,0.819486,0.052078,[ 61 118] ; [48 98],[ 60.03384615 118.96615385] ; [48.96615385 97.03384615],0
b3,1,0.819486,0.052078,[ 61 118] ; [48 98],[ 60.03384615 118.96615385] ; [48.96615385 97.03384615],0
s3,1,0.862497,0.029997,[168 124] ; [138 105],[167.01308411 124.98691589] ; [138.98691589 104.01308411],0
d5,1,0.893353,0.017973,[251  47] ; [207  40],[250.4293578  47.5706422] ; [207.5706422  39.4293578],0
d3,1,0.931428,0.007404,[238  60] ; [198  49],[238.4  59.6] ; [197.6  49.4],0
s2,1,0.974879,0.000992,[154 140] ; [128 117],[153.81818182 140.18181818] ; [128.18181818 116.81818182],0
a1,1,0.991073,0.000125,[ 12 287] ; [ 10 238],[ 12.02559415 286.97440585] ; [  9.97440585 238.02559415],0
u4,1,0.993753,6.1e-05,[  6 293] ; [  5 243],[  6.01279707 292.98720293] ; [  4.98720293 243.01279707],0
