Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3e-06,21.724572,[ 18 103] ; [39 50],[32.84285714 88.15714286] ; [24.15714286 64.84285714],1
r3,1,0.000111,14.944203,[93 29] ; [87  4],[103.09859155  18.90140845] ; [76.90140845 14.09859155],1
d1,1,0.002196,9.378264,[45 78] ; [53 39],[56.06511628 66.93488372] ; [41.93488372 50.06511628],0
v1,1,0.002405,9.211752,[36 86] ; [45 45],[46.61320755 75.38679245] ; [34.38679245 55.61320755],0
d4,1,0.002973,8.824037,[82 41] ; [77 14],[91.38785047 31.61214953] ; [67.61214953 23.38785047],0
d5,1,0.003734,8.409038,[78 45] ; [75 17],[87.53023256 35.46976744] ; [65.46976744 26.53023256],0
r1,1,0.004145,8.219264,[70 53] ; [69 22],[79.89252336 43.10747664] ; [59.10747664 31.89252336],0
d3,1,0.011018,6.462335,[63 60] ; [63 29],[72.08372093 50.91627907] ; [53.91627907 38.08372093],0
p4,1,0.012925,6.1794,[32 90] ; [39 53],[40.47663551 81.52336449] ; [30.52336449 61.47663551],0
a5,1,0.0159,5.813935,[67 56] ; [65 27],[75.51627907 47.48372093] ; [56.48372093 35.51627907],0
b1,1,0.045745,3.990956,[51 72] ; [26 66],[44.05116279 78.94883721] ; [32.94883721 59.05116279],0
p11,1,0.046729,3.955115,[75 48] ; [68 24],[81.80930233 41.19069767] ; [61.19069767 30.80930233],0
s6,1,0.054242,3.705225,[43 79] ; [44 47],[49.83098592 72.16901408] ; [37.16901408 53.83098592],0
a7,1,0.060527,3.522892,[80 43] ; [70 21],[86.21495327 36.78504673] ; [63.78504673 27.21495327],0
a8,1,0.063862,3.434134,[ 14 102] ; [ 4 83],[ 10.28571429 105.71428571] ; [ 7.71428571 79.28571429],0
p12,1,0.074921,3.171782,[  3 120] ; [ 7 85],[  5.72093023 117.27906977] ; [ 4.27906977 87.72093023],0
r4,1,0.080369,3.057432,[86 37] ; [74 18],[91.53488372 31.46511628] ; [68.46511628 23.53488372],0
p2,1,0.135659,2.226521,[72 51] ; [63 29],[77.23255814 45.76744186] ; [57.76744186 34.23255814],0
n2,1,0.152558,2.046483,[25 17] ; [22  7],[27.8028169 14.1971831] ; [19.1971831  9.8028169],0
n1,1,0.152834,2.043734,[15 26] ; [ 6 23],[12.3 28.7] ; [ 8.7 20.3],0
p6,1,0.153506,2.037058,[  8 114] ; [11 79],[ 10.93396226 111.06603774] ; [ 8.06603774 81.93396226],0
p10,1,0.155408,2.01835,[70 51] ; [62 30],[74.98591549 46.01408451] ; [57.01408451 34.98591549],0
a3,1,0.161352,1.961509,[62 59] ; [56 36],[67.03286385 53.96713615] ; [50.96713615 41.03286385],0
n6,1,0.168065,1.900117,[83 40] ; [70 22],[87.53023256 35.46976744] ; [65.46976744 26.53023256],0
n5,1,0.181769,1.783105,[80 43] ; [51 40],[75.29439252 47.70560748] ; [55.70560748 35.29439252],0
n3,1,0.201993,1.627907,[22 18] ; [21  9],[24.57142857 15.42857143] ; [18.42857143 11.57142857],0
p3,1,0.210052,1.57107,[26 97] ; [26 65],[29.88785047 93.11214953] ; [22.11214953 68.88785047],0
p9,1,0.261864,1.258876,[79 42] ; [66 25],[82.75943396 38.24056604] ; [62.24056604 28.75943396],0
v4,1,0.266383,1.235279,[100  23] ; [80 12],[102.97674419  20.02325581] ; [77.02325581 14.97674419],0
s2,1,0.276103,1.186172,[27 94] ; [26 64],[30.39336493 90.60663507] ; [22.60663507 67.39336493],0
r2,1,0.278215,1.175788,[104  18] ; [83  9],[106.60747664  15.39252336] ; [80.39252336 11.60747664],0
u2,1,0.282287,1.156045,[27 34] ; [20 16],[29.55670103 31.44329897] ; [17.44329897 18.55670103],0
p8,1,0.351324,0.868669,[24 98] ; [23 69],[26.79439252 95.20560748] ; [20.20560748 71.79439252],0
s3,1,0.37233,0.795873,[36 85] ; [32 58],[38.99526066 82.00473934] ; [29.00473934 60.99526066],0
u4,1,0.399948,0.708484,[  1 122] ; [ 2 90],[  1.71627907 121.28372093] ; [ 1.28372093 90.71627907],0
p5,1,0.402481,0.700902,[  7 116] ; [ 3 89],[  5.72093023 117.27906977] ; [ 4.27906977 87.72093023],0
s8,1,0.408391,0.683479,[ 14 109] ; [14 78],[ 16.01860465 106.98139535] ; [11.98139535 80.01860465],0
a2,1,0.417085,0.658514,[ 18 105] ; [10 82],[ 16.01860465 106.98139535] ; [11.98139535 80.01860465],0
s1,1,0.45616,0.555299,[  5 118] ; [ 2 88],[  4.04225352 118.95774648] ; [ 2.95774648 87.04225352],0
d2,1,0.483116,0.491821,[44 77] ; [37 53],[46.45023697 74.54976303] ; [34.54976303 55.45023697],0
b4,1,0.53022,0.39397,[80 43] ; [56 36],[77.80465116 45.19534884] ; [58.19534884 33.80465116],0
u1,1,0.583091,0.301265,[ 12 111] ; [ 7 85],[ 10.86976744 112.13023256] ; [ 8.13023256 83.86976744],0
p1,1,0.583091,0.301265,[ 12 111] ; [ 7 85],[ 10.86976744 112.13023256] ; [ 8.13023256 83.86976744],0
s5,1,0.661711,0.191452,[22 96] ; [14 72],[20.82352941 97.17647059] ; [15.17647059 70.82352941],0
b5,1,0.706312,0.141989,[74 49] ; [53 39],[72.65581395 50.34418605] ; [54.34418605 37.65581395],0
b2,1,0.769398,0.085944,[25 43] ; [17 26],[25.72972973 42.27027027] ; [16.27027027 26.72972973],0
b3,1,0.769398,0.085944,[25 43] ; [17 26],[25.72972973 42.27027027] ; [16.27027027 26.72972973],0
a6,1,0.793083,0.068806,[81 42] ; [59 33],[80.09302326 42.90697674] ; [59.90697674 32.09302326],0
a1,1,0.800388,0.06393,[  7 116] ; [ 6 86],[  7.4372093 115.5627907] ; [ 5.5627907 86.4372093],0
n4,1,0.891066,0.018757,[76 47] ; [56 36],[75.51627907 47.48372093] ; [56.48372093 35.51627907],0
s4,1,0.898623,0.016231,[ 18 104] ; [14 77],[ 18.3286385 103.6713615] ; [13.6713615 77.3286385],0
a4,1,0.972116,0.001222,[45 76] ; [34 58],[44.87793427 76.12206573] ; [34.12206573 57.87793427],0
u3,1,0.975769,0.000923,[32 29] ; [19 17],[32.07216495 28.92783505] ; [18.92783505 17.07216495],0
