Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.004964,7.89249,[13 10] ; [13 42],[ 7.66666667 15.33333333] ; [18.33333333 36.66666667],0
d4,1,0.012092,6.297349,[20  3] ; [31 23],[15.23376623  7.76623377] ; [35.76623377 18.23376623],0
p6,1,0.012501,6.23844,[10 13] ; [ 9 45],[ 5.67532468 17.32467532] ; [13.32467532 40.67532468],0
d3,1,0.014532,5.972356,[18  5] ; [26 28],[13.14285714  9.85714286] ; [30.85714286 23.14285714],0
s2,1,0.023471,5.133333,[12 10] ; [15 40],[ 7.71428571 14.28571429] ; [19.28571429 35.71428571],0
b1,1,0.041976,4.136184,[15  8] ; [22 33],[10.91025641 12.08974359] ; [26.08974359 28.91025641],0
p2,1,0.062433,3.471549,[17  6] ; [27 26],[13.31578947  9.68421053] ; [30.68421053 22.31578947],0
b3,1,0.070508,3.271154,[ 2 10] ; [14 16],[4.57142857 7.42857143] ; [11.42857143 18.57142857],0
b2,1,0.070508,3.271154,[ 2 10] ; [14 16],[4.57142857 7.42857143] ; [11.42857143 18.57142857],0
v1,1,0.076607,3.135452,[11 12] ; [14 38],[ 7.66666667 15.33333333] ; [17.33333333 34.66666667],0
n6,1,0.094591,2.79446,[16  6] ; [28 26],[12.73684211  9.26315789] ; [31.26315789 22.73684211],0
p9,1,0.097924,2.739032,[17  6] ; [29 25],[13.74025974  9.25974026] ; [32.25974026 21.74025974],0
d1,1,0.124421,2.360764,[14  9] ; [23 32],[10.91025641 12.08974359] ; [26.08974359 28.91025641],0
a5,1,0.147835,2.094451,[15  8] ; [26 29],[12.08974359 10.91025641] ; [28.91025641 26.08974359],0
p1,1,0.188804,1.726925,[ 4 19] ; [ 4 50],[ 2.38961039 20.61038961] ; [ 5.61038961 48.38961039],0
s8,1,0.190841,1.711111,[ 6 16] ; [ 8 47],[ 4. 18.] ; [10. 45.],0
p7,1,0.211504,1.561102,[11 12] ; [17 35],[ 8.58666667 14.41333333] ; [19.41333333 32.58666667],0
v2,1,0.211504,1.561102,[11 12] ; [17 35],[ 8.58666667 14.41333333] ; [19.41333333 32.58666667],0
s6,1,0.248368,1.332458,[10 12] ; [17 37],[ 7.81578947 14.18421053] ; [19.18421053 34.81578947],0
d5,1,0.263817,1.248617,[18  5] ; [36 19],[15.92307692  7.07692308] ; [38.07692308 16.92307692],0
a1,1,0.266018,1.237165,[ 1 22] ; [ 7 48],[ 2.35897436 20.64102564] ; [ 5.64102564 49.35897436],0
s5,1,0.269237,1.220628,[ 6 14] ; [10 45],[ 4.26666667 15.73333333] ; [11.73333333 43.26666667],0
p11,1,0.273302,1.2001,[14  9] ; [26 29],[11.79487179 11.20512821] ; [28.20512821 26.79487179],0
p8,1,0.324932,0.968992,[ 9 14] ; [15 39],[ 7.16883117 15.83116883] ; [16.83116883 37.16883117],0
r3,1,0.348733,0.878062,[14  8] ; [28 26],[12.15789474  9.84210526] ; [29.84210526 24.15789474],0
u1,1,0.355637,0.853242,[ 2 21] ; [ 2 53],[ 1.17948718 21.82051282] ; [ 2.82051282 52.17948718],0
a7,1,0.38161,0.765509,[14  9] ; [27 27],[12.24675325 10.75324675] ; [28.75324675 25.24675325],0
n4,1,0.384351,0.756737,[15  8] ; [30 25],[13.26923077  9.73076923] ; [31.73076923 23.26923077],0
r1,1,0.386425,0.750161,[ 5 18] ; [17 37],[ 6.57142857 16.42857143] ; [15.42857143 38.57142857],0
s7,1,0.401294,0.704445,[ 8 11] ; [17 37],[ 6.50684932 12.49315068] ; [18.49315068 35.50684932],0
b5,1,0.421033,0.647431,[14  9] ; [28 27],[12.38461538 10.61538462] ; [29.61538462 25.38461538],0
