Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.259204,[10 24] ; [61 18],[21.36283186 12.63716814] ; [49.63716814 29.36283186],1
d5,1,0.000152,14.351267,[18 16] ; [68 11],[25.87610619  8.12389381] ; [60.12389381 18.87610619],1
p2,1,0.001018,10.793971,[11 23] ; [52 27],[18.95575221 15.04424779] ; [44.04424779 34.95575221],0
a6,1,0.001096,10.657856,[13 21] ; [56 23],[20.76106195 13.23893805] ; [48.23893805 30.76106195],0
d1,1,0.004955,7.895715,[10 24] ; [46 33],[16.84955752 17.15044248] ; [39.15044248 39.84955752],0
d4,1,0.01164,6.3649,[21 13] ; [66 13],[26.17699115  7.82300885] ; [60.82300885 18.17699115],0
n5,1,0.015266,5.885546,[16 18] ; [19 60],[10.53097345 23.46902655] ; [24.46902655 54.53097345],0
r3,1,0.035051,4.442706,[26  8] ; [72  7],[29.48672566  4.51327434] ; [68.51327434 10.48672566],0
b1,1,0.047423,3.930312,[16 18] ; [22 57],[11.43362832 22.56637168] ; [26.56637168 52.43362832],0
r4,1,0.16599,1.91879,[21 13] ; [59 20],[24.07079646  9.92920354] ; [55.92920354 23.07079646],0
a4,1,0.16599,1.91879,[13 21] ; [20 59],[ 9.92920354 24.07079646] ; [23.07079646 55.92920354],0
r1,1,0.167713,1.903268,[18 16] ; [52 26],[21.25 12.75] ; [48.75 29.25],0
p10,1,0.177082,1.821946,[16 17] ; [48 29],[19.2 13.8] ; [44.8 32.2],0
b5,1,0.187176,1.739707,[17 17] ; [50 29],[20.15929204 13.84070796] ; [46.84070796 32.15929204],0
v2,1,0.193533,1.690515,[11 21] ; [36 39],[14.05607477 17.94392523] ; [32.94392523 42.05607477],0
u2,1,0.225253,1.470588,[ 6 10] ; [19 15],[8. 8.] ; [17. 17.],0
p6,1,0.254313,1.299455,[ 1 33] ; [ 7 71],[ 2.42857143 31.57142857] ; [ 5.57142857 72.42857143],0
p3,1,0.266362,1.235386,[ 4 30] ; [16 62],[ 6.07142857 27.92857143] ; [13.92857143 64.07142857],0
v3,1,0.270334,1.215053,[ 5 27] ; [19 56],[ 7.17757009 24.82242991] ; [16.82242991 58.17757009],0
s1,1,0.274469,1.194277,[ 3 31] ; [ 3 76],[ 1.80530973 32.19469027] ; [ 4.19469027 74.80530973],0
r2,1,0.279498,1.16953,[27  7] ; [69 10],[28.88495575  5.11504425] ; [67.11504425 11.88495575],0
p11,1,0.356012,0.851911,[20 14] ; [39 40],[17.75221239 16.24778761] ; [41.24778761 37.75221239],0
a2,1,0.360299,0.836849,[ 3 31] ; [12 67],[ 4.51327434 29.48672566] ; [10.48672566 68.51327434],0
v4,1,0.368788,0.807744,[28  6] ; [70  9],[29.48672566  4.51327434] ; [68.51327434 10.48672566],0
p9,1,0.382199,0.763618,[20 12] ; [54 22],[21.92592593 10.07407407] ; [52.07407407 23.92592593],0
n2,1,0.387534,0.746667,[14  6] ; [21 15],[12.5  7.5] ; [22.5 13.5],0
u3,1,0.392899,0.729951,[9 7] ; [24 11],[10.35294118  5.64705882] ; [22.64705882 12.35294118],0
s6,1,0.428024,0.628178,[14 19] ; [40 39],[15.91071429 17.08928571] ; [38.08928571 40.91071429],0
p8,1,0.432832,0.615213,[ 6 28] ; [19 59],[ 7.58928571 26.41071429] ; [17.41071429 60.58928571],0
b2,1,0.448292,0.574967,[6 8] ; [12 26],[4.84615385 9.15384615] ; [13.15384615 24.84615385],0
b3,1,0.448292,0.574967,[6 8] ; [12 26],[4.84615385 9.15384615] ; [13.15384615 24.84615385],0
n3,1,0.504785,0.444863,[ 9 10] ; [21 16],[10.17857143  8.82142857] ; [19.82142857 17.17857143],0
p12,1,0.520345,0.413209,[ 1 32] ; [ 1 78],[ 0.58928571 32.41071429] ; [ 1.41071429 77.58928571],0
b4,1,0.562972,0.334585,[20 14] ; [51 28],[21.36283186 12.63716814] ; [49.63716814 29.36283186],0
s8,1,0.566254,0.32899,[ 9 25] ; [17 62],[ 7.82300885 26.17699115] ; [18.17699115 60.82300885],0
d2,1,0.585082,0.298091,[13 21] ; [26 53],[11.73451327 22.26548673] ; [27.26548673 51.73451327],0
s3,1,0.602262,0.271598,[12 22] ; [32 47],[13.23893805 20.76106195] ; [30.76106195 48.23893805],0
p4,1,0.633498,0.227347,[ 8 26] ; [22 57],[ 9.02654867 24.97345133] ; [20.97345133 58.02654867],0
s7,1,0.64926,0.206835,[ 6 25] ; [18 59],[ 6.88888889 24.11111111] ; [17.11111111 59.88888889],0
s5,1,0.680465,0.169602,[ 9 23] ; [19 59],[ 8.14545455 23.85454545] ; [19.85454545 58.14545455],0
v1,1,0.750207,0.101357,[12 22] ; [30 48],[12.75 21.25] ; [29.25 48.75],0
a3,1,0.787221,0.072857,[18 16] ; [44 35],[18.65486726 15.34513274] ; [43.34513274 35.65486726],0
n1,1,0.811577,0.056831,[ 6 14] ; [10 27],[ 5.61403509 14.38596491] ; [10.38596491 26.61403509],0
n6,1,0.821061,0.051158,[21 13] ; [47 32],[20.46017699 13.53982301] ; [47.53982301 31.46017699],0
p5,1,0.841913,0.039779,[ 1 32] ; [ 3 76],[ 1.17857143 31.82142857] ; [ 2.82142857 76.17857143],0
a5,1,0.918958,0.010352,[16 18] ; [38 41],[16.24778761 17.75221239] ; [37.75221239 41.24778761],0
s2,1,0.926146,0.008592,[12 21] ; [28 51],[11.78571429 21.21428571] ; [28.21428571 50.78571429],0
p1,1,0.928003,0.008165,[ 2 32] ; [ 5 74],[ 2.10619469 31.89380531] ; [ 4.89380531 74.10619469],0
s4,1,0.967636,0.001646,[ 7 27] ; [16 63],[ 6.92035398 27.07964602] ; [16.07964602 62.92035398],0
