Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.006284,7.466986,[ 1 18] ; [4 4],[ 3.51851852 15.48148148] ; [1.48148148 6.51851852],0
p5,1,0.006284,7.466986,[ 1 18] ; [4 4],[ 3.51851852 15.48148148] ; [1.48148148 6.51851852],0
p8,1,0.00792,7.051583,[ 6 13] ; [7 1],[9.14814815 9.85185185] ; [3.85185185 4.14814815],0
s4,1,0.024271,5.075188,[ 2 17] ; [4 4],[ 4.22222222 14.77777778] ; [1.77777778 6.22222222],0
b3,1,0.029273,4.751515,[ 1 10] ; [3 2],[2.75 8.25] ; [1.25 3.75],0
b2,1,0.029273,4.751515,[ 1 10] ; [3 2],[2.75 8.25] ; [1.25 3.75],0
p7,1,0.030191,4.698355,[ 8 11] ; [7 1],[10.55555556  8.44444444] ; [4.44444444 3.55555556],0
b4,1,0.038142,4.298684,[13  6] ; [2 6],[10.55555556  8.44444444] ; [4.44444444 3.55555556],0
v1,1,0.052634,3.755495,[ 9 10] ; [7 1],[11.25925926  7.74074074] ; [4.74074074 3.25925926],0
p6,1,0.075426,3.160797,[ 5 14] ; [5 3],[ 7.03703704 11.96296296] ; [2.96296296 5.03703704],0
p9,1,0.114057,2.497095,[10  8] ; [7 1],[11.76923077  6.23076923] ; [5.23076923 2.76923077],0
s7,1,0.12076,2.407439,[ 3 14] ; [3 3],[ 4.43478261 12.56521739] ; [1.56521739 4.43478261],0
a7,1,0.1354,2.229478,[13  6] ; [3 5],[11.25925926  7.74074074] ; [4.74074074 3.25925926],0
s6,1,0.1354,2.229478,[13  6] ; [3 5],[11.25925926  7.74074074] ; [4.74074074 3.25925926],0
n1,1,0.197121,1.66358,[1 8] ; [1 1],[1.63636364 7.36363636] ; [0.36363636 1.63636364],0
b5,1,0.22052,1.500987,[12  7] ; [3 5],[10.55555556  8.44444444] ; [4.44444444 3.55555556],0
r4,1,0.23323,1.421053,[ 5 14] ; [4 4],[ 6.33333333 12.66666667] ; [2.66666667 5.33333333],0
u2,1,0.259796,1.269841,[5 2] ; [1 2],[4.2 2.8] ; [1.8 1.2],0
p2,1,0.301611,1.067058,[13  6] ; [7 1],[14.07407407  4.92592593] ; [5.92592593 2.07407407],0
d2,1,0.33281,0.937934,[ 8 11] ; [5 3],[9.14814815 9.85185185] ; [3.85185185 4.14814815],0
a6,1,0.33281,0.937934,[11  8] ; [3 5],[9.85185185 9.14814815] ; [4.14814815 3.85185185],0
d1,1,0.33281,0.937934,[ 8 11] ; [5 3],[9.14814815 9.85185185] ; [3.85185185 4.14814815],0
p12,1,0.333697,0.934497,[ 2 17] ; [2 6],[ 2.81481481 16.18518519] ; [1.18518519 6.81481481],0
v3,1,0.365416,0.819195,[ 6 13] ; [4 4],[ 7.03703704 11.96296296] ; [2.96296296 5.03703704],0
d3,1,0.365416,0.819195,[13  6] ; [4 4],[11.96296296  7.03703704] ; [5.03703704 2.96296296],0
a4,1,0.365416,0.819195,[ 6 13] ; [4 4],[ 7.03703704 11.96296296] ; [2.96296296 5.03703704],0
n3,1,0.424954,0.636574,[7 2] ; [1 1],[6.54545455 2.45454545] ; [1.45454545 0.54545455],0
d5,1,0.430412,0.621711,[14  5] ; [7 1],[14.77777778  4.22222222] ; [6.22222222 1.77777778],0
n4,1,0.430412,0.621711,[14  5] ; [7 1],[14.77777778  4.22222222] ; [6.22222222 1.77777778],0
n5,1,0.430412,0.621711,[14  5] ; [7 1],[14.77777778  4.22222222] ; [6.22222222 1.77777778],0
u3,1,0.490153,0.47619,[3 4] ; [2 1],[3.5 3.5] ; [1.5 1.5],0
u1,1,0.512054,0.429868,[ 1 18] ; [1 7],[ 1.40740741 17.59259259] ; [0.59259259 7.40740741],0
r1,1,0.52518,0.403708,[ 7 12] ; [4 4],[ 7.74074074 11.25925926] ; [3.25925926 4.74074074],0
n6,1,0.551149,0.355263,[12  7] ; [6 2],[12.66666667  6.33333333] ; [5.33333333 2.66666667],0
v4,1,0.551149,0.355263,[12  7] ; [6 2],[12.66666667  6.33333333] ; [5.33333333 2.66666667],0
s8,1,0.56114,0.337734,[ 5 14] ; [3 5],[ 5.62962963 13.37037037] ; [2.37037037 5.62962963],0
r3,1,0.573714,0.316507,[16  3] ; [6 2],[15.48148148  3.51851852] ; [6.51851852 1.48148148],0
d4,1,0.601389,0.272907,[15  4] ; [7 1],[15.48148148  3.51851852] ; [6.51851852 1.48148148],0
b1,1,0.63749,0.222039,[10  9] ; [5 3],[10.55555556  8.44444444] ; [4.44444444 3.55555556],0
p11,1,0.826102,0.048269,[16  3] ; [7 1],[16.18518519  2.81481481] ; [6.81481481 1.18518519],0
s2,1,0.836701,0.042484,[ 6 12] ; [3 5],[ 6.23076923 11.76923077] ; [2.76923077 5.23076923],0
a2,1,0.881546,0.022204,[ 2 17] ; [1 7],[ 2.11111111 16.88888889] ; [0.88888889 7.11111111],0
s3,1,0.882832,0.021721,[ 5 13] ; [2 6],[ 4.84615385 13.15384615] ; [2.15384615 5.84615385],0
a5,1,0.900552,0.015616,[10  9] ; [4 4],[9.85185185 9.14814815] ; [4.14814815 3.85185185],0
a3,1,0.974213,0.001045,[12  7] ; [5 3],[11.96296296  7.03703704] ; [5.03703704 2.96296296],0
