Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,64.60695,[53 77] ; [300  82],[89.62890625 40.37109375] ; [263.37109375 118.62890625],1
d3,1,0.0,35.672635,[68 62] ; [304  79],[94.26900585 35.73099415] ; [277.73099415 105.26900585],1
u1,1,1.2e-05,19.199563,[  9 121] ; [ 95 288],[ 26.35477583 103.64522417] ; [ 77.64522417 305.35477583],1
a2,1,3.3e-05,17.216271,[ 16 114] ; [118 265],[33.95711501 96.04288499] ; [100.04288499 282.95711501],1
b5,1,0.000202,13.812489,[62 68] ; [253 130],[79.8245614 50.1754386] ; [235.1754386 147.8245614],1
u3,1,0.000377,12.643082,[13 22] ; [71 29],[21.77777778 13.22222222] ; [62.22222222 37.77777778],1
b1,1,0.00093,10.962904,[62 68] ; [121 262],[46.37426901 83.62573099] ; [136.62573099 246.37426901],1
r4,1,0.001975,9.572205,[111  19] ; [360  23],[119.35672515  10.64327485] ; [351.64327485  31.35672515],0
r3,1,0.012018,6.308208,[122   8] ; [373   7],[126.17647059   3.82352941] ; [368.82352941  11.17647059],0
r1,1,0.013755,6.069332,[99 31] ; [325  55],[108.07843137  21.92156863] ; [315.92156863  64.07843137],0
v2,1,0.014987,5.917959,[60 66] ; [221 147],[71.67206478 54.32793522] ; [209.32793522 158.67206478],0
r2,1,0.018073,5.58904,[117  11] ; [364  13],[121.91683168   6.08316832] ; [359.08316832  17.91683168],0
n4,1,0.022311,5.22139,[112  17] ; [296  86],[102.99804305  26.00195695] ; [305.00195695  76.99804305],0
d1,1,0.024009,5.093952,[69 61] ; [246 137],[79.8245614 50.1754386] ; [235.1754386 147.8245614],0
d5,1,0.02787,4.836099,[101  28] ; [331  52],[108.84375  20.15625] ; [323.15625  59.84375],0
n5,1,0.030121,4.70237,[111  18] ; [293  87],[102.38899804  26.61100196] ; [301.61100196  78.38899804],0
s7,1,0.034433,4.473094,[88 39] ; [216 152],[77.9959596 49.0040404] ; [226.0040404 141.9959596],0
d4,1,0.049788,3.84858,[103  26] ; [333  50],[109.8515625  19.1484375] ; [326.1484375  56.8515625],0
n3,1,0.07988,3.067336,[20 13] ; [60 18],[23.78378378  9.21621622] ; [56.21621622 21.78378378],0
v4,1,0.084427,2.977546,[122   7] ; [372   9],[124.95294118   4.04705882] ; [369.04705882  11.95294118],0
s8,1,0.113157,2.509567,[80 50] ; [204 177],[72.25048924 57.74951076] ; [211.74951076 169.25048924],0
n1,1,0.125311,2.34965,[17 17] ; [27 51],[13.35714286 20.64285714] ; [30.64285714 47.35714286],0
s5,1,0.171128,1.87303,[62 64] ; [157 215],[55.40963855 70.59036145] ; [163.59036145 208.40963855],0
b4,1,0.17796,1.814577,[70 60] ; [232 151],[76.53021442 53.46978558] ; [225.46978558 157.53021442],0
v3,1,0.229618,1.443226,[56 72] ; [140 231],[50.27655311 77.72344689] ; [145.72344689 225.27655311],0
u2,1,0.231867,1.42937,[19 16] ; [65 34],[21.94029851 13.05970149] ; [62.05970149 36.94029851],0
p4,1,0.262736,1.254283,[84 46] ; [267 115],[89.12109375 40.87890625] ; [261.87890625 120.12109375],0
a1,1,0.264486,1.245123,[  9 121] ; [ 17 366],[  6.58869396 123.41130604] ; [ 19.41130604 363.58869396],0
a5,1,0.277844,1.177606,[94 36] ; [295  88],[98.57699805 31.42300195] ; [290.42300195  92.57699805],0
p3,1,0.354525,0.857196,[76 54] ; [206 177],[71.4619883 58.5380117] ; [210.5380117 172.4619883],0
p6,1,0.403066,0.69916,[57 71] ; [152 225],[52.97425743 75.02574257] ; [156.02574257 220.97425743],0
b3,1,0.412755,0.670852,[34 51] ; [ 78 145],[30.90909091 54.09090909] ; [ 81.09090909 141.90909091],0
b2,1,0.412755,0.670852,[34 51] ; [ 78 145],[30.90909091 54.09090909] ; [ 81.09090909 141.90909091],0
s4,1,0.479063,0.500996,[ 29 100] ; [ 74 304],[ 26.20710059 102.79289941] ; [ 76.79289941 301.20710059],0
n6,1,0.503827,0.446866,[109  20] ; [330  50],[111.25933202  17.74066798] ; [327.74066798  52.25933202],0
s1,1,0.526533,0.401079,[  3 126] ; [ 13 363],[  4.08712871 124.91287129] ; [ 11.91287129 364.08712871],0
a8,1,0.532834,0.388985,[ 16 106] ; [ 53 290],[ 18.10322581 103.89677419] ; [ 50.89677419 292.10322581],0
p5,1,0.569406,0.323677,[ 20 110] ; [ 51 330],[ 18.06262231 111.93737769] ; [ 52.93737769 328.06262231],0
p12,1,0.578186,0.309176,[ 11 118] ; [ 39 343],[ 12.6223092 116.3776908] ; [ 37.3776908 344.6223092],0
n2,1,0.589956,0.290413,[25  9] ; [61 17],[26.10714286  7.89285714] ; [59.89285714 18.10714286],0
p11,1,0.59128,0.288349,[107  23] ; [307  76],[104.9122807  25.0877193] ; [309.0877193  73.9122807],0
v1,1,0.632513,0.228668,[71 56] ; [217 155],[73.29859719 53.70140281] ; [214.70140281 157.29859719],0
s2,1,0.647821,0.208659,[83 47] ; [251 129],[85.1372549 44.8627451] ; [248.8627451 131.1372549],0
u4,1,0.64856,0.20772,[  4 126] ; [  9 374],[  3.29434698 126.70565302] ; [  9.70565302 373.29434698],0
p8,1,0.706144,0.142159,[73 55] ; [221 154],[74.81510934 53.18489066] ; [219.18489066 155.81510934],0
p9,1,0.790587,0.070516,[116  13] ; [342  35],[116.76284585  12.23715415] ; [341.23715415  35.76284585],0
p1,1,0.872389,0.0258,[ 11 119] ; [ 34 347],[ 11.4481409 118.5518591] ; [ 33.5518591 347.4481409],0
p7,1,0.87473,0.024855,[91 38] ; [263 106],[91.69879518 37.30120482] ; [262.30120482 106.69879518],0
a4,1,0.888548,0.01964,[59 70] ; [172 210],[58.31506849 70.68493151] ; [172.68493151 209.31506849],0
s3,1,0.922004,0.009586,[93 37] ; [268 109],[92.56410256 37.43589744] ; [268.43589744 108.56410256],0
p10,1,0.945627,0.004651,[112  16] ; [329  48],[111.77821782  16.22178218] ; [329.22178218  47.77821782],0
a3,1,0.960698,0.002428,[95 35] ; [280 102],[95.21484375 34.78515625] ; [279.78515625 102.21484375],0
d2,1,0.961403,0.002342,[64 66] ; [189 193],[64.23828125 65.76171875] ; [188.76171875 193.23828125],0
